k,i,Aki
58,1,1.0900e+05
57,1,1.0900e+05
54,1,1.3400e+05
53,1,1.3400e+05
49,1,1.6500e+05
50,1,1.6500e+05
44,1,2.0900e+05
45,1,2.0900e+05
40,1,1.9180e+05
39,1,1.9170e+05
35,1,2.6640e+05
34,1,2.6640e+05
29,1,3.8240e+05
30,1,3.8220e+05
24,1,5.7340e+05
25,1,5.7340e+05
17,1,8.7990e+05
18,1,9.0010e+05
11,1,1.2470e+06
10,1,1.2480e+06
6,1,1.0020e+06
5,1,1.0020e+06
42,2,1.3990e+06
42,3,2.7970e+05
41,3,1.6780e+06
37,2,2.0110e+06
36,3,2.4130e+06
37,3,4.0230e+05
33,2,3.3700e+05
33,3,6.7600e+05
32,2,3.0410e+06
31,3,3.6490e+06
32,3,6.0820e+05
28,2,5.1800e+05
28,3,1.0400e+06
26,2,4.9640e+06
27,3,5.9590e+06
26,3,9.9240e+05
23,2,8.6200e+05
23,3,1.7300e+06
19,2,9.0400e+06
20,3,1.0900e+07
19,3,1.8100e+06
16,2,1.5800e+06
16,3,3.1700e+06
12,2,1.9350e+07
13,3,2.3220e+07
12,3,3.8710e+06
9,2,3.4600e+06
9,3,6.9190e+06
7,2,5.7138e+07
8,3,6.8562e+07
7,3,1.1427e+07
3,1,3.6891e+07
2,1,3.6890e+07
34,4,2.7800e+04
35,4,2.7900e+04
30,4,3.5900e+04
29,4,3.6100e+04
25,4,4.3700e+04
24,4,4.3800e+04
4,2,1.1156e+07
4,3,2.2309e+07
18,4,4.0400e+04
17,4,4.0400e+04
37,5,6.7200e+05
37,6,1.3500e+05
36,6,8.1000e+05
33,5,1.8400e+05
33,6,3.7000e+05
35,7,4.5700e+03
34,7,4.5700e+04
35,8,4.1100e+04
32,6,2.0400e+05
31,6,1.2300e+06
32,5,1.0200e+06
28,5,2.8700e+05
28,6,5.7500e+05
29,7,7.1000e+03
30,7,7.0900e+04
29,8,6.3600e+04
27,6,1.9700e+06
26,6,3.2800e+05
26,5,1.6400e+06
10,4,6.9000e+02
11,4,6.8000e+02
24,7,1.1900e+04
25,7,1.1900e+05
24,8,1.0700e+05
23,5,4.8600e+05
23,6,9.7300e+05
20,6,3.4800e+06
19,6,5.8100e+05
19,5,2.9000e+06
22,7,4.2740e+06
21,8,4.5780e+06
22,8,3.0520e+05
17,7,2.2800e+04
18,7,2.2800e+05
17,8,2.0500e+05
16,6,1.8900e+06
16,5,9.4100e+05
34,9,4.4000e+03
35,9,4.4000e+03
30,9,4.1600e+03
29,9,4.1500e+03
13,6,6.7830e+06
12,5,5.6520e+06
12,6,1.1310e+06
25,9,1.8800e+03
24,9,1.8700e+03
15,8,1.3830e+07
14,8,9.2200e+05
14,7,1.2910e+07
37,10,2.9600e+05
37,11,5.9100e+04
36,11,3.5500e+05
11,7,5.3630e+04
10,7,5.3630e+05
11,8,4.8260e+05
35,12,4.9100e+03
34,12,4.9000e+04
35,13,4.4200e+04
33,10,1.1200e+05
33,11,2.2400e+05
32,11,8.8900e+04
32,10,4.4300e+05
31,11,5.3000e+05
29,12,7.8100e+03
30,12,7.8100e+04
29,13,7.0200e+04
28,11,3.5800e+05
28,10,1.7900e+05
9,6,4.9660e+06
9,5,2.4830e+06
18,9,3.3900e+03
17,9,3.3800e+03
26,11,1.4000e+05
26,10,6.9900e+05
27,11,8.3700e+05
27,14,1.1900e+03
26,14,2.5000e+04
27,15,2.3800e+04
24,12,1.3700e+04
25,12,1.3700e+05
24,13,1.2300e+05
5,4,3.7380e+06
6,4,3.7370e+06
23,10,3.1900e+05
23,11,6.4000e+05
34,16,4.6300e+02
35,16,4.6300e+02
37,17,3.1000e+04
37,18,1.5500e+05
36,17,1.8600e+05
35,19,4.5400e+03
34,19,4.5400e+04
35,20,4.0800e+04
20,11,1.3600e+06
19,11,2.2700e+05
19,10,1.1400e+06
33,17,1.5500e+05
33,18,7.7200e+04
22,12,2.4100e+06
22,13,1.7200e+05
21,13,2.5800e+06
20,14,2.4900e+03
19,14,5.2300e+04
20,15,4.9800e+04
17,12,2.7700e+04
18,12,2.7600e+05
17,13,2.4900e+05
32,17,4.5300e+04
32,18,2.2700e+05
31,17,2.7200e+05
29,19,7.4600e+03
30,19,7.4600e+04
29,20,6.7300e+04
25,16,3.3300e+03
24,16,3.3300e+03
28,18,1.3000e+05
28,17,2.5900e+05
16,10,7.5100e+05
16,11,1.5000e+06
10,9,7.7600e+05
11,9,7.7600e+05
27,17,3.9900e+05
26,17,6.6400e+04
26,18,3.3200e+05
37,24,1.8000e+04
37,25,8.9700e+04
36,24,1.0700e+05
27,22,2.0000e+03
26,22,4.1900e+04
27,21,3.9900e+04
35,26,4.1600e+03
34,26,4.1600e+04
35,27,3.7500e+04
24,19,1.3700e+04
25,19,1.3700e+05
24,20,1.2300e+05
30,23,2.1700e+03
29,23,2.1700e+03
33,24,1.2100e+05
33,25,6.0400e+04
23,18,2.8300e+05
23,17,5.6600e+05
32,24,2.4600e+04
32,25,1.2300e+05
31,24,1.4800e+05
34,28,1.3400e+03
35,28,1.3400e+03
29,26,7.0900e+03
30,26,7.0700e+04
29,27,6.3700e+04
18,16,2.3400e+05
17,16,2.3400e+05
28,25,1.2500e+05
28,24,2.4900e+05
37,30,5.3300e+04
37,29,1.0700e+04
36,29,6.3700e+04
35,32,3.9300e+03
34,32,3.9300e+04
35,31,3.5400e+04
25,23,8.9000e+04
24,23,8.8700e+04
33,30,6.1500e+04
33,29,1.2300e+05
8,6,3.7700e+03
7,6,6.2800e+02
7,5,3.1300e+03
30,28,3.9600e+04
29,28,3.9600e+04
34,33,1.9600e+04
35,33,1.9600e+04
13,11,1.2730e+03
12,11,2.1210e+02
12,10,1.0600e+03
20,17,4.8000e+02
19,17,8.0000e+01
19,18,4.0000e+02
27,24,2.1100e+02
26,25,1.7600e+02
26,24,3.5200e+01
32,29,1.6700e+01
32,30,8.3200e+01
31,29,9.9500e+01
37,35,8.9000e+00
37,34,4.4300e+01
36,35,5.3200e+01
22,19,6.5000e-01
22,20,4.6400e-02
21,20,6.9600e-01
14,12,6.4400e-02
14,13,4.6000e-03
15,13,6.9000e-02
