Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4s2.4p5""","=""2P*""","=""3/2""","=""""","=""0.00""","=""""","=""""","=""1.333921""","=""                                            ""","=""L351,L20600"""
"=""4s2.4p5""","=""2P*""","=""1/2""","=""""","=""3685.24""","=""""","=""""","=""0.6655""","=""                                            ""","=""L351,L6406"""
"=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""""","=""63436.45""","=""""","=""""","=""1.595""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""""","=""64907.19""","=""""","=""""","=""1.532""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""""","=""66883.87""","=""""","=""""","=""2.608""","=""         or  :        4s2.4p4.(3P).5s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""3/2""","=""""","=""67183.58""","=""""","=""""","=""1.522""","=""         or  :        4s2.4p4.(3P).5s  2P   ""","=""L351"""
"=""4s2.4p4.(3P<0>).5s""","=""2[0]""","=""1/2""","=""""","=""68970.21""","=""""","=""""","=""0.734""","=""         or  :        4s2.4p4.(3P).5s  2P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""5/2""","=""""","=""74672.32""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[2]*""","=""3/2""","=""""","=""75009.13""","=""""","=""""","=""0.826""","=""         or  :        4s2.4p4.(3P).5p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""7/2""","=""""","=""75521.50""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[3]*""","=""5/2""","=""""","=""75697.05""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""1/2""","=""""","=""75814.00""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).5p""","=""2[1]*""","=""3/2""","=""""","=""76743.08""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4D*  ""","=""L351"""
"=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""5/2""","=""""","=""75890.33""","=""""","=""""","=""1.210""","=""         or  :        4s2.4p4.(1D).5s  2D   ""","=""L351"""
"=""4s2.4p4.(1D<2>).5s""","=""2[2]""","=""3/2""","=""""","=""75908.53""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(1D).5s  2D   ""","=""L351"""
"=""4s2.4p4.(3P<1>).5p""","=""2[0]*""","=""1/2""","=""""","=""78076.00""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  2S*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""5/2""","=""""","=""78511.60""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  2D*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).5p""","=""2[2]*""","=""3/2""","=""""","=""78676.65""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  2D*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""1/2""","=""""","=""78865.72""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4D*  ""","=""L351"""
"=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""3/2""","=""""","=""79178.33""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  4S*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""7/2""","=""""","=""79044.50""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[3]""","=""5/2""","=""""","=""79260.91""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[1]""","=""3/2""","=""""","=""79630.67""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[1]""","=""1/2""","=""""","=""80026.40""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""3/2""","=""""","=""79695.89""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  2P*  ""","=""L351"""
"=""4s2.4p4.(3P<0>).5p""","=""2[1]*""","=""1/2""","=""""","=""79868.03""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).5p  2P*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[4]""","=""9/2""","=""""","=""80587.61""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[4]""","=""7/2""","=""""","=""81081.10""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[0]""","=""1/2""","=""""","=""81429.97""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""5/2""","=""""","=""81672.28""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).4d""","=""2[2]""","=""3/2""","=""""","=""81842.02""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).4d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""""","=""82236.17""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6s  4P   ""","=""L351"""
"=""4s2.4p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""""","=""82661.57""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6s  4P   ""","=""L351"""
