Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p3,4S*,3/2,,0.000,,0.005,1.967,  95                              ,L10083
5p3,2D*,3/2,,8512.125,,0.005,0.889,  85                              ,L10083
5p3,2D*,5/2,,9854.018,,0.005,1.205, 100                              ,L10083
5p3,2P*,1/2,,16395.359,,0.005,0.688, 100                              ,L10083
5p3,2P*,3/2,,18464.202,,0.005,1.277,  83                              ,L10083
5p2.(3P).6s,4P,1/2,,43249.337,,0.005,2.332,  79                              ,L10083
5p2.(3P).6s,4P,3/2,,45945.340,,0.005,1.713,  92                              ,L10083
5p2.(3P).6s,4P,5/2,,48332.424,,0.005,1.547,  84                              ,L10083
5p2.(3P).6s,2P,1/2,,46991.058,,0.005,1.004,  81                              ,L10083
5p2.(3P).6s,2P,3/2,,49391.133,,0.005,1.277,  72                              ,L10083
5p2.(3P<0>).6p,"(0,1/2)*",1/2,,51676.437,,0.005,,  91                              ,L10083
5p2.(3P<0>).6p,"(0,3/2)*",3/2,,52612.483,,0.005,,  90                              ,L10083
5p2.(3P).5d,4P,5/2,,53442.967,,0.005,,  36             :    21  5s.5p4  ,L10083
5p2.(3P).5d,4P,3/2,,56151.802,,0.005,1.302,  26             :    25  5p2.6s  ,L10083
5p2.(3P).5d,4P,1/2,,56698.608,,0.005,,  34             :    18  5s.5p4  ,L10083
5p2.(3P).5d,4F,3/2,,53527.956,,0.005,,  58                              ,L10083
5p2.(3P).5d,4F,5/2,,55120.943,,0.005,,  40             :    46  5p2.6s  ,L10083
5p2.(3P).5d,4F,7/2,,56528.132,,0.005,,  73                              ,L10083
5p2.(3P<1>).6p,"(1,1/2)*",1/2,,54196.618,,0.005,,  76                              ,L10083
5p2.(3P<1>).6p,"(1,1/2)*",3/2,,55134.255,,0.005,,  84                              ,L10083
,55135,5/2,,55135.1,,0.5,,                                  ,"L4893,L3466"
,55168*,,,55168.3,?,0.4,,                                  ,L3466
5p2.(1D).6s,2D,3/2,,55232.963,,0.005,0.991,  60             :    23  5p2.5d  ,L10083
5p2.(1D).6s,2D,5/2,,55728.264,,0.005,1.277,  42             :    37  5p2.5d  ,L10083
5p2.(3P<1>).6p,"(1,3/2)*",5/2,,55252.132,,0.005,,  97                              ,L10083
5p2.(3P<1>).6p,"(1,3/2)*",3/2,,55864.828,,0.005,,  92                              ,L10083
5p2.(3P<1>).6p,"(1,3/2)*",1/2,,55993.858,,0.005,,  68                              ,L10083
5p2.(3P).5d,2P,3/2,,56733.162,,0.005,1.311,  51             :    12  5s.5p4  ,L10083
5p2.(3P).5d,2P,1/2,,59737.625,,0.005,,  53             :    12  5p2.7s  ,L10083
5p2.(3P).5d,2F,5/2,,57287.052,,0.005,,  57                              ,L10083
5p2.(3P).5d,2F,7/2,,61125.741,,0.005,,  57                              ,L10083
5p2.(3P<2>).6p,"(2,1/2)*",5/2,,57410.340,,0.005,,  73                              ,L10083
5p2.(3P<2>).6p,"(2,1/2)*",3/2,,58075.536,,0.005,,  65                              ,L10083
5p2.(3P<2>).6p,"(2,3/2)*",7/2,,57555.355,,0.005,,  86                              ,L10083
5p2.(3P<2>).6p,"(2,3/2)*",3/2,,58589.512,,0.005,,  53                              ,L10083
5p2.(3P<2>).6p,"(2,3/2)*",1/2,,58653.011,,0.005,,  71                              ,L10083
5p2.(3P<2>).6p,"(2,3/2)*",5/2,,58835.487,,0.005,,  81                              ,L10083
5p2.(3P).5d,4D,1/2,,57597.203,,0.005,,  18             :    28  5p2.7s  ,L10083
5p2.(3P).5d,4D,3/2,,58746.356,,0.005,,  72             :     9  5s.5p4  ,L10083
5p2.(3P).5d,4D,5/2,,58862.889,,0.005,,  56             :     8  5s.5p4  ,L10083
5p2.(3P).5d,4D,7/2,,58944.148,,0.005,,  40                              ,L10083
5p2.(3P).7s,4P,1/2,,58132.656,,0.005,,  48             :    27  5p2.5d  ,L10083
5p2.(3P).7s,4P,3/2,,60964.671,,0.005,,  85                              ,L10083
5p2.(3P).7s,4P,5/2,,63516.282,,0.005,,  79             :     4  5p2.6d  ,L10083
5p2.(3P).5d,,5/2,,60404.475,,0.005,,  21  2D         :    49  5p2.6d  ,L10083
5p2.(3P).6d,2D,3/2,,60580.899,,0.005,,  33             :    28  5p2.5d  ,L10083
5p2.(3P).6d,2D,5/2,,66968.80,,0.05,,  39             :    29  5p2.5d  ,L10083
5p2.(3P<0>).7p,"(0,1/2)*",1/2,,60765.293,,0.005,,  90                              ,L10083
5p2.(3P<0>).7p,"(0,3/2)*",3/2,,61000.296,,0.005,,  93                              ,L10083
5p2.(3P).7s,2P,1/2,,61386.509,,0.005,,  67             :    10  5p2.5d  ,L10083
5p2.(3P).7s,2P,3/2,,63649.462,,0.005,,  57             :    16  5p2.6d  ,L10083
5p2.(3P).5d,2D,5/2,,61631.065,,0.005,,  40             :    24  5p2.6d  ,L10083
5p2.(3P).5d,2D,3/2,,61808.698,,0.005,,  46             :    28  5p2.6d  ,L10083
5p2.(3P<0>).4f,2[3]*,5/2,,62462.408,,0.005,,  94                              ,L10083
5p2.(3P<0>).4f,2[3]*,7/2,,62465.946,,0.005,,  94                              ,L10083
5p2.(3P).6d,4F,5/2,,62501.728,,0.005,,  28             :    26  5p2.5d  ,L10083
5p2.(3P).6d,4F,7/2,,64120.879,,0.005,,  53             :     7  5p2.5d  ,L10083
5p2.(3P).6d,4F,9/2,,66428.098,,0.005,,  70             :    15  5p2.5d  ,L10083
5p2.(3P).8s,4P,1/2,,62960.316,,0.005,,                                  ,L10083
5p2.(3P).8s,4P,3/2,,66113.217,,0.005,,                                  ,L10083
5p2.(3P).8s,4P,5/2,,68650.9,,0.3,,                                  ,"L6231,L3466"
5p2.(3P).5d,,3/2,,63193.033,,0.005,,  23  4P         :    51  5p2.6d  ,L10083
5p2.(3P<1>).7p,"(1,1/2)*",1/2,,63606.331,,0.005,,  86                              ,L10083
5p2.(3P<1>).7p,"(1,1/2)*",3/2,,63798.447,,0.005,,  68             :     6  5p2.8p  ,L10083
,63660*,,,63660.4,?,0.4,,                                  ,L3466
5p2.(3P<1>).7p,"(1,3/2)*",5/2,,63790.947,,0.005,,  89             :    10  5p2.6p  ,L10083
5p2.(3P<1>).7p,"(1,3/2)*",3/2,,63900.527,,0.005,,  60             :    16  5p2.6p  ,L10083
5p2.(3P<1>).7p,"(1,3/2)*",1/2,,64209.430,,0.005,,  81             :     4  5p2.8p  ,L10083
5p2.(3P).6d,,1/2,,63825.759,,0.005,,  29  4D         :    21  5p2.5d  ,L10083
5p2.(3P<0>).8p,"(0,1/2)*",1/2,,64098.356,,0.005,,  90             :     5  5p2.7p  ,L10083
5p2.(3P).7d,,5/2,,64213.708,,0.005,,                                  ,L10083
