obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
119.5289,0.0002,,,110,,,,,,,,,,,,,L368,
121.8411,0.0002,121.84134,0.00006,1400,,,0.000,82073.95,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).11s,2[2],5/2,,,L368,
122.4049,0.0002,122.40525,0.00006,4400,,,0.000,81695.84,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).9d,2[3],5/2,,,L368,
122.4077,0.0002,122.40795,0.00006,4400,,,0.000,81694.04,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).9d,2[2],3/2,,,L368,
122.8888,0.0002,122.88913,0.00006,3800,,,0.000,81374.16,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).10s,2[2],3/2,,,L368,
125.1335,0.0002,125.133716,0.000011,5400,,,0.000,79914.513,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).9s,2[2],5/2,,,L368,
125.9153,0.0002,125.915532,0.000011,24000,,,0.000,79418.320,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).7d,2[2],5/2,,,L368,
125.9511,0.0002,125.951361,0.000011,29000,,,0.000,79395.728,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).7d,2[2],3/2,,,L368,
126.1268,0.0002,126.127097,0.000011,7700,,,0.000,79285.104,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).7s,2[1],1/2,,,L368,
126.7569,0.0002,126.757142,0.000011,6100,,,0.000,78891.018,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).7s,2[1],3/2,,,L368,
126.7596,0.0002,126.759819,0.000011,6100,,,0.000,78889.352,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).7d,2[1],1/2,,,L368,
127.5255,0.0002,127.525806,0.000011,16000,,,0.000,78415.501,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).7s,2[0],1/2,,,L368,
128.9395,0.0002,128.939663,0.000012,35000,,,0.000,77555.655,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).8s,2[2],3/2,,,L368,
130.0335,0.0002,130.033770,0.000012,130000,,,0.000,76903.100,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[2],5/2,,,L368,
130.2983,0.0002,130.298577,0.000012,39000,,,0.000,76746.809,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[2],3/2,,,L368,
131.3947,0.0002,131.395031,0.000012,41000,,,0.000,76106.379,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[3],5/2,,,L368,
131.7542,0.0002,131.754521,0.000012,42000,,,0.000,75898.724,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[2],5/2,,,L368,
133.0189,0.0002,133.019291,0.000013,31000,,,0.000,75177.066,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[3],5/2,,,L368,
