obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,18.06,"g,a",,,0.000,553710,2p6.3s2,1S,0,2p5.(2P*).3p2.(1S) (2P*<1/2>).4s?,*,1,,,L4561,
18.10,18.10,"g,a",,,0.000,552490,2p6.3s2,1S,0,2p5.(2P*).3p2.(1S) (2P*<3/2>).4s?,*,1,,,L4561,
18.206,18.206,"g,a",,,0.000,549270,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<1/2>).5d?,*,1,,,L4561,
18.27,18.27,"g,a",,,0.000,547350,2p6.3s2,1S,0,2p5.(2P*).3p2.(3P) (2P*).3d?,*,1,,,L4561,
18.303,18.303,"g,a",,,0.000,546360,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<1/2>).4d?,*,1,,,L4561,
18.315,18.313,"g,a",,,0.000,546060,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?,*,1,,,L4561,
18.353,18.353,"g,a",,,0.000,544870,2p6.3s2,1S,0,2p5.(2P*).3s.3d.(3D) (2P*<3/2>).4d?,*,1,,,L4561,
18.595,18.595,"g,a",,,0.000,537780,2p6.3s2,1S,0,2p5.(2P*).3s.3d2?,*,1,,,L4561,
18.74,18.74,"g,a",,,0.000,533600,2p6.3s2,1S,0,2p5.(2P*).3p2.(3P) (2P*).4s?,*,1,,,L4561,
18.768,18.768,"g,a",,,0.000,532820,2p6.3s2,1S,0,,*,1,,,L4561,
18.875,18.875,"g,a",,,0.000,529800,2p6.3s2,1S,0,,*,1,,,L4561,
18.993,18.993,"g,a",,,0.000,526510,2p6.3s2,1S,0,,*,1,,,L4561,
19.407,19.407,"g,a",,,0.000,515280,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(1P*) (2S<1/2>).5p?,*,1,,,L4561,
19.466,19.466,"g,a",,,0.000,513720,2p6.3s2,1S,0,2p5.(2P*).3p2.(1D) (2P*<3/2>).4s?,*,1,,,L4561,
19.68,19.68,"g,a",,,0.000,508130,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(1P*) (2S<1/2>).4p?,*,1,,,L4561,
19.805,19.805,"g,a",,,0.000,504920,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).9p?,*,1,,,L4561,
19.826,19.826,"g,a",,,0.000,504390,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).8p?,*,1,,,L4561,
19.863,19.863,"g,a",,,0.000,503450,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).7p?,*,1,,,L4561,
19.926,19.926,"g,a",,,0.000,501860,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).6p?,*,1,,,L4561,
20.043,20.043,"g,a",,,0.000,498930,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).5p?,*,1,,,L4561,
20.188,20.188,"g,a",,,0.000,495340,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2P<3/2>).5p?,*,1,,,L4561,
20.242,20.242,"g,a",,,0.000,494020,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*).4p?,*,1,,,L4561,
20.275,20.275,"g,a",,,0.000,493220,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).4p?,*,1,,,L4561,
20.329,20.329,"g,a",,,0.000,491910,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2S<1/2>).4p?,*,1,,,L4561,
20.434,20.434,"g,a",,,0.000,489380,2p6.3s2,1S,0,2p5.(2P*).3s.3p.(3P*) (2P<3/2>).4p?,*,1,,,L4561,
21.000,21.000,"g,a",,,0.000,476190,2p6.3s2,1S,0,2p5.(2P*).3s.3p2.(2P),1P*,1,,,L4561,
21.352,21.352,"g,a",,,0.000,468340,2p6.3s2,1S,0,2p5.(2P*).3s.3p2.(2S),1P*,1,,,L4561,
21.5311,21.5299,"g,a",,,0.000,464470,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.8d?,2[3/2]*?,1,,,L1184,
21.5447,21.5448,"g,a",,,0.000,464150,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.9s<1/2>?,"(1/2,1/2)*?",1,,,L1184,
21.6202,21.6202,"g,a",,,0.000,462530,2p6.3s2,1S,0,2p5.(2P*<1/2>).3s2.6d,2[3/2]*,1,,,L1184,
