obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
147.41931,0.00020,147.41922,0.00009,760,,,823.6608,68657.42,5d8.6s2,3F,4,,w*,3,,,L11529,
148.1049,0.0010,148.1048,0.0011,70,,,823.6608,68343.4,5d8.6s2,3F,4,5d8.6s.7p,u*,3 or 4,,,L11529,
148.27280,0.00020,148.27287,0.00009,260,,,823.6608,68266.88,5d8.6s2,3F,4,5d8.6s.7p,t*,5,,,L11529,
148.9829,0.0010,148.98340,0.00007,52,,,0.0000,67121.57,5d9.6s,3D,3,5d9.7p,"(3/2,3/2)*",3,,,L11529,
150.17275,0.00020,150.172783,0.000009,800,,,823.6608,67413.6232,5d8.6s2,3F,4,5d8.6s.7p,s*,5 or 4,,,L11529,
150.7259,0.0010,150.72568,0.00007,86,,,775.8761,67121.57,5d9.6s,a 1D,2,5d9.7p,"(3/2,3/2)*",3,,,L11529,
150.83427,0.00020,150.83432,0.00007,340,,,823.6608,67121.57,5d8.6s2,3F,4,5d9.7p,"(3/2,3/2)*",3,,,L11529,
151.85424,0.00020,151.854485,0.000007,390,,,0.0000,65852.5167,5d9.6s,3D,3,,o*,4,,,L11529,
152.30737,0.00020,152.30749,0.00007,390,,,775.8761,66432.53,5d9.6s,a 1D,2,,q*,1,,,L11529,
152.64791,0.00020,152.64798,0.00012,620,,,0.0000,65510.20,5d9.6s,3D,3,,l*,3,,,L11529,
152.85153,0.00020,152.851540,0.000009,340,,,775.8761,66198.835,5d9.6s,a 1D,2,,p*,2,,,L11529,
153.67059,0.00020,153.670650,0.000014,440,,,775.8761,65850.111,5d9.6s,a 1D,2,,n*,1,,,L11529,
153.77781,0.00020,153.777886,0.000007,890,,,823.6608,65852.5167,5d8.6s2,3F,4,,o*,4,,,L11529,
154.0730,0.0010,154.073168,0.000012,94,,,0.0000,64904.228,5d9.6s,3D,3,5d8.(3F<4>).6s.7p.(3P*<2>),"(4,2)*",3,,,L11529,
154.47755,0.00020,154.47755,0.00012,230,,,775.8761,65510.20,5d9.6s,a 1D,2,,l*,3,,,L11529,
154.59171,0.00020,154.59167,0.00012,88,,,823.6608,65510.20,5d8.6s2,3F,4,,l*,3,,,L11529,
154.61695,0.00020,154.61709,0.00005,270,,,0.0000,64675.903,5d9.6s,3D,3,5d7.(4P).6s2.6p,5D*,3,,,L11529,
155.00109,0.00020,155.001175,0.000014,660,,,0.0000,64515.640,5d9.6s,3D,3,5d7.(4F).6s2.6p,c 5G*,2,,,L11529,
155.47412,0.00020,155.47414,0.00015,1200,,,0.0000,64319.38,5d9.6s,3D,3,5d8.(3F<4>).6s.7p.(3P*<2>),"(4,2)*",4,,,L11529,
155.6449,0.0010,155.644579,0.000017,82,,,0.0000,64248.945,5d9.6s,3D,3,5d8.6s.(2D).6p,3D*,2,,,L11529,
156.05351,0.00020,156.053550,0.000012,3300,,,823.6608,64904.228,5d8.6s2,3F,4,5d8.(3F<4>).6s.7p.(3P*<2>),"(4,2)*",3,,,L11529,
156.61156,0.00020,156.61157,0.00006,970,,,823.6608,64675.903,5d8.6s2,3F,4,5d7.(4P).6s2.6p,5D*,3,,,L11529,
156.67475,0.00020,156.67521,0.00005,3100p,,,0.0000,63826.306,5d9.6s,3D,3,5d7.(4F).6s2.6p,b 5G*,2,,,L11529,
157.49089,0.00020,157.49093,0.00015,1900,,,823.6608,64319.38,5d8.6s2,3F,4,5d8.(3F<4>).6s.7p.(3P*<2>),"(4,2)*",4,,,L11529,
157.54706,0.00020,157.547133,0.000017,260,,,775.8761,64248.945,5d9.6s,a 1D,2,5d8.6s.(2D).6p,3D*,2,,,L11529,
158.30953,0.00020,158.309687,0.000006,590,,,0.0000,63167.3284,5d9.6s,3D,3,5d8.(3F<4>).6s.7p.(3P*<1>),"(4,1)*",3,,,L11529,
158.42474,0.00020,158.42473,0.00020,1000,,,823.6608,63945.12,5d8.6s2,3F,4,5d8.(3F<4>).6s.7p.(3P*<2>),"(4,2)*",5,,,L11529,
158.60312,0.00020,158.60320,0.00006,300,,,775.8761,63826.306,5d9.6s,a 1D,2,5d7.(4F).6s2.6p,b 5G*,2,,,L11529,
159.51388,0.00020,159.514052,0.000020,240,,,775.8761,63466.278,5d9.6s,a 1D,2,5d8.6s.(2P).6p,3P*,1,,,L11529,
159.97339,0.00020,159.97338,0.00020,230,,,0.0000,62510.40,5d9.6s,3D,3,5d8.(3F<4>).6s.7p.(3P*<1>),"(4,1)*",4,,,L11529,
