obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
82.1887,0.0003,82.1888,,,,12578.950,134250.1,4p6.5p,2P*,1/2,4p5.5s.5p,4S,3/2,,,L6831,
82.3496,0.0003,82.3496,,,,12816.545,134250.1,4p6.5p,2P*,3/2,4p5.5s.5p,4S,3/2,,,L6831,
85.1419,0.0003,85.1421,,,,19355.649,136806.4,4p6.4d,2D,3/2,4p5.5s.4d,4P*,5/2,,,L6831,
85.1419,0.0003,85.1417,,,,19355.203,136806.4,4p6.4d,2D,5/2,4p5.5s.4d,4P*,5/2,,,L6831,
90.53,0.03,90.4691,,,,23715.081,134250.1,4p6.6p,2P*,1/2,4p5.5s.5p,4S,3/2,,,L11806,
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
296.9045,0.0005,296.9042,,,,0.000,33671.07,4p6.5s,2S,1/2,4p6.77p,2P*,3/2,,,L3287,
296.9045,0.0005,296.9042,,,,0.000,33671.07,4p6.5s,2S,1/2,4p6.77p,2P*,1/2,,,L3287,
296.9085,0.0005,296.9082,,,,0.000,33670.61,4p6.5s,2S,1/2,4p6.76p,2P*,1/2,,,L3287,
296.9085,0.0005,296.9082,,,,0.000,33670.61,4p6.5s,2S,1/2,4p6.76p,2P*,3/2,,,L3287,
296.9138,0.0005,296.9135,,,,0.000,33670.01,4p6.5s,2S,1/2,4p6.75p,2P*,3/2,,,L3287,
296.9138,0.0005,296.9135,,,,0.000,33670.01,4p6.5s,2S,1/2,4p6.75p,2P*,1/2,,,L3287,
296.9195,0.0005,296.9192,,,,0.000,33669.36,4p6.5s,2S,1/2,4p6.74p,2P*,3/2,,,L3287,
296.9195,0.0005,296.9192,,,,0.000,33669.36,4p6.5s,2S,1/2,4p6.74p,2P*,1/2,,,L3287,
296.9245,0.0005,296.9243,,,,0.000,33668.79,4p6.5s,2S,1/2,4p6.73p,2P*,1/2,,,L3287,
296.9245,0.0005,296.9243,,,,0.000,33668.79,4p6.5s,2S,1/2,4p6.73p,2P*,3/2,,,L3287,
296.9305,0.0005,296.9303,,,,0.000,33668.11,4p6.5s,2S,1/2,4p6.72p,2P*,3/2,,,L3287,
296.9305,0.0005,296.9303,,,,0.000,33668.11,4p6.5s,2S,1/2,4p6.72p,2P*,1/2,,,L3287,
296.9359,0.0005,296.9357,,,,0.000,33667.49,4p6.5s,2S,1/2,4p6.71p,2P*,3/2,,,L3287,
296.9359,0.0005,296.9357,,,,0.000,33667.49,4p6.5s,2S,1/2,4p6.71p,2P*,1/2,,,L3287,
296.9422,0.0005,296.9420,,,,0.000,33666.78,4p6.5s,2S,1/2,4p6.70p,2P*,1/2,,,L3287,
