obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
228.857,228.8564,140,,,2598.03,46280.09,4d8.(3F).5s,a 4F,5/2,,21*,3/2,,,L3475,
230.982,230.9816,110,,,3472.68,46752.86,4d8.(3F).5s,a 4F,3/2,,23*,1/2,,,L3475,
231.836,231.8370,55,,,5690.97,48811.47,4d8.(3F).5s,a 2F,7/2,,26*,7/2,,,L3475,
231.910,231.9109,95,,,5690.97,48797.74,4d8.(3F).5s,a 2F,7/2,,25*,5/2,,,L3475,
232.173,232.1728,95,,,1529.97,44588.12,4d8.(3F).5s,a 4F,7/2,,17*,7/2,,,L3475,
232.258,232.2582,350,,,0.00,43042.31,4d8.(3F).5s,a 4F,9/2,,15*,9/2,,,L3475,
232.647,232.6478,140,,,3309.86,46280.09,4d9,a 2D,5/2,,21*,3/2,,,L3475,
232.864,232.8647,80,,,7791.23,50721.44,4d8.(3F).5s,a 2F,5/2,,29*,3/2,,,L3475,
234.541,,55,,,,,,,,,,,,,L3475,
235.247,235.2472,55,,,0.00,42495.48,4d8.(3F).5s,a 4F,9/2,,14*,7/2,,,L3475,
235.918,235.9174,55,,,1529.97,43904.73,4d8.(3F).5s,a 4F,7/2,4d8.(1G).5p,x 2F*,7/2,,,L3475,
236.192,236.1922,300,,,0.00,42325.46,4d8.(3F).5s,a 4F,9/2,,13*,9/2,,,L3475,
236.834,236.8342,110,,,3472.68,45683.41,4d8.(3F).5s,a 4F,3/2,,20*,5/2,,,L3475,
238.289,238.2889,270,,,0.00,41953.07,4d8.(3F).5s,a 4F,9/2,,12*,9/2,,,L3475,
238.340,,230,,,,,,,,,,,,,L3475,
238.465,238.4651,40,,,7791.23,49713.30,4d8.(3F).5s,a 2F,5/2,,27*,5/2,,,L3475,
240.788,240.7886,80,,,1529.97,43047.54,4d8.(3F).5s,a 4F,7/2,,16*,7/2,,,L3475,
240.819,240.8190,27,,,1529.97,43042.31,4d8.(3F).5s,a 4F,7/2,,15*,9/2,,,L3475,
241.025,241.0253,27,,,3309.86,44786.67,4d9,a 2D,5/2,,19*,5/2,,,L3475,
241.975,241.9752,45,,,3472.68,44786.67,4d8.(3F).5s,a 4F,3/2,,19*,5/2,,,L3475,
242.768,242.7683,130,,,2598.03,43777.07,4d8.(3F).5s,a 4F,5/2,4d8.(1G).5p,x 2F*,5/2,,,L3475,
242.952,242.9517,230,,,3472.68,44620.63,4d8.(3F).5s,a 4F,3/2,,18*,3/2,,,L3475,
243.266,243.2655,40,,,5657.97,46752.86,4d9,a 2D,3/2,,23*,1/2,,,L3475,
243.708,243.7082,18,,,7791.23,48811.47,4d8.(3F).5s,a 2F,5/2,,26*,7/2,,,L3475,
243.790,243.7898,110,,,7791.23,48797.74,4d8.(3F).5s,a 2F,5/2,,25*,5/2,,,L3475,
244.034,244.0338,330,,,1529.97,42495.48,4d8.(3F).5s,a 4F,7/2,,14*,7/2,,,L3475,
244.427,,50w,,,,,,,,,,,,,L3475,
244.884,244.8836,65,,,2598.03,43421.40,4d8.(3F).5s,a 4F,5/2,4d8.(1D).5p,x 2D*,5/2,,,L3475,
244.904,244.9030,50,,,5690.97,46511.10,4d8.(3F).5s,a 2F,7/2,,22*,9/2,,,L3475,
245.056,245.0509,75,,,1529.97,42325.46,4d8.(3F).5s,a 4F,7/2,,13*,9/2,,,L3475,
246.361,,30,,,,,,,,,,,,,L3475,
247.039,247.0390,75,,,3309.86,43777.07,4d9,a 2D,5/2,4d8.(1G).5p,x 2F*,5/2,,,L3475,
247.147,247.1471,90,,,2598.03,43047.54,4d8.(3F).5s,a 4F,5/2,,16*,7/2,,,L3475,
247.251,,30,,,,,,,,,,,,,L3475,
247.309,247.3086,130,,,1529.97,41953.07,4d8.(3F).5s,a 4F,7/2,,12*,9/2,,,L3475,
248.204,,25,,,,,,,,,,,,,L3475,
248.333,248.3331,50,,,3472.68,43729.02,4d8.(3F).5s,a 4F,3/2,4d8.(1D).5p,y 2P*,1/2,,,L3475,
248.747,,150,,,,,,,,,,,,,L3475,
249.230,249.2296,30,,,3309.86,43421.40,4d9,a 2D,5/2,4d8.(1D).5p,x 2D*,5/2,,,L3475,
249.902,,15,,,,,,,,,,,,,L3475,
250.246,250.2455,130,,,3472.68,43421.40,4d8.(3F).5s,a 4F,3/2,4d8.(1D).5p,x 2D*,5/2,,,L3475,
250.567,250.5671,150,,,2598.03,42495.48,4d8.(3F).5s,a 4F,5/2,,14*,7/2,,,L3475,
250.970,250.9697,350,,,2598.03,42431.48,4d8.(3F).5s,a 4F,5/2,4d8.(1D).5p,x 2D*,3/2,,,L3475,
251.575,251.5746,200,,,3309.86,43047.54,4d9,a 2D,5/2,,16*,7/2,,,L3475,
252.599,252.5991,13,,,9221.22,48797.74,4d8.(3P).5s,a 4P,5/2,,25*,5/2,,,L3475,
253.174,253.1740,13,,,5690.97,45177.63,4d8.(3F).5s,a 2F,7/2,4d8.(1G).5p,y 2G*,7/2,,,L3475,
254.570,,350,,,,,,,,,,,,,L3475,
255.536,255.5365,550,,,3309.86,42431.48,4d9,a 2D,5/2,4d8.(1D).5p,x 2D*,3/2,,,L3475,
255.862,,25,,,,,,,,,,,,,L3475,
256.579,256.5791,50,,,5657.97,44620.63,4d9,a 2D,3/2,,18*,3/2,,,L3475,
256.604,256.6045,45,,,3472.68,42431.48,4d8.(3F).5s,a 4F,3/2,4d8.(1D).5p,x 2D*,3/2,,,L3475,
257.575,257.5791,25,,,14787.87,53599.28,4d7.5s2,b 4F,7/2,,32*,"3/2,5/2",,,L3475,
262.258,262.2574,150,,,5657.97,43777.07,4d9,a 2D,3/2,4d8.(1G).5p,x 2F*,5/2,,,L3475,
262.588,262.5885,230,,,5657.97,43729.02,4d9,a 2D,3/2,4d8.(1D).5p,y 2P*,1/2,,,L3475,
263.042,263.0417,100,,,2598.03,40603.48,4d8.(3F).5s,a 4F,5/2,4d8.(1S).5p,x 2P*,3/2,,,L3475,
263.499,,40,,,,,,,,,,,,,L3475,
264.300,,75,,,,,,,,,,,,,L3475,
264.728,264.7276,110,,,5657.97,43421.40,4d9,a 2D,3/2,4d8.(1D).5p,x 2D*,5/2,,,L3475,
265.266,265.2659,400,,,2598.03,40284.83,4d8.(3F).5s,a 4F,5/2,4d8.(1D).5p,y 2F*,7/2,,,L3475,
265.901,265.9010,30,,,1529.97,39126.76,4d8.(3F).5s,a 4F,7/2,,6*,5/2,,,L3475,
267.106,267.1051,30,,,3472.68,40900.00,4d8.(3F).5s,a 4F,3/2,4d8.(3P).5p,z 4S*,3/2,,,L3475,
267.611,267.6110,65,,,5690.97,43047.54,4d8.(3F).5s,a 2F,7/2,,16*,7/2,,,L3475,
268.028,,25,,,,,,,,,,,,,L3475,
268.063,268.0627,100,,,3309.86,40603.48,4d9,a 2D,5/2,4d8.(1S).5p,x 2P*,3/2,,,L3475,
268.178,268.1787,30,,,14787.87,52065.37,4d7.5s2,b 4F,7/2,,31*,7/2,,,L3475,
269.431,269.4308,50,,,3472.68,40576.95,4d8.(3F).5s,a 4F,3/2,4d8.(1D).5p,y 2F*,5/2,,,L3475,
270.373,270.3730,400,,,3309.86,40284.83,4d9,a 2D,5/2,4d8.(1D).5p,y 2F*,7/2,,,L3475,
270.723,270.7225,40,,,2598.03,39525.28,4d8.(3F).5s,a 4F,5/2,4d8.(3P).5p,y 2D*,3/2,,,L3475,
271.441,271.4418,75,,,7791.23,44620.63,4d8.(3F).5s,a 2F,5/2,,18*,3/2,,,L3475,
271.751,271.7511,75,,,0.00,36787.48,4d8.(3F).5s,a 4F,9/2,4d8.(3P).5p,y 4D*,7/2,,,L3475,
271.854,271.8543,180,,,5657.97,42431.48,4d9,a 2D,3/2,4d8.(1D).5p,x 2D*,3/2,,,L3475,
272.014,,65,,,,,,,,,,,,,L3475,
272.052,272.0526,30,,,13974.73,50721.44,4d8.(3P).5s,a 2P,1/2,,29*,3/2,,,L3475,
272.894,272.8945,160,,,2598.03,39231.38,4d8.(3F).5s,a 4F,5/2,4d8.(1D).5p,y 2P*,3/2,,,L3475,
273.676,273.6761,40,,,2598.03,39126.76,4d8.(3F).5s,a 4F,5/2,,6*,5/2,,,L3475,
274.175,274.1756,75,,,9221.22,45683.41,4d8.(3P).5s,a 4P,5/2,,20*,5/2,,,L3475,
276.773,276.7726,50,,,2598.03,38718.11,4d8.(3F).5s,a 4F,5/2,4d8.(3P).5p,y 2D*,5/2,,,L3475,
277.151,277.1507,100,,,2598.03,38668.83,4d8.(3F).5s,a 4F,5/2,,4*,3/2,,,L3475,
277.806,277.8051,50,,,7791.23,43777.07,4d8.(3F).5s,a 2F,5/2,4d8.(1G).5p,x 2F*,5/2,,,L3475,
277.954,277.9531,75,,,10313.41,46280.09,4d8.(3P).5s,a 4P,3/2,,21*,3/2,,,L3475,
278.303,278.3025,130,,,3309.86,39231.38,4d9,a 2D,5/2,4d8.(1D).5p,y 2P*,3/2,,,L3475,
279.116,279.1155,25,,,3309.86,39126.76,4d9,a 2D,5/2,,6*,5/2,,,L3475,
279.663,279.6628,75,,,11006.05,46752.86,4d8.(3P).5s,a 4P,1/2,,23*,1/2,,,L3475,
282.643,282.6423,150,,,10313.41,45683.41,4d8.(3P).5s,a 4P,3/2,,20*,5/2,,,L3475,
282.668,282.6671,180,,,9221.22,44588.12,4d8.(3P).5s,a 4P,5/2,,17*,7/2,,,L3475,
282.731,282.7305,30,,,3309.86,38668.83,4d9,a 2D,5/2,,4*,3/2,,,L3475,
283.412,283.4112,75,,,11006.05,46280.09,4d8.(3P).5s,a 4P,1/2,,21*,3/2,,,L3475,
283.544,283.5441,45,,,1529.97,36787.48,4d8.(3F).5s,a 4F,7/2,4d8.(3P).5p,y 4D*,7/2,,,L3475,
283.669,283.6687,75,,,5657.97,40900.00,4d9,a 2D,3/2,4d8.(3P).5p,z 4S*,3/2,,,L3475,
285.616,285.6161,50,,,3472.68,38474.43,4d8.(3F).5s,a 4F,3/2,4d8.(3P).5p,y 4D*,1/2,,,L3475,
286.068,286.0673,50bl,,,5657.97,40604.52,4d9,a 2D,3/2,4d8.(3P).5p,z 2S*,1/2,,,L3475,
286.076,286.0758,,,,5657.97,40603.48,4d9,a 2D,3/2,4d8.(1S).5p,x 2P*,3/2,,,L3475,
286.294,286.2931,280,,,5657.97,40576.95,4d9,a 2D,3/2,4d8.(1D).5p,y 2F*,5/2,,,L3475,
286.440,286.4398,65,,,3309.86,38210.96,4d9,a 2D,5/2,4d8.(3P).5p,z 2P*,3/2,,,L3475,
287.135,,50,,,,,,,,,,,,,L3475,
287.362,,30,,,,,,,,,,,,,L3475,
287.866,287.8655,110,,,3309.86,38038.12,4d9,a 2D,5/2,4d8.(3P).5p,y 4D*,3/2,,,L3475,
288.076,288.0759,75,,,3309.86,38012.75,4d9,a 2D,5/2,,3*,7/2,,,L3475,
288.237,288.2369,140,,,9221.22,43904.73,4d8.(3P).5s,a 4P,5/2,4d8.(1G).5p,x 2F*,7/2,,,L3475,
288.597,288.5969,75,,,7791.23,42431.48,4d8.(3F).5s,a 2F,5/2,4d8.(1D).5p,x 2D*,3/2,,,L3475,
288.911,288.9097,75,,,1529.97,36132.72,4d8.(3F).5s,a 4F,7/2,,1*,7/2,,,L3475,
288.984,288.9839,75,,,5690.97,40284.83,4d8.(3F).5s,a 2F,7/2,4d8.(1D).5p,y 2F*,7/2,,,L3475,
289.996,289.9949,65,,,10313.41,44786.67,4d8.(3P).5s,a 4P,3/2,,19*,5/2,,,L3475,
290.481,290.4812,25,,,14382.19,48797.74,4d8.(1D).5s,b 2D,3/2,,25*,5/2,,,L3475,
290.721,290.7206,160,,,2598.03,36985.25,4d8.(3F).5s,a 4F,5/2,4d8.(3P).5p,y 4D*,5/2,,,L3475,
291.262,291.2617,75,,,5657.97,39981.30,4d9,a 2D,3/2,,9*,5/2,,,L3475,
291.542,291.5420,90,,,5690.97,39981.30,4d8.(3F).5s,a 2F,7/2,,9*,5/2,,,L3475,
