obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,92.898,"10g,a",,,0.000,107645,3s2.3p4,3P,2,3s2.3p3.(2P*).16d,"3P*,3D*",1 or 2 or 3,,,L6772,
92.951,92.951,"10g,a",,,0.000,107584,3s2.3p4,3P,2,3s2.3p3.(2P*).15d,"3P*,3D*",1 or 2 or 3,,,L6772,
93.012,93.012,"10g,a",,,0.000,107513,3s2.3p4,3P,2,3s2.3p3.(2P*).14d,"3P*,3D*",1 or 2 or 3,,,L6772,
93.109,93.109,"20g,a",,,0.000,107401,3s2.3p4,3P,2,3s2.3p3.(2P*).13d,"3P*,3D*",1 or 2 or 3,,,L6772,
93.208,93.208,"20g,a",,,0.000,107287,3s2.3p4,3P,2,3s2.3p3.(2P*).12d,"3P*,3D*",1 or 2 or 3,,,L6772,
93.353,93.353,"20g,a*",,,0.000,107120,3s2.3p4,3P,2,3s2.3p3.(2P*).11d,3P*,2,,,L6772,
93.353,93.353,"20g,a*",,,0.000,107120,3s2.3p4,3P,2,3s2.3p3.(2P*).11d,3P*,1,,,L6772,
93.519,93.519,"25g,a*",,,0.000,106930,3s2.3p4,3P,2,3s2.3p3.(2P*).10d,3P*,2,,,L6772,
93.519,93.519,"25g,a*",,,0.000,106930,3s2.3p4,3P,2,3s2.3p3.(2P*).10d,3P*,1,,,L6772,
93.796,93.796,"30g,a*",,,0.000,106614,3s2.3p4,3P,2,3s2.3p3.(2P*).9d,3P*,1,,,L6772,
93.796,93.796,"30g,a*",,,0.000,106614,3s2.3p4,3P,2,3s2.3p3.(2P*).9d,3P*,2,,,L6772,
94.01,94.01,"g,a,B*",,,0.000,106370a,3s2.3p4,3P,2,3s2.3p3.(2P*).10s,3P*,2,,,L6752,
94.01,94.01,"g,a,B*",,,0.000,106370a,3s2.3p4,3P,2,3s2.3p3.(2P*).10s,3P*,1,,,L6752,
94.06,94.06,"g,a,B*",,,0.000,106310a,3s2.3p4,3P,2,3s2.3p3.(2P*).8d,3D*,1,,,L6752,
94.06,94.06,"g,a,B*",,,0.000,106310a,3s2.3p4,3P,2,3s2.3p3.(2P*).8d,3D*,2,,,L6752,
94.06,94.06,"g,a,B*",,,0.000,106310a,3s2.3p4,3P,2,3s2.3p3.(2P*).8d,3D*,3,,,L6752,
94.121,94.121,"30g,a*",,,0.000,106246,3s2.3p4,3P,2,3s2.3p3.(2P*).8d,3P*,2,,,L6772,
94.121,94.121,"30g,a*",,,0.000,106246,3s2.3p4,3P,2,3s2.3p3.(2P*).8d,3P*,1,,,L6772,
94.485,94.45,"25g,a*",,,0.000,105880a,3s2.3p4,3P,2,3s2.3p3.(2P*).9s,3P*,2,,,L6772,
94.485,94.45,"25g,a*",,,0.000,105880a,3s2.3p4,3P,2,3s2.3p3.(2P*).9s,3P*,1,,,L6772,
94.57,94.57,"g,a,B*",,,0.000,105740a,3s2.3p4,3P,2,3s2.3p3.(2P*).7d,3D*,3,,,L6752,
94.57,94.57,"g,a,B*",,,0.000,105740a,3s2.3p4,3P,2,3s2.3p3.(2P*).7d,3D*,2,,,L6752,
94.57,94.57,"g,a,B*",,,0.000,105740a,3s2.3p4,3P,2,3s2.3p3.(2P*).7d,3D*,1,,,L6752,
94.63,94.63,"g,a,B",,,573.640,106246,3s2.3p4,3P,0,3s2.3p3.(2P*).8d,3P*,1,,,"L6752,L1500",
94.645,94.643,"30g,a",,,0.000,105660a,3s2.3p4,3P,2,3s2.3p3.(2P*).7d,3P*,1,,,L6772,
95.248,95.24,"30g,a*",,,0.000,105000a,3s2.3p4,3P,2,3s2.3p3.(2P*).8s,3P*,2,,,L6772,
95.248,95.24,"30g,a*",,,0.000,105000a,3s2.3p4,3P,2,3s2.3p3.(2P*).8s,3P*,1,,,L6772,
95.36,95.36,"g,a,B*",,,0.000,104870a,3s2.3p4,3P,2,3s2.3p3.(2P*).6d,3D*,3,,,L6752,
95.36,95.36,"g,a,B*",,,0.000,104870a,3s2.3p4,3P,2,3s2.3p3.(2P*).6d,3D*,1,,,L6752,
95.36,95.36,"g,a,B*",,,0.000,104870a,3s2.3p4,3P,2,3s2.3p3.(2P*).6d,3D*,2,,,L6752,
95.474,95.475,"40g,a",,,0.000,104740a,3s2.3p4,3P,2,3s2.3p3.(2P*).6d,3P*,2,,,L6772,
95.832,95.837,"30g,a*",,,396.055,104740a,3s2.3p4,3P,1,3s2.3p3.(2P*).6d,3P*,0,,,L6772,
95.832,95.837,"30g,a*",,,396.055,104740a,3s2.3p4,3P,1,3s2.3p3.(2P*).6d,3P*,1,,,L6772,
95.832,95.837,"30g,a*",,,396.055,104740a,3s2.3p4,3P,1,3s2.3p3.(2P*).6d,3P*,2,,,L6772,
96.532,96.525,"40g,a*",,,0.000,103600a,3s2.3p4,3P,2,3s2.3p3.(2P*).7s,3P*,1,,,L6772,
96.532,96.525,"40g,a*",,,0.000,103600a,3s2.3p4,3P,2,3s2.3p3.(2P*).7s,3P*,2,,,L6772,
96.74,96.74,"g,a,B*",,,0.000,103370a,3s2.3p4,3P,2,3s2.3p3.(2P*).5d,3D*,3,,,L6752,
96.74,96.74,"g,a,B*",,,0.000,103370a,3s2.3p4,3P,2,3s2.3p3.(2P*).5d,3D*,1,,,L6752,
96.74,96.74,"g,a,B*",,,0.000,103370a,3s2.3p4,3P,2,3s2.3p3.(2P*).5d,3D*,2,,,L6752,
96.913,96.909,"40g,a*",,,0.000,103190a,3s2.3p4,3P,2,3s2.3p3.(2P*).5d,3P*,1,,,L6772,
96.913,96.909,"40g,a*",,,0.000,103190a,3s2.3p4,3P,2,3s2.3p3.(2P*).5d,3P*,2,,,L6772,
99.005,99.010,"40g,a*",,,0.000,101000a,3s2.3p4,3P,2,3s2.3p3.(2P*).6s,3P*,1,,,L6772,
99.005,99.010,"40g,a*",,,0.000,101000a,3s2.3p4,3P,2,3s2.3p3.(2P*).6s,3P*,2,,,L6772,
99.393,99.400,"30g,a*",,,396.055,101000a,3s2.3p4,3P,1,3s2.3p3.(2P*).6s,3P*,1,,,L6772,
99.393,99.400,"30g,a*",,,396.055,101000a,3s2.3p4,3P,1,3s2.3p3.(2P*).6s,3P*,0,,,L6772,
99.393,99.400,"30g,a*",,,396.055,101000a,3s2.3p4,3P,1,3s2.3p3.(2P*).6s,3P*,2,,,L6772,
99.46,99.46,"g,a,B*",,,0.000,100540a,3s2.3p4,3P,2,3s2.3p3.(2P*).4d,3D*,1,,,L6752,
99.46,99.46,"g,a,B*",,,0.000,100540a,3s2.3p4,3P,2,3s2.3p3.(2P*).4d,3D*,2,,,L6752,
99.46,99.46,"g,a,B*",,,0.000,100540a,3s2.3p4,3P,2,3s2.3p3.(2P*).4d,3D*,3,,,L6752,
99.698,99.701,"40g,a*",,,0.000,100300a,3s2.3p4,3P,2,3s2.3p3.(2P*).4d,3P*,2,,,L6772,
99.698,99.701,"40g,a*",,,0.000,100300a,3s2.3p4,3P,2,3s2.3p3.(2P*).4d,3P*,1,,,L6772,
100.04,100.03,"20g,a,B",,,573.640,100540a,3s2.3p4,3P,0,3s2.3p3.(2P*).4d,3D*,1,,,L6772,
101.880,101.880,"10g,a*",,,0.000,98155,3s2.3p4,3P,2,3s2.3p3.(2D*).22s,3D*,2,,,L6772,
101.880,101.880,"10g,a*",,,0.000,98155,3s2.3p4,3P,2,3s2.3p3.(2D*).22s,3D*,3,,,L6772,
101.880,101.880,"10g,a*",,,0.000,98155,3s2.3p4,3P,2,3s2.3p3.(2D*).22s,3D*,1,,,L6772,
101.909,101.910,"15g,a*",,,0.000,98126,3s2.3p4,3P,2,3s2.3p3.(2D*).21s,3D*,2,,,L6772,
101.909,101.910,"15g,a*",,,0.000,98126,3s2.3p4,3P,2,3s2.3p3.(2D*).21s,3D*,3,,,L6772,
101.909,101.910,"15g,a*",,,0.000,98126,3s2.3p4,3P,2,3s2.3p3.(2D*).21s,3D*,1,,,L6772,
101.944,101.944,"15g,a*",,,0.000,98093,3s2.3p4,3P,2,3s2.3p3.(2D*).20s,3D*,2,,,L6772,
101.944,101.944,"15g,a*",,,0.000,98093,3s2.3p4,3P,2,3s2.3p3.(2D*).20s,3D*,3,,,L6772,
101.944,101.944,"15g,a*",,,0.000,98093,3s2.3p4,3P,2,3s2.3p3.(2D*).20s,3D*,1,,,L6772,
101.987,101.987,"20g,a*",,,0.000,98052,3s2.3p4,3P,2,3s2.3p3.(2D*).19s,3D*,1,,,L6772,
101.987,101.987,"20g,a*",,,0.000,98052,3s2.3p4,3P,2,3s2.3p3.(2D*).19s,3D*,2,,,L6772,
101.987,101.987,"20g,a*",,,0.000,98052,3s2.3p4,3P,2,3s2.3p3.(2D*).19s,3D*,3,,,L6772,
102.041,102.041,"20g,a*",,,0.000,98000,3s2.3p4,3P,2,3s2.3p3.(2D*).18s,3D*,1,,,L6772,
102.041,102.041,"20g,a*",,,0.000,98000,3s2.3p4,3P,2,3s2.3p3.(2D*).18s,3D*,2,,,L6772,
102.041,102.041,"20g,a*",,,0.000,98000,3s2.3p4,3P,2,3s2.3p3.(2D*).18s,3D*,3,,,L6772,
102.103,102.103,"30g,a*",,,0.000,97940,3s2.3p4,3P,2,3s2.3p3.(2D*).17s,3D*,1,,,L6772,
102.103,102.103,"30g,a*",,,0.000,97940,3s2.3p4,3P,2,3s2.3p3.(2D*).17s,3D*,2,,,L6772,
102.103,102.103,"30g,a*",,,0.000,97940,3s2.3p4,3P,2,3s2.3p3.(2D*).17s,3D*,3,,,L6772,
102.176,102.176,"30g,a*",,,0.000,97870,3s2.3p4,3P,2,3s2.3p3.(2D*).16s,3D*,1,,,L6772,
102.176,102.176,"30g,a*",,,0.000,97870,3s2.3p4,3P,2,3s2.3p3.(2D*).16s,3D*,2,,,L6772,
102.176,102.176,"30g,a*",,,0.000,97870,3s2.3p4,3P,2,3s2.3p3.(2D*).16s,3D*,3,,,L6772,
102.273,102.272,"40g,a*",,,0.000,97778,3s2.3p4,3P,2,3s2.3p3.(2D*).15s,3D*,1,,,L6772,
102.273,102.272,"40g,a*",,,0.000,97778,3s2.3p4,3P,2,3s2.3p3.(2D*).15s,3D*,2,,,L6772,
102.273,102.272,"40g,a*",,,0.000,97778,3s2.3p4,3P,2,3s2.3p3.(2D*).15s,3D*,3,,,L6772,
102.391,102.391,"50g,a*",,,0.000,97665,3s2.3p4,3P,2,3s2.3p3.(2D*).14s,3D*,1,,,L6772,
102.391,102.391,"50g,a*",,,0.000,97665,3s2.3p4,3P,2,3s2.3p3.(2D*).14s,3D*,2,,,L6772,
102.391,102.391,"50g,a*",,,0.000,97665,3s2.3p4,3P,2,3s2.3p3.(2D*).14s,3D*,3,,,L6772,
