Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
1s2.2s,2S,1/2,,0.000,,0.3, 100                                           ,L12158
1s2.2p,2P*,1/2,,31928.744,,0.3, 100                                           ,L12158
1s2.2p,2P*,3/2,,31935.320,,0.3, 100                                           ,L12158
1s2.3s,2S,1/2,,88231.915,,-, 100                                           ,L12158
1s2.3p,2P*,1/2,,96495.360,,0.014, 100                                           ,L12158
1s2.3p,2P*,3/2,,96497.288,,0.014, 100                                           ,L12158
1s2.3d,2D,3/2,,98054.57,,0.10, 100                                           ,L12158
1s2.3d,2D,5/2,,98055.10,,0.10, 100                                           ,L12158
1s2.4s,2S,1/2,,115464.44,,0.07, 100                                           ,L12158
1s2.4p,2P*,1/2,,118760.51,,0.09, 100                                           ,L12158
1s2.4p,2P*,3/2,,118761.32,,0.09, 100                                           ,L12158
1s2.4d,2D,3/2,,119421.20,,0.06, 100                                           ,L12158
1s2.4d,2D,5/2,,119421.44,,0.06, 100                                           ,L12158
1s2.4f,2F*,5/2,,119446.59,,0.12, 100                                           ,L12158
1s2.4f,2F*,7/2,,119446.72,,0.12, 100                                           ,L12158
1s2.5s,2S,1/2,,127335.12,,0.09, 100                                           ,L12158
1s2.5p,2P*,1/2,,128971.62,,0.08, 100                                           ,L12158
1s2.5p,2P*,3/2,,128972.05,,0.08, 100                                           ,L12158
1s2.5d,2D,3/2,,129310.13,,0.09, 100                                           ,L12158
1s2.5d,2D,5/2,,129310.25,,0.09, 100                                           ,L12158
1s2.5f,2F*,5/2,,129323.85,,0.06, 100                                           ,L12158
1s2.5f,2F*,7/2,,129323.92,,0.06, 100                                           ,L12158
1s2.5g,2G,7/2,,129325.46,,0.14, 100                                           ,L12158
1s2.5g,2G,9/2,,129325.46,,0.14, 100                                           ,L12158
1s2.6s,2S,1/2,,133556.44,,0.10, 100                                           ,L12158
1s2.6p,2P*,1/2,,134485.37,,0.12, 100                                           ,L12158
1s2.6p,2P*,3/2,,134485.61,,0.12, 100                                           ,L12158
1s2.6d,2D,5/2,,134681.15,,0.10, 100                                           ,L12158
1s2.6d,2D,3/2,,134681.15,,0.10, 100                                           ,L12158
1s2.6f,2F*,5/2,,134689.20,,0.12, 100                                           ,L12158
1s2.6f,2F*,7/2,,134689.23,,0.12, 100                                           ,L12158
1s2.6g,2G,7/2,,134690.16,,0.2, 100                                           ,L12158
1s2.6g,2G,9/2,,134690.16,,0.2, 100                                           ,L12158
1s2.6h,2H*,11/2,[,134690.45,],0.12, 100                                           ,L12158
1s2.6h,2H*,9/2,[,134690.45,],0.12, 100                                           ,L12158
1s2.7s,2S,1/2,[,137218.78,],0.12, 100                                           ,L12158
1s2.7p,2P*,1/2,[,137795.97,],0.12, 100                                           ,L12158
1s2.7p,2P*,3/2,[,137796.12,],0.12, 100                                           ,L12158
1s2.7d,2D,5/2,,137919.17,,0.09, 100                                           ,L12158
1s2.7d,2D,3/2,,137919.17,,0.09, 100                                           ,L12158
1s2.7f,2F*,5/2,,137924.31,,0.2, 100                                           ,L12158
1s2.7f,2F*,7/2,,137924.31,,0.2, 100                                           ,L12158
1s2.7g,2G,7/2,,137925.11,,0.2, 100                                           ,L12158
1s2.7g,2G,9/2,,137925.11,,0.2, 100                                           ,L12158
1s2.7h,2H*,9/2,,137925.13,,0.2, 100                                           ,L12158
1s2.7h,2H*,11/2,,137925.13,,0.2, 100                                           ,L12158
1s2.8s,2S,1/2,[,139555.16,],0.12, 100                                           ,L12158
1s2.8p,2P*,1/2,[,139938.08,],0.2, 100                                           ,L12158
1s2.8p,2P*,3/2,[,139938.18,],0.2, 100                                           ,L12158
1s2.8d,2D,5/2,[,140020.58,],0.08, 100                                           ,L12158
1s2.8d,2D,3/2,[,140020.58,],0.08, 100                                           ,L12158
1s2.8f,2F*,7/2,[,140024.12,],0.08, 100                                           ,L12158
1s2.8f,2F*,5/2,[,140024.12,],0.08, 100                                           ,L12158
1s2.8g,2G,7/2,,140024.58,,0.3, 100                                           ,L12158
1s2.8g,2G,9/2,,140024.58,,0.3, 100                                           ,L12158
1s2.8h,2H*,9/2,,140024.70,,0.2, 100                                           ,L12158
1s2.8h,2H*,11/2,,140024.70,,0.2, 100                                           ,L12158
1s2.9s,2S,1/2,[,141136.30,],0.12, 100                                           ,L12158
1s2.9p,2P*,1/2,[,141403.24,],0.12, 100                                           ,L12158
1s2.9p,2P*,3/2,[,141403.31,],0.12, 100                                           ,L12158
1s2.9d,2D,3/2,[,141461.15,],0.08, 100                                           ,L12158
1s2.9d,2D,5/2,[,141461.15,],0.08, 100                                           ,L12158
1s2.9f,2F*,7/2,[,141463.65,],0.08, 100                                           ,L12158
1s2.9f,2F*,5/2,[,141463.65,],0.08, 100                                           ,L12158
