Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
6s2.6p2,3P,0,,0.000,,0.05,  83         :    17         1S         ,L9887
6s2.6p2,3P,1,,13325.401,,0.7, 100                                    ,L9887
6s2.6p2,3P,2,,17031.698,,0.020,  52         :    48         1D         ,L9887
6s2.6p2,1D,2,,33938.718,,0.020,  52         :    48         3P         ,L9887
6s2.6p2,1S,0,,44173.768,,0.020,  82         :    17         3P         ,L9887
6s2.6p.7s,"(1/2,1/2)*",0,,69133.891,,0.020, 100                                    ,L9887
6s2.6p.7s,"(1/2,1/2)*",1,,69598.475,,0.020,  98                                    ,L9887
6s.6p3,5S*,2,,76148.712,,0.020,  55         :    18         3P*        ,L9887
6s2.6p.6d,"(1/2,3/2)*",2,,79091.141,,0.020,  97                                    ,L9887
6s2.6p.6d,"(1/2,3/2)*",1,,80577.071,,0.020,  73         :    13  6s.6p3 3D*        ,L9887
6s2.6p.6d,"(1/2,5/2)*",2,,82049.632,,0.020,  71         :    26  6s.6p3 5S*        ,L9887
6s2.6p.6d,"(1/2,5/2)*",3,,82257.251,,0.020,  94                                    ,L9887
6s2.6p.7p,"(1/2,1/2)",1,,84280.446,,0.020, 100                                    ,L9887
6s2.6p.7p,"(1/2,1/2)",0,,87078.777,,0.020,  98                                    ,L9887
6s2.6p.7p,"(1/2,3/2)",1,,88566.685,,0.020, 100                                    ,L9887
6s2.6p.7p,"(1/2,3/2)",2,,88789.478,,0.020,  99                                    ,L9887
6s2.6p.7s,"(3/2,1/2)*",2,,88771.443,,0.020,  99                                    ,L9887
6s2.6p.7s,"(3/2,1/2)*",1,,89885.675,,0.020,"  84         :     6  6p.6d  (3/2,5/2)* ",L9887
6s.6p3,3D*,1,,94442.227,,0.020,"  44         :    22  6p.6d  (1/2,3/2)* ",L9887
6s.6p3,3D*,2,,94930.640,,0.020,"  48         :    31  6p.6d  (3/2,3/2)* ",L9887
6s.6p3,3D*,3,,96062.356,,0.020,"  50         :    31  6p.6d  (3/2,5/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",2,,99011.328,,0.020,"  55         :    19         (3/2,3/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",4,[,99725,]+x,400, 100                                    ,L9887
6s2.6p.6d,"(3/2,5/2)*",1,,106611.224,,0.020,"  64         :    13  6p.7d  (1/2,3/2)* ",L9887
6s2.6p.6d,"(3/2,5/2)*",3,,108009.057,,0.020,"  41         :    36  6p.7d  (1/2,5/2)* ",L9887
6s2.6p.6d,"(3/2,3/2)*",0,,100182.446,,0.020,  72         :    18  6s.6p3 3P*        ,L9887
6s2.6p.6d,"(3/2,3/2)*",1,,100494.931,,0.020,"  64         :    12  6p.6d  (3/2,5/2)* ",L9887
6s2.6p.6d,"(3/2,3/2)*",2,,102331.668,,0.020,"  38         :    34  6p.6d  (3/2,3/2)* ",L9887
6s2.6p.6d,"(3/2,3/2)*",3,,103003.505,,0.020,"  59         :    28  6p.7d  (1/2,5/2)* ",L9887
6s2.6p.8s,"(1/2,1/2)*",1,,101340.430,,0.020,"  86         :    11  6p.6d  (3/2,3/2)* ",L9887
6s2.6p.8s,"(1/2,1/2)*",0,,101463.435,,0.020,"  90         :    10  6p.6d  (3/2,3/2)* ",L9887
6s2.6p.7p,"(3/2,1/2)",2,,105085.532,,0.020,"  50         :    47  6p.5f  (1/2,5/2)  ",L9887
6s2.6p.7p,"(3/2,1/2)",1,,105270.947,,0.020,"  85         :    13         (3/2,3/2)  ",L9887
6s2.6p.5f,"(1/2,7/2)",3,,105289.732,,0.020,"  82         :    13  6p.7p  (3/2,3/2)  ",L9887
6s2.6p.5f,"(1/2,7/2)",4,,105728.060,,0.020, 100                                    ,L9887
6s2.6p.5f,"(1/2,5/2)",3,,105451.045,,0.020,  95                                    ,L9887
6s2.6p.5f,"(1/2,5/2)",2,,106449.487,,0.020,"  51         :    41  6p.7p  (3/2,1/2)  ",L9887
6s2.6p.7d,"(1/2,3/2)*",2,,105527.197,,0.020,  95                                    ,L9887
6s2.6p.7d,"(1/2,3/2)*",1,,108126.733,,0.020,"  75         :     8  6p.6d  (3/2,5/2)* ",L9887
6s2.6p.8p,"(1/2,1/2)",0,,107976,,,         or  :               3P         ,L3466
6s2.6p.7p,"(3/2,3/2)",3,,108280.653,,0.020,"  86         :    13  6p.5f  (1/2,7/2)  ",L9887
6s2.6p.7p,"(3/2,3/2)",1,,108406.284,,0.020,"  76         :    14         (3/2,1/2)  ",L9887
6s2.6p.7p,"(3/2,3/2)",2,,109905.987,,0.020,"  69         :    22  6p.8p  (1/2,3/2)  ",L9887
6s2.6p.7p,"(3/2,3/2)",0,,112650.875,,0.020,"  89         :     5  6p.8p  (1/2,1/2)  ",L9887
6s2.6p.8p,"(1/2,3/2)",2,,108888.519,,0.020,"  73         :    26  6p.7p  (3/2,3/2)  ",L9887
6s2.6p.8p,"(1/2,3/2)",1,,109105.461,,0.020,  92                                    ,L9887
6s2.6p.7d,"(1/2,5/2)*",2,,109158.128,,0.020,  34         :    31  6s.6p3 3D*        ,L9887
6s2.6p.9s,"(1/2,1/2)*",0,,114579.101,,0.020,  87         :    11  6s.6p3 3P*        ,L9887
6s2.6p.9s,"(1/2,1/2)*",1,,114613.372,,0.020,  76         :     9  6s.6p3 3P*        ,L9887
6s2.6p.6f,"(1/2,5/2)",3,,115936.556,,0.020, 100     or  :               3G         ,L9887
6s2.6p.6f,"(1/2,5/2)",2,,116214.383,,0.020,  99     or  :               3F         ,L9887
6s2.6p.6f,"(1/2,7/2)",3,,116090.980,,0.020,  99     or  :               3F         ,L9887
6s2.6p.6f,"(1/2,7/2)",4,,116140.866,,0.020, 100     or  :               3F         ,L9887
6s2.6p.8d,"(1/2,5/2)*",2,,116942.813,,0.020,"  49         :    40         (1/2,3/2)* ",L9887
6s2.6p.8d,"(1/2,5/2)*",3,,117224.556,,0.020,  96                                    ,L9887
6s2.6p.5g,"(1/2,7/2)*",3,,117004,,,                                        ,L3466
6s2.6p.8d,"(1/2,3/2)*",1,,117225,,14,  91     or  :               3D*        ,L6771
6s2.6p.9d,"(1/2,3/2)*",2,,122278.025,,0.020,  89                                    ,L9887
6s2.6p.9d,"(1/2,3/2)*",1,,122669,,15,  83     or  :               3D*        ,L6771
6s2.6p.8f,"(1/2,5/2)",3,,125133.866,,0.020,"  72         :    16         (1/2,7/2)  ",L9887
6s2.6p.8f,"(1/2,7/2)",4,,125249.299,,0.020,"  88         :    12  6p.5f  (3/2,7/2)  ",L9887
