Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,,0.00,,,  97     or  :    97   5I*  ,L3974
4f11.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,,637.40,,,  97     or  :    72   3I*  ,
4f11.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,5617.04,,,         or  :    74   5I*  ,
4f11.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,,5849.74,,,         or  :    54   5I*  ,
4f11.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,8850.55,,,         or  :    69   5I*  ,
4f11.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,9001.65,,,         or  :    48   3I*  ,
4f11.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,,10838.85,,,         or  :    67   5I*  ,
4f11.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,11204.50,,,         or  :    45   3I*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",6,,16281.60,,,         or  :    80   5G*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",7,,16748.98,,,         or  :    82   5H*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",9,,17713.75,,,         or  :    48   3L*  ,
4f11.(4I*<15/2>).5d<3/2>,"(15/2,3/2)*",8,,18404.87,,,         or  :    47   5I*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",10,,18258.95,,,         or  :    97   5L*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",9,,19111.47,,,         or  :    74   5K*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",5,,19882.92,,,         or  :    57   5G*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",8,,20029.35,,,         or  :    43   3K*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",6,,20314.90,,,         or  :    49   5H*  ,
4f11.(4I*<15/2>).5d<5/2>,"(15/2,5/2)*",7,,20492.00,,,         or  :    46   3I*  ,
,*,5,,19000.54,,,                            ,
,,7 or 8,,21688.7,,,                            ,
,,7,,24712.0,,,                            ,
,,7 or 8,,26008.3,,,                            ,
4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",7,,26234.19,,,  95                        ,
4f11.(4I*<15/2>).6p<1/2>,"(15/2,1/2)",8,,26330.85,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",9,,28926.70,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",8,,29412.38,,,  97                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",6,,29588.49,o,,  94                        ,
4f11.(4I*<15/2>).6p<3/2>,"(15/2,3/2)",7,,29899.21,o,,  94                        ,
,,6,,29074.26,,,                            ,
,,7 or 8,,29275.0,,,                            ,
,,7 or 8,,29325.2,,,                            ,
,,7,,29810.85,,,                            ,
,,7 or 8,,30884.7,,,                            ,
4f11.(4I*<13/2>).6p<1/2>,"(13/2,1/2)",6,,31505.0,,,  95                        ,
4f11.(4I*<13/2>).6p<1/2>,"(13/2,1/2)",7,,31556.3,,,  97                        ,
,,6,,33882.7,,,                            ,
,,6,,34099.0,,,                            ,
,,5,,34653.7,,,                            ,
4f11.(4I*<11/2>).6p<1/2>,"(11/2,1/2)",5,,,,,  45                        ,
4f11.(4I*<11/2>).6p<1/2>,"(11/2,1/2)",6,,34770.4,,,  51                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",5,,,,,  52                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",7,,34779.1,,,  98                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",8,,34802.8,,,  99                        ,
4f11.(4I*<13/2>).6p<3/2>,"(13/2,3/2)",6,,35067.2,,,  58                        ,
,,7 or 8,,35559.3,,,                            ,
,,4,,36055.8,,,                            ,
,,4,,36884.1,,,                            ,
,,5,,37159.2,,,                            ,
,,5,,37499.0,,,                            ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",5,,,,,  80                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",4,,,,,  79                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",6,,,,,  83                        ,
4f11.(4I*<11/2>).6p<3/2>,"(11/2,3/2)",7,,37779.1,,,  85                        ,
,,5,,40332.8,,,                            ,
Ho III (4f11 4I*<15/2>),Limit,---,[,95020,],160,                            ,L19870c180
