Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3s2.3p2,3P,0,,0.00,,,,                                                    ,L7147
3s2.3p2,3P,1,,164.90,,,,                                                    ,
3s2.3p2,3P,2,,469.12,,,,                                                    ,
3s2.3p2,1D,2,,8882.31,,,,                                                    ,
3s2.3p2,1S,0,,21575.63,,,,                                                    ,
3s.3p3,5S*,2,,45697.02,,,, 100                                                ,
3s.3p3,3D*,1,,65251.45,,,0.504,  81         :    17  3p.3d                3D*      ,
3s.3p3,3D*,2,,65272.35,,,1.160,  81         :    17  3p.3d                3D*      ,
3s.3p3,3D*,3,,65307.17,,,1.329,  81         :    17  3p.3d                3D*      ,
3s.3p3,3P*,2,,76764.06,,,1.486,  71         :    25  3p.3d                3P*      ,
3s.3p3,3P*,1,,76812.33,,,1.50,  74         :    25  3p.3d                3P*      ,
3s.3p3,3P*,0,,76823.11,,,,  74         :    25  3p.3d                3P*      ,
3s2.3p.3d,1D*,2,,77710.19,,,1.014,  63         :    32  3s.3p3               1D*      ,
3s2.3p.4s,3P*,0,,86597.55,,,, 100                                                ,
3s2.3p.4s,3P*,1,,86743.96,,,1.495,  99         :     1  3s2.3p.4s            1P*      ,
3s2.3p.4s,3P*,2,,87124.60,,,1.499, 100                                                ,
3s2.3p.3d,3F*,2,,87804.10,,,0.666, 100                                                ,
3s2.3p.3d,3F*,3,,87966.81,,,1.083, 100                                                ,
3s2.3p.3d,3F*,4,,88192.13,,,1.25, 100                                                ,
3s2.3p.4s,1P*,1,,88893.22,,,1.006,  99         :     1  3s2.3p.4s            3P*      ,
3s2.3p.4p,1P,1,,101635.69,,,0.998,  98         :     2  3s2.3p.4p            3D       ,
3s2.3p.3d,1P*,1,,102798.26,,,1.00,  64         :    33  3s.3p3               1P*      ,
3s2.3p.4p,3D,1,,103165.61,,,0.511,  98         :     2  3s2.3p.4p            1P       ,
3s2.3p.4p,3D,2,,103339.14,,,1.166,  99                                                ,
3s2.3p.4p,3D,3,,103667.86,,,1.334, 100                                                ,
3s2.3p.3d,3P*,2,,103629.70,,,1.408,  55         :    21  3p.3d                3D*      ,
3s2.3p.3d,3P*,1,,103755.91,,,1.05,  41         :    36  3p.3d                3D*      ,
3s2.3p.3d,3P*,0,,103940.38,,,,  75         :    24  3s.3p3               3P*      ,
3s2.3p.3d,3D*,3,,104050.27,,,1.326,  82         :    15  3s.3p3               3D*      ,
3s2.3p.3d,3D*,1,,104053.81,,,0.94,  46         :    33  3p.3d                3P*      ,
3s2.3p.3d,3D*,2,,104101.75,,,1.26,  61         :    19  3p.3d                3P*      ,
3s2.3p.4p,3P,0,,105224.06,,,, 100                                                ,
3s2.3p.4p,3P,1,,105302.37,,,1.525,  94         :     6  3s2.3p.4p            3S       ,
3s2.3p.4p,3P,2,,105549.67,,,1.499,  99                                                ,
3s2.3p.4p,3S,1,,106001.25,,,1.968,  94         :     6  3s2.3p.4p            3P       ,
3s2.3p.3d,1F*,3,,107360.25,,,1.004, 100                                                ,
3s2.3p.4p,1D,2,,107922.93,,,1.002,  99                                                ,
3s.3p3,3S*,1,,110254.77,,,, 100                                                ,
3s2.3p.4p,1S,0,,111507.66,,,, 100                                                ,
3s.3p3,1D*,2,,112606.86,,,0.998,  50         :    31  3p.3d                1D*      ,
3s.3p3,1P*,1,,118341.71,,,0.99,  58         :    34  3p.3d                1P*      ,
3s2.3p.5s,3P*,0,,123344.19,,,, 100                                                ,
3s2.3p.5s,3P*,1,,123455.46,,,1.465,  93         :     7  3s2.3p.5s            1P*      ,
3s2.3p.5s,3P*,2,,123890.81,,,1.497, 100                                                ,
3s2.3p.5s,1P*,1,,124432.26,,,1.036,  93         :     7  3s2.3p.5s            3P*      ,
3s2.3p.4d,3F*,2,,124946.73,,,0.664,  99                                                ,
3s2.3p.4d,3F*,3,,125128.87,,,1.081,  99                                                ,
3s2.3p.4d,3F*,4,,125391.13,,,1.25, 100                                                ,
3s2.3p.4d,3P*,2,,127367.23,,,1.278,  49         :    24  3p.4d                1D*      ,
3s2.3p.4d,3P*,0,,127899.54,,,,  98         :     2  3s.3p3               3P*      ,
3s2.3p.4d,3P*,1,,127934.09,,,1.129,  62         :    35  3p.4d                3D*      ,
3s2.3p.4d,3D*,1,,127599.16,,,0.870,  61         :    35  3p.4d                3P*      ,
3s2.3p.4d,3D*,3,,127888.42,,,1.33,  96         :     3  3s.3p3               3D*      ,
3s2.3p.4d,3D*,2,,127949.70,,,1.284,  58         :    37  3p.4d                3P*      ,
3s2.3p.4d,1D*,2,,127755.50,,,1.098,  55         :    19  3p.4d                3D*      ,
3s2.3p.5p,1P,1,,129109.68,,,0.94,  85         :    13  3s2.3p.5p            3D       ,
3s2.3p.5p,3D,1,,129569.36,,,0.62,  82         :    11  3s2.3p.5p            1P       ,
3s2.3p.5p,3D,2,,129665.20,,,1.187,  93         :     5  3s2.3p.5p            3P       ,
3s2.3p.5p,3D,3,,130019.50,,,1.34, 100                                                ,
3s2.3p.5p,3P,0,,130058.11,,,,  99         :     1  3s2.3p.5p            1S       ,
3s2.3p.5p,3P,1,,130173.43,,,1.473,  84         :     7  3s2.3p.5p            3S       ,
3s2.3p.5p,3P,2,,130399.78,,,1.47,  93         :     6  3s2.3p.5p            3D       ,
3s2.3p.4d,1F*,3,,130142.72,,,1.00, 100                                                ,
3s2.3p.5p,3S,1,,130800.74,,,1.96,  91         :     8  3s2.3p.5p            3P       ,
3s2.3p.(2P*).4f F,2[5/2],3,,130912.84,,,1.02,  76     or  :    81  3s2.3p.(2P*).4f      1F       ,
3s2.3p.(2P*).4f F,2[5/2],2,,130949.29,,,0.674,  96     or  :    96  3s2.3p.(2P*).4f      3F       ,
3s2.3p.(2P*).4f F,2[7/2],3,,130993.03,,,1.03,  70     or  :    78  3s2.3p.(2P*).4f      3F       ,
3s2.3p.(2P*).4f F,2[7/2],4,,131024.90,,,1.22,  90     or  :    90  3s2.3p.(2P*).4f      3F       ,
3s2.3p.5p,1D,2,,131352.39,,,1.005,  97         :     1  3s2.3p.5p            3D       ,
3s2.3p.(2P*).4f G,2[7/2],3,,131631.16,,,0.79,  89     or  :    89  3s2.3p.(2P*).4f      3G       ,
3s2.3p.(2P*).4f G,2[7/2],4,,131688.74,,,1.06,  81     or  :    77  3s2.3p.(2P*).4f      3G       ,
3s2.3p.4d,1P*,1,,131762.84,,,0.999,  92         :     7  3s.3p3               1P*      ,
3s2.3p.(2P*).4f G,2[9/2],5,,131940.29,,,1.20, 100     or  :   100  3s2.3p.(2P*).4f      3G       ,
3s2.3p.(2P*).4f G,2[9/2],4,,132077.74,,,1.01,  90     or  :    83  3s2.3p.(2P*).4f      1G       ,
3s2.3p.(2P*).4f D,2[5/2],3,,132132.46,,,1.320,  96     or  :    96  3s2.3p.(2P*).4f      3D       ,
3s2.3p.(2P*).4f D,2[5/2],2,,132163.47,,,1.063,  96     or  :    54  3s2.3p.(2P*).4f      1D       ,
3s2.3p.(2P*).4f D,2[3/2],1,,132371.74,,,0.50, 100     or  :   100  3s2.3p.(2P*).4f      3D       ,
3s2.3p.(2P*).4f D,2[3/2],2,,132396.92,,,1.083, 100     or  :    56  3s2.3p.(2P*).4f      3D       ,
3s2.3p.5p,1S,0,,132901.01,,,,  99         :     1  3s2.3p.5p            3P       ,
3s2.3p.6s,3P*,0,,137757.09,,,, 100                                                ,
3s2.3p.6s,3P*,1,,137826.52,,,1.42,  83         :    17  3s2.3p.6s            1P*      ,
3s2.3p.6s,3P*,2,,138309.09,,,1.50, 100                                                ,
3s2.3p.6s,1P*,1,,138521.70,,,1.08,  83         :    17  3s2.3p.6s            3P*      ,
3s2.3p.5d,3F*,2,,138552.47,,,0.69,  95         :     4  3s2.3p.5d            1D*      ,
3s2.3p.5d,3F*,3,,138743.41,,,1.08,  96         :     3  3s2.3p.5d            3D*      ,
3s2.3p.5d,3F*,4,,139039.70,,,1.25, 100                                                ,
3s2.3p.5d,1D*,2,,139212.72,,,1.12,  60         :    21  3s2.3p.5d            3P*      ,
3s2.3p.5d,3D*,1,,139526.35,,,0.69,  79         :    19  3s2.3p.5d            3P*      ,
3s2.3p.5d,3D*,2,,139622.67,,,1.18,  40         :    31  3s2.3p.5d            1D*      ,
3s2.3p.5d,3D*,3,,139804.25,,,1.33,  95         :     4  3s2.3p.5d            3F*      ,
3s2.3p.5d,3P*,2,,139923.54,,,1.34,  54         :    44  3s2.3p.5d            3D*      ,
3s2.3p.5d,3P*,1,,139957.96,,,1.30,  80         :    19  3s2.3p.5d            3D*      ,
3s2.3p.5d,3P*,0,,139971.33,,,,  99                                                ,
3s2.3p.5d,1F*,3,,140950.27,,,1.01,  98         :     1  3s2.3p.5d            3D*      ,
3s2.3p.(2P*).5f F,2[5/2],3,,141324.52,,,,         or  :        3s2.3p.(2P*<1/2>).5f 2[5/2]   ,
3s2.3p.(2P*).5f F,2[5/2],2,,141335.48,,,,         or  :        3s2.3p.(2P*<1/2>).5f 2[5/2]   ,
3s2.3p.(2P*).5f F,2[7/2],3,,141354.16,,,,         or  :        3s2.3p.(2P*<1/2>).5f 2[7/2]   ,
3s2.3p.(2P*).5f F,2[7/2],4,,141370.03,,,,         or  :        3s2.3p.(2P*<1/2>).5f 2[7/2]   ,
3s2.3p.5d,1P*,1,,141487.87,,,,                                                    ,
3s2.3p.(2P*<1/2>).5g,2[7/2]*,4,,141787.55,,,,         or  :        3s2.3p.(2P*).5g.G*   2[7/2]*  ,
3s2.3p.(2P*<1/2>).5g,2[7/2]*,3,,141787.64,,,,         or  :        3s2.3p.(2P*).5g.G*   2[7/2]*  ,
3s2.3p.(2P*<1/2>).5g,2[9/2]*,4,,141795.84,,,,         or  :        3s2.3p.(2P*).5g.G*   2[9/2]*  ,
3s2.3p.(2P*<1/2>).5g,2[9/2]*,5,,141796.18,,,,         or  :        3s2.3p.(2P*).5g.G*   2[9/2]*  ,
3s2.3p.(2P*).5f G,2[7/2],3,,141813.00,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[7/2]   ,
3s2.3p.(2P*).5f G,2[7/2],4,,141847.91,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[7/2]   ,
3s2.3p.(2P*).5f G,2[9/2],5,,142007.39,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[9/2]   ,
3s2.3p.(2P*).5f G,2[9/2],4,,142118.72,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[9/2]   ,
3s2.3p.(2P*).5f D,2[5/2],3,,142090.95,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[5/2]   ,
3s2.3p.(2P*).5f D,2[5/2],2,,142104.04,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[5/2]   ,
3s2.3p.(2P*).5f D,2[3/2],1,,142276.25,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[3/2]   ,
3s2.3p.(2P*).5f D,2[3/2],2,,142280.69,,,,         or  :        3s2.3p.(2P*<3/2>).5f 2[3/2]   ,
3s2.3p.(2P*<3/2>).5g,2[9/2]*,4,,142295.25,,,,         or  :        3s2.3p.(2P*).5g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).5g,2[9/2]*,5,,142295.53,,,,         or  :        3s2.3p.(2P*).5g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).5g,2[7/2]*,4,,142357.60,,,,         or  :        3s2.3p.(2P*).5g.F*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).5g,2[7/2]*,3,,142357.76,,,,         or  :        3s2.3p.(2P*).5g.F*   2[7/2]*  ,
3s2.3p.(2P*<3/2>).5g,2[11/2]*,6,,142418.45,,,,         or  :        3s2.3p.(2P*).5g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).5g,2[11/2]*,5,,142418.95,,,,         or  :        3s2.3p.(2P*).5g.H*   2[11/2]* ,
3s2.3p.(2P*<3/2>).5g,2[5/2]*,2,,142472.31,,,,         or  :        3s2.3p.(2P*).5g.F*   2[5/2]*  ,
3s2.3p.(2P*<3/2>).5g,2[5/2]*,3,,142472.59,,,,         or  :        3s2.3p.(2P*).5g.F*   2[5/2]*  ,
3s2.3p.(2P*).6f F,2[5/2],2,,146881.33,,,,         or  :        3s2.3p.(2P*<1/2>).6f 2[5/2]   ,
3s2.3p.(2P*).6f F,2[5/2],3,,146894.38,,,,         or  :        3s2.3p.(2P*<1/2>).6f 2[5/2]   ,
3s2.3p.(2P*).6f F,2[7/2],3,,146911.32,,,,         or  :        3s2.3p.(2P*<1/2>).6f 2[7/2]   ,
3s2.3p.(2P*).6f F,2[7/2],4,,146921.76,,,,         or  :        3s2.3p.(2P*<1/2>).6f 2[7/2]   ,
3s2.3p.(2P*<1/2>).6g,2[7/2]*,4,,147198.21,,,,         or  :        3s2.3p.(2P*).6g.G*   2[7/2]*  ,
3s2.3p.(2P*<1/2>).6g,2[7/2]*,3,,147198.33,,,,         or  :        3s2.3p.(2P*).6g.G*   2[7/2]*  ,
3s2.3p.(2P*<1/2>).6g,2[9/2]*,4,,147199.88,,,,         or  :        3s2.3p.(2P*).6g.G*   2[9/2]*  ,
3s2.3p.(2P*<1/2>).6g,2[9/2]*,5,,147200.24,,,,         or  :        3s2.3p.(2P*).6g.G*   2[9/2]*  ,
3s2.3p.(2P*).6f G,2[7/2],3,,147382.89,,,,         or  :        3s2.3p.(2P*<3/2>).6f 2[7/2]   ,
3s2.3p.(2P*).6f G,2[7/2],4,,147388.09,,,,         or  :        3s2.3p.(2P*<3/2>).6f 2[7/2]   ,
3s2.3p.(2P*).6f G,2[9/2],5,,147509.39,,,,         or  :        3s2.3p.(2P*<3/2>).6f 2[9/2]   ,
3s2.3p.(2P*).6f G,2[9/2],4,,147589.10,,,,         or  :        3s2.3p.(2P*<3/2>).6f 2[9/2]   ,
3s2.3p.(2P*<3/2>).6g,2[9/2]*,4,,147717.03,,,,         or  :        3s2.3p.(2P*).6g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).6g,2[9/2]*,5,,147717.25,,,,         or  :        3s2.3p.(2P*).6g.H*   2[9/2]*  ,
3s2.3p.(2P*<3/2>).6g,2[7/2]*,4,,147750.51,,,,         or  :        3s2.3p.(2P*).6g.F*   2[7/2]*  ,
