Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f5.(6H*).6s,7H*,8,,,,,," 100     or  :   100   (6H*<15/2>) (15/2,1/2)* ",L3974
4f5.(6H*).6s,7H*,2,,0.00,,,0.000," 100     or  :   100   (6H*<5/2>) (5/2,1/2)*   ",L3974
4f5.(6H*).6s,7H*,3,,446.45,,,0.728,"  89     or  :    62   (6H*<5/2>) (5/2,1/2)*   ",L3974
4f5.(6H*).6s,7H*,4,,1133.45,,,1.038,"  89     or  :    79   (6H*<7/2>) (7/2,1/2)*   ",L3974
4f5.(6H*).6s,7H*,5,,1983.52,,,1.190,"  92     or  :    88   (6H*<9/2>) (9/2,1/2)*   ",L3974
4f5.(6H*).6s,7H*,6,,2950.31,,,1.29,"  95     or  :    93   (6H*<11/2>) (11/2,1/2)* ",L3974
4f5.(6H*).6s,7H*,7,,4000.15,,,1.34,"  97     or  :    97   (6H*<13/2>) (13/2,1/2)* ",L3974
4f5.(6H*).6s,5H*,7,,,,,,"  97     or  :    97   (6H*<15/2>) (15/2,1/2)* ",L3974
4f5.(6H*).6s,5H*,3,,1602.97,,,0.531,"  89     or  :    62   (6H*<7/2>) (7/2,1/2)*   ",L3974
4f5.(6H*).6s,5H*,4,,2666.76,,,0.920,"  89     or  :    79   (6H*<9/2>) (9/2,1/2)*   ",L3974
4f5.(6H*).6s,5H*,5,,3812.31,,,1.10,"  92     or  :    88   (6H*<11/2>) (11/2,1/2)* ",L3974
4f5.(6H*).6s,5H*,6,,5017.77,,,1.20,"  95     or  :    93   (6H*<13/2>) (13/2,1/2)* ",L3974
4f5.(6F*).6s,7F*,5,,,,,,"  98     or  :    97   (6F*<9/2>) (9/2,1/2)*   ",L3974
4f5.(6F*).6s,7F*,6,,,,,," 100     or  :   100   (6F*<11/2>) (11/2,1/2)* ",L3974
4f5.(6F*).6s,7F*,0,,5280.88,,,," 100     or  :   100   (6F*<1/2>) (1/2,1/2)*   ",L3974
4f5.(6F*).6s,7F*,1,,5391.46,,,1.493,"  99     or  :    53   (6F*<1/2>) (1/2,1/2)*   ",L3974
4f5.(6F*).6s,7F*,2,,5632.40,,,1.481,"  98     or  :    74   (6F*<3/2>) (3/2,1/2)*   ",L3974
4f5.(6F*).6s,7F*,3,,6048.50,,,1.482,"  96     or  :    87   (6F*<5/2>) (5/2,1/2)*   ",L3974
4f5.(6F*).6s,7F*,4,,6705.18,,,1.50,"  96     or  :    94   (6F*<7/2>) (7/2,1/2)*   ",L3974
4f5.(6H*).5d,7K*,9,,,,,,                                               ,L3974
4f5.(6H*).5d,7K*,10,,,,,,                                               ,L3974
4f5.(6H*).5d,7K*,4,,5332.36,,,0.412,                                               ,L3974
4f5.(6H*).5d,7K*,5,,6131.47,,,,                                               ,L9521
4f5.(6H*).5d,7K*,6,,7040.66,,,,                                               ,L9521
4f5.(6H*).5d,7K*,7,,8041.72,,,,                                               ,L9521
4f5.(6H*).5d,7K*,8,,9119.34,,,,                                               ,L9521
4f5.(6F*).6s,5F*,4,,,,,,"  96     or  :    94   (6F*<9/2>) (9/2,1/2)*   ",L3974
4f5.(6F*).6s,5F*,5,,,,,,"  98     or  :    97   (6F*<11/2>) (11/2,1/2)* ",L3974
4f5.(6F*).6s,5F*,1,,6629.40,,,0.00,"  99     or  :    53   (6F*<3/2>) (3/2,1/2)*   ",L3974
4f5.(6F*).6s,5F*,2,,7012.87,,,1.010,"  98     or  :    74   (6F*<5/2>) (5/2,1/2)*   ",L3974
4f5.(6F*).6s,5F*,3,,7701.09,,,1.23,"  96     or  :    87   (6F*<7/2>) (7/2,1/2)*   ",L3974
,,3,,15543.14,,,,                                               ,L3974
,,2,,15968.09,,,0.365,                                               ,L3974
,,5,,17561.95,,,,                                               ,L3974
,,5,,17609.00,,,,                                               ,L3974
,,6,,17610.00,,,,                                               ,L3974
,,5,,17612.84,,,,                                               ,L3974
,,5,,17712.15,,,,                                               ,L3974
,,6,,17834.96,,,,                                               ,L3974
,,5,,18419.45,,,,                                               ,L3974
,,5,,18635.29,,,,                                               ,L3974
,,6,,18687.53,,,1.09,                                               ,L3974
,,6,,18736.10,,,,                                               ,L3974
,,6,,19114.25,,,,                                               ,L3974
,,6,,19750.03,,,1.1,                                               ,L3974
,,6,,20134.63,,,,                                               ,L3974
,,7,,21139.14,,,,                                               ,L3974
,,2,,22377.66,,,1.62,                                               ,L3974
,,2,,22774.24,,,0.571,                                               ,L3974
,,3,,23261.30,,,0.617,                                               ,L3974
,,5,,23302.12,,,,                                               ,L3974
,,2,,23499.82,,,0.467,                                               ,L3974
,,4,,23541.00,,,1.168,                                               ,L3974
,,3,,23761.98,,,0.840,                                               ,L3974
,,2,,24023.04,,,0.36,                                               ,L3974
,,3,,24024.75,,,0.962,                                               ,L3974
,,4,,24157.20,,,0.855,                                               ,L3974
,,4,,24311.93,,,0.693,                                               ,L3974
,,2,,24404.51,,,1.073,                                               ,L3974
,,4,,24464.73,,,1.039,                                               ,L3974
,,3,,24466.32,,,0.743,                                               ,L3974
,,2,,24505.57,,,0.961,                                               ,L3974
,,3,,24527.89,,,0.533,                                               ,L3974
,,4,,24762.58,,,0.990,                                               ,L3974
,,5,,24771.46,,,1.160,                                               ,L3974
,,3,,25006.51,,,0.806,                                               ,L3974
,,5,,25015.69,,,1.110,                                               ,L3974
,,6,,25094.33,,,1.17,                                               ,L3974
,,4,,25099.22,,,0.74,                                               ,L3974
,,4,,25213.82,,,1.008,                                               ,L3974
,,5,,25258.71,,,,                                               ,L3974
,,4,,25264.46,,,0.912,                                               ,L3974
,,2,,25323.09,,,0.09,                                               ,L3974
,,5,,25365.66,,,1.14,                                               ,L3974
,,1,,25447.33,,,1.194,                                               ,L3974
,,5,,25598.60,,,,                                               ,L3974
,,2,,25726.08,,,1.317,                                               ,L3974
,,3,,25737.07,,,0.883,                                               ,L3974
,,2,,26017.92,,,0.861,                                               ,L3974
,,6,,26027.56,,,1.16,                                               ,L3974
,,5,,26038.04,,,0.95,                                               ,L3974
,,4,,26067.53,,,1.156,                                               ,L3974
,,5,,26132.87,,,0.943,                                               ,L3974
,,6,,26169.85,,,1.20,                                               ,L3974
,,5,,26309.89,,,1.116,                                               ,L3974
,,2,,26320.95,,,0.714,                                               ,L3974
,,6,,26392.53,,,,                                               ,L3974
,,3,,26460.58,,,1.273,                                               ,L3974
,,5,,26574.58,,,,                                               ,L3974
,,3,,26771.13,,,0.622,                                               ,L3974
,,6,,26834.20,,,1.11,                                               ,L3974
,,4,,27005.58,,,1.073,                                               ,L3974
,,2,,27094.25,,,0.226,                                               ,L3974
,,6,,27097.38,,,1.18,                                               ,L3974
,,7,,27110.08,,,,                                               ,L3974
,,4,,27115.95,,,1.26,                                               ,L3974
,,3,,27126.19,,,1.053,                                               ,L3974
,,4,,27230.36,,,0.97,                                               ,L3974
,,2,,27256.71,,,0.88,                                               ,L3974
,,5,,27356.20,,,,                                               ,L3974
,,6,,27379.79,,,1.0,                                               ,L3974
,,4,,27399.87,,,,                                               ,L3974
,,5,,27438.30,,,,                                               ,L3974
,,3,,27526.77,,,,                                               ,L3974
,,2,,27587.88,,,0.98,                                               ,L3974
,,1,,27616.10,,,2.863,                                               ,L3974
,,3,,27622.53,,,1.271,                                               ,L3974
,,6,,27645.16,,,1.1,                                               ,L3974
,,7,,27678.03,,,,                                               ,L3974
,,3,,27765.61,,,0.906,                                               ,L3974
,,3,,27848.71,,,1.164,                                               ,L3974
,,4,,27894.03,,,0.69,                                               ,L3974
,,3,,27991.45,,,1.161,                                               ,L3974
,,5,,28061.10,,,,                                               ,L3974
,,7,,28066.15,,,1.23,                                               ,L3974
,,4,,28133.56,,,1.037,                                               ,L3974
,,3,,28166.72,,,1.040,                                               ,L3974
,,4,,28227.39,,,1.19,                                               ,L3974
,,6,,28271.15,,,,                                               ,L3974
,,5,,28296.71,,,,                                               ,L3974
,,5,,28324.75,,,,                                               ,L3974
,,4,,28401.54,,,,                                               ,L3974
,,5,,28444.27,,,,                                               ,L3974
,,6,,28487.33,,,0.98,                                               ,L3974
,,2,,28499.09,,,1.803,                                               ,L3974
,,5,,28507.50,,,,                                               ,L3974
,,1,,28507.58,,,1.88,                                               ,L3974
,,7,,28516.85,,,1.20,                                               ,L3974
,,5,,28642.00,,,1.178,                                               ,L3974
,,4,,28765.64,,,,                                               ,L3974
,,1,,28819.06,,,0.74,                                               ,L3974
,,4,,28930.06,,,1.024,                                               ,L3974
,,5,,29057.65,,,1.13,                                               ,L3974
,,5,,29368.84,,,,                                               ,L3974
,,4,,29400.84,,,,                                               ,L3974
,,4,,29468.44,,,0.96,                                               ,L3974
,,6,,29586.34,,,1.11,                                               ,L3974
,,6,,29662.69,,,1.13,                                               ,L3974
,,5,,29693.40,,,0.99,                                               ,L3974
,,1,,29802.52,,,0.12,                                               ,L3974
,,5,,29863.62,,,,                                               ,L3974
,,5 or 6,,29967.46,,,,                                               ,L3974
,,6,,29987.92,,,1.22,                                               ,L3974
,,6,,30089.49,,,,                                               ,L3974
,,2,,30142.21,,,1.110,                                               ,L3974
,,1,,30172.01,,,0.534,                                               ,L3974
,,2,,30216.86,,,1.015,                                               ,L3974
,,1,,30402.81,,,1.123,                                               ,L3974
,,3,,30477.48,,,1.374,                                               ,L3974
,,5,,30532.47,,,,                                               ,L3974
,,5,,30547.86,,,,                                               ,L3974
,,1,,30612.37,,,0.32,                                               ,L3974
,,6,,30688.69,,,1.28,                                               ,L3974
,,3,,30736.73,,,1.117,                                               ,L3974
,,7,,30814.52,,,,                                               ,L3974
,,2,,30996.26,,,0.901,                                               ,L3974
,,3,,31085.12,,,1.11,                                               ,L3974
,,5,,31251.94,,,,                                               ,L3974
,,6?,,31367.37,,,,                                               ,L3974
,,3,,31474.36,,,1.081,                                               ,L3974
,,4,,31558.10,,,0.94,                                               ,L3974
,,2,,31632.30,,,1.05,                                               ,L3974
,,3,,31778.84,,,1.137,                                               ,L3974
,,4,,31805.86,,,1.02,                                               ,L3974
,,7,,31851.14,,,,                                               ,L3974
,,2,,32321.10,,,1.581,                                               ,L3974
,,2,,32420.83,,,1.18,                                               ,L3974
,,5,,32551.40,,,1.2,                                               ,L3974
,,2,,32700.82,,,1.198,                                               ,L3974
,,3,,32755.89,,,1.457,                                               ,L3974
,,2,,32847.03,,,1.47,                                               ,L3974
,,2,,32947.27,,,1.49,                                               ,L3974
,,1,,32973.73,,,0.95,                                               ,L3974
