Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p3,4S*,3/2,,0.00,,, 100                                       ,L7237
3s2.3p3,2D*,3/2,,14852.94,,, 100                                       ,
3s2.3p3,2D*,5/2,,14884.73,,, 100                                       ,
3s2.3p3,2P*,1/2,,24524.83,,,  99         :     1  3p5             2P*  ,
3s2.3p3,2P*,3/2,,24571.54,,,  98         :     1  3p5             2P*  ,
3s.3p4,4P,5/2,,79395.39,,,  85         :    13  3s.3p4          4P   ,
3s.3p4,4P,3/2,,79756.83,,,  85         :    13  3s2.3p2.(3P).3d 4P   ,
3s.3p4,4P,1/2,,79962.61,,,  85         :    13  3s2.3p2.(3P).3d 4P   ,
3s.3p4,2D,3/2,,97890.74,,,  67         :    26  3s2.3p2.(1D).3d 2D   ,
3s.3p4,2D,5/2,,97918.86,,,  67         :    26  3s2.3p2.(1D).3d 2D   ,
3s2.3p2.(3P).3d,2P,3/2,,105599.06,,,  72         :    17  3s.3p4          2P   ,
3s2.3p2.(3P).3d,2P,1/2,,106044.24,,,  71         :    17  3s.3p4          2P   ,
3s2.3p2.(3P).4s,4P,1/2,,109560.69,,,  99                                       ,
3s2.3p2.(3P).4s,4P,3/2,,109831.59,,,  99                                       ,
3s2.3p2.(3P).4s,4P,5/2,,110268.60,,, 100                                       ,
3s2.3p2.(3P).3d,4F,3/2,,110177.02,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,5/2,,110313.40,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,7/2,,110508.71,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).3d,4F,9/2,,110766.56,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).4s,2P,1/2,,112937.57,,,  95         :     2  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(3P).4s,2P,3/2,,113461.54,,,  96         :     1  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(3P).3d,4D,1/2,,114162.30,,,  99         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,3/2,,114200.54,,,  99         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,5/2,,114231.04,,,  98         :     1  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).3d,4D,7/2,,114279.33,,,  97         :     1  3s2.3p2.(1D).3d 2F   ,
3s2.3p2.(3P).3d,2F,5/2,,114804.37,,,  49         :    49  3s2.3p2.(1D).3d 2F   ,
3s2.3p2.(3P).3d,2F,7/2,,115285.61,,,  47         :    49  3s2.3p2.(1D).3d 2F   ,
3s.3p4,2S,1/2,,119783.77,,,  62         :    37  3s2.3p2.(1D).3d 2S   ,
3s2.3p2.(1D).4s,2D,3/2,,121528.72,,,  98         :     1  3s2.3p2.(3P).3d 2D   ,
3s2.3p2.(1D).4s,2D,5/2,,121530.02,,,  99                                       ,
3s2.3p2.(3P).4p,2S*,1/2,,125485.29,,,  98         :     2  3s2.3p2.(3P).5p 2S*  ,
3s2.3p2.(1D).3d,2G,7/2,,127127.10,,, 100                                       ,
3s2.3p2.(1D).3d,2G,9/2,,127128.35,,, 100                                       ,
3s2.3p2.(3P).4p,4D*,1/2,,127825.08,,,  99                                       ,
3s2.3p2.(3P).4p,4D*,3/2,,127976.34,,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,4D*,5/2,,128233.20,,,  98         :     1  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,4D*,7/2,,128599.16,,,  99                                       ,
3s2.3p2.(3P).4p,4P*,1/2,,129787.83,,,  99                                       ,
3s2.3p2.(3P).4p,4P*,3/2,,129858.18,,,  89         :     8  3s2.3p2.(3P).4p 4S*  ,
3s2.3p2.(3P).4p,4P*,5/2,,130134.16,,,  94         :     4  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(3P).3d,4P,5/2,,130602.21,,,  85         :    10  3s.3p4          4P   ,
3s2.3p2.(3P).3d,4P,3/2,,130818.85,,,  85         :    11  3s.3p4          4P   ,
3s2.3p2.(3P).3d,4P,1/2,,130948.94,,,  85         :    11  3s.3p4          4P   ,
3s2.3p2.(3P).4p,2D*,3/2,,130641.11,,,  88         :    10  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(3P).4p,2D*,5/2,,131187.19,,,  88         :     9  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(3P).4p,4S*,3/2,,131028.85,,,  89         :     9  3s2.3p2.(3P).4p 4P*  ,
3s2.3p2.(3P).4p,2P*,1/2,,133268.68,,,  91         :     6  3s2.3p2.(1D).4p 2P*  ,
3s2.3p2.(3P).4p,2P*,3/2,,133399.97,,,  90         :     8  3s2.3p2.(1D).4p 2P*  ,
3s2.3p2.(3P).3d,2D,3/2,,133360.86,,,  82         :    10  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(3P).3d,2D,5/2,,133814.84,,,  83         :     9  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(1S).4s,2S,1/2,,136328.79,,,  95         :     2  3s2.3p2.(1D).3d 2S   ,
3s2.3p2.(1D).3d,2F,5/2,,138509.17,,,  42         :    44  3s2.3p2.(3P).3d 2F   ,
3s2.3p2.(1D).3d,2F,7/2,,138527.98,,,  42         :    44  3s2.3p2.(3P).3d 2F   ,
3s2.3p2.(1D).3d,2P,1/2,,139844.99,,,  90         :     3  3s2.3p2.(3P).3d 2P   ,
3s2.3p2.(1D).3d,2P,3/2,,140016.77,,,  90         :     4  3s.3p4          2P   ,
3s2.3p2.(1D).4p,2F*,5/2,,140230.10,,,  97         :     3  3s2.3p2.(1D).4p 2D*  ,
3s2.3p2.(1D).4p,2F*,7/2,,140319.23,,, 100                                       ,
3s2.3p2.(1D).4p,2D*,5/2,,140708.89,,,  86         :    10  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(1D).4p,2D*,3/2,,140750.34,,,  88         :    10  3s2.3p2.(3P).4p 2D*  ,
3s2.3p2.(1D).4p,2P*,1/2,,143488.95,,,  91         :     6  3s2.3p2.(3P).4p 2P*  ,
3s2.3p2.(1D).4p,2P*,3/2,,143623.56,,,  89         :     8  3s2.3p2.(3P).4p 2P*  ,
3s2.3p2.(1D).3d,2D,5/2,,144009.42,,,  64         :    14  3s2.3p2.(1S).3d 2D   ,
3s2.3p2.(1D).3d,2D,3/2,,144142.16,,,  64         :    14  3s.3p4          2D   ,
3s.3p4,2P,3/2,,145505.74,,,  35         :    42  3s2.3p2.(3P).4d 2P   ,
3s.3p4,2P,1/2,,145877.66,,,  36         :    42  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(1S).3d,2D,5/2,,148886.57,,,  64         :    14  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(1S).3d,2D,3/2,,148900.91,,,  64         :    15  3s2.3p2.(3P).4d 2D   ,
3s2.3p2.(3P).5s,4P,1/2,,150258.51,,,                                           ,
3s2.3p2.(3P).5s,4P,3/2,,150531.31,,,  98         :     2  3s2.3p2.(3P).5s 2P   ,
3s2.3p2.(3P).5s,4P,5/2,,150996.41,,,  99         :     1  3s2.3p2.(3P).4d 4P   ,
3s2.3p2.(3P).5s,2P,1/2,,151383.81,,,  97         :     1  3s2.3p2.(3P).4d 2P   ,
3s2.3p2.(3P).5s,2P,3/2,,151910.83,,,  96         :     2  3s2.3p2.(3P).5s 4P   ,
3s2.3p2.(1D).3d,2S,1/2,,151651.72,,,                                           ,
3s2.3p2.(3P).4d,4F,3/2,,151959.69,,,  96         :     2  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,5/2,,152094.64,,,  95         :     3  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,7/2,,152305.00,,,  94         :     4  3s2.3p2.(3P).4d 4D   ,
3s2.3p2.(3P).4d,4F,9/2,,152615.46,,,  98         :     1  3s2.3p2.(3P).3d 4F   ,
