Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d.4s,3D,1,,0.00,,,0.501,                                                  ,L7185
3p6.3d.4s,3D,2,,67.72,,,1.163,                                                  ,
3p6.3d.4s,3D,3,,177.76,,,1.330,                                                  ,
3p6.3d.4s,1D,2,,2540.95,,,0.998,                                                  ,
3p6.3d2,3F,2,,4802.87,,,0.665,                                                  ,
3p6.3d2,3F,3,,4883.57,,,1.083,                                                  ,
3p6.3d2,3F,4,,4987.79,,,,                                                  ,
3p6.3d2,1D,2,,10944.56,,,,                                                  ,
3p6.4s2,1S,0,,11736.36,,,,                                                  ,
3p6.3d2,3P,0,,12074.10,,,,                                                  ,
3p6.3d2,3P,1,,12101.50,,,1.487,                                                  ,
3p6.3d2,3P,2,,12154.42,,,1.481,                                                  ,
3p6.3d2,1G,4,,14261.32,,,,                                                  ,
3p6.3d2,1S,0,,25955.2,,,,                                                  ,
3p6.3d.4p,1D*,2,,26081.34,,,0.999,  99                                              ,
3p6.3d.4p,3F*,2,,27443.71,,,0.671,  99                                              ,
3p6.3d.4p,3F*,3,,27602.45,,,1.086,  99                                              ,
3p6.3d.4p,3F*,4,,27841.35,,,1.233, 100                                              ,
3p6.3d.4p,3D*,1,,27917.78,,,0.506, 100                                              ,
3p6.3d.4p,3D*,2,,28021.29,,,1.162,  99                                              ,
3p6.3d.4p,3D*,3,,28161.17,,,1.323,  99                                              ,
3p6.3d.4p,3P*,0,,29736.27,,,,  94             :     6  4s.4p           3P*     ,
3p6.3d.4p,3P*,1,,29742.16,,,1.484,  92             :     6  4s.4p           3P*     ,
3p6.3d.4p,3P*,2,,29823.93,,,1.495,  94             :     6  4s.4p           3P*     ,
3p6.3d.4p,1P*,1,,30815.70,,,1.006,  93             :     5  4s.4p           1P*     ,
3p6.3d.4p,1F*,3,,32349.98,,,, 100                                              ,
3p6.4s.4p,3P*,0,,39002.20,,,,  94             :     6  3d.4p           3P*     ,
3p6.4s.4p,3P*,1,,39115.04,,,,  94             :     6  3d.4p           3P*     ,
3p6.4s.4p,3P*,2,,39345.52,,,,  94             :     6  3d.4p           3P*     ,
3p6.4s.4p,1P*,1,,55715.36,,,,  91             :     5  3d.4p           1P*     ,
3p6.3d.5s,3D,1,,57551.88,,,,                                                  ,
3p6.3d.5s,3D,2,,57614.40,,,,                                                  ,
3p6.3d.5s,3D,3,,57743.92,,,,                                                  ,
3p6.3d.5s,1D,2,,58252.09,,,,                                                  ,
3p6.3d.4d,1F,3,,59528.42,,,,                                                  ,
3p6.3d.4d,3D,1,,59875.08,,,,                                                  ,
3p6.3d.4d,3D,2,,59929.46,,,,                                                  ,
3p6.3d.4d,3D,3,,60001.91,,,,                                                  ,
3p6.3d.4d,3G,3,,60267.16,,,,                                                  ,
3p6.3d.4d,3G,4,,60348.46,,,,                                                  ,
3p6.3d.4d,3G,5,,60457.12,,,,                                                  ,
3p6.3d.4d,1P,1,,60400.41,,,,                                                  ,
