Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2.5p3,4S*,3/2,,0.000,,,1.93,  92         :     6                   2P*  ,L2581
5s2.5p3,2D*,3/2,,10222.385,,0.004,,  81         :    14                   2P*  ,L2581
5s2.5p3,2D*,5/2,,12421.854,,0.004,,  99                                        ,L2581
5s2.5p3,2P*,1/2,,20546.591,,0.004,,  99                                        ,L2581
5s2.5p3,2P*,3/2,,24032.095,,0.004,1.27,  78         :    17                   2D*  ,L2581
5s.(2S).5p4.(3P),4P,5/2,,71192.526,,0.007,1.59,  77         :    17  5s2.5p2.(3P).5d  4P   ,L2581
5s.(2S).5p4.(3P),4P,3/2,,74893.40,,0.20,1.71,  75         :    19  5s2.5p2.(3P).5d  4P   ,L3546
5s.(2S).5p4.(3P),4P,1/2,,76300.87,,0.20,2.63,  67         :    18  5s2.5p2.(3P).5d  4P   ,L3546
5s2.5p2.(3P).6s,4P,1/2,,78448.22,,0.20,2.29,  66         :    16  5s2.5p2.(3P).6s  2P   ,L3546
5s2.5p2.(3P).6s,4P,3/2,,82743.33,,0.20,1.45,  71         :    15  5s2.5p2.(3P).5d  4F   ,L3546
5s2.5p2.(3P).6s,4P,5/2,,85591.83,,0.20,1.50,  69         :    21  5s2.5p2.(1D).6s  2D   ,L3546
5s2.5p2.(3P).5d,2P,3/2,,81895.43,,0.20,1.12,  25         :    22  5s2.5p2.(3P).5d  4F   ,L3546
5s2.5p2.(3P).5d,2P,1/2,,88796.16,,0.20,0.35,  34         :    47  5s2.5p2.(3P).5d  4D   ,L3546
5s2.5p2.(3P).6s,2P,1/2,,83577.41,,0.20,1.06,  65         :    20  5s2.5p2.(3P).6s  4P   ,L3546
5s2.5p2.(3P).6s,2P,3/2,,88961.09,,0.20,1.17,  28         :    23  5s2.5p2.(3P).5d  4D   ,L3546
5s2.5p2.(3P).5d,4F,5/2,,85049.41,,0.20,1.09,  69         :     9  5s2.5p2.(3P).5d  4D   ,L3546
5s2.5p2.(3P).5d,4F,3/2,,85159.66,,0.20,0.88,  48         :    28  5s2.5p2.(3P).5d  2P   ,L3546
5s2.5p2.(3P).5d,4F,7/2,,87899.86,,0.20,1.26,  84         :    13  5s2.5p2.(3P).5d  4D   ,L3546
5s2.5p2.(3P).5d,4F,9/2,,90519.67,,0.20,1.31,  89         :    10  5s2.5p2.(1D).5d  2G   ,L3546
5s.(2S).5p4.(1D),2D,3/2,,86759.90,,0.20,0.94,  30         :    22  5s2.5p2.(1D).5d  2D   ,L3546
5s.(2S).5p4.(1D),2D,5/2,,87404.54,,0.20,1.25,  39         :    29  5s2.5p2.(1D).5d  2D   ,L3546
5s2.5p2.(3P).5d,2F,5/2,,88924.81,,0.20,0.94,  39         :    35  5s2.5p2.(1D).5d  2F   ,L3546
5s2.5p2.(3P).5d,2F,7/2,,107244.4,,1.0,1.19,  47         :    33  5s2.5p2.(1D).5d  2F   ,L15043
5s2.5p2.(1D).5d,2F,7/2,,90797.21,,0.20,1.25,  30         :    39  5s2.5p2.(3P).5d  4D   ,L3546
5s2.5p2.(1D).5d,2F,5/2,,108819.4,,0.5,,  29         :    32  5s2.5p2.(3P).5d  2D   ,L15043
5s2.5p2.(3P).5d,4D,3/2,,92191.47,,0.20,1.13,  61         :    10  5s2.5p2.(3P).5d  2P   ,L3546
5s2.5p2.(3P).5d,4D,1/2,,92691.51,,0.20,0.42,  51         :    35  5s2.5p2.(3P).5d  2P   ,L3546
5s2.5p2.(3P).5d,4D,5/2,,92793.22,,0.20,1.24,  54         :    13  5s2.5p2.(3P).5d  2F   ,L3546
5s2.5p2.(3P).5d,4D,7/2,,96534.6,,0.8,1.24,  43         :    30  5s2.5p2.(3P).5d  2F   ,L15043
5s2.5p2.(3P).6p,4D*,1/2,,93978.93,,0.20,0.79,  50         :    23  5s2.5p2.(3P).6p  2S*  ,L3546
5s2.5p2.(3P).6p,4D*,3/2,,96144.74,,0.20,1.32,  49         :    22  5s2.5p2.(3P).6p  4P*  ,L3546
5s2.5p2.(3P).6p,4D*,5/2,,100112.10,,0.20,1.40,  79         :    15  5s2.5p2.(3P).6p  4P*  ,L3546
5s2.5p2.(3P).6p,4D*,7/2,,103105.86,,0.20,1.38,  82         :    17  5s2.5p2.(1D).6p  2F*  ,L3546
5s2.5p2.(1D).6s,2D,5/2,,94860.63,,0.20,1.27,  75         :    19  5s2.5p2.(3P).6s  4P   ,L3546
5s2.5p2.(1D).6s,2D,3/2,,95208.37,,0.20,0.98,  60         :    27  5s2.5p2.(3P).6s  2P   ,L3546
5s2.5p2.(3P).6p,2S*,1/2,,97780.09,,0.20,1.26,  52         :    40  5s2.5p2.(3P).6p  4D*  ,L3546
5s2.5p2.(3P).5d,4P,5/2,,99229.68,,0.20,1.51,  66         :    11  5s.(2S).5p4.(3P) 4P   ,L3546
5s2.5p2.(3P).5d,4P,3/2,,100740.75,,0.20,1.56,  58         :    13  5s.(2S).5p4.(3P) 4P   ,L3546
5s2.5p2.(3P).5d,4P,1/2,,102127.22,,0.20,2.26,  53         :    15  5s.(2S).5p4.(1S) 2S   ,L3546
5s2.5p2.(3P).6p,4S*,3/2,,99584.59,,0.20,1.26,  16         :    43  5s2.5p2.(3P).6p  4D*  ,L3546
5s2.5p2.(1D).5d,2G,7/2,,100835.8,,0.9,0.98,  74         :    22  5s2.5p2.(1D).5d  2F   ,L15043
5s2.5p2.(1D).5d,2S,1/2,,101065.37,,0.20,2.12,  42         :    16  5s2.5p2.(3P).5d  4P   ,L3546
5s2.5p2.(3P).6p,2D*,3/2,,101220.97,,0.20,1.31,  52         :    29  5s2.5p2.(3P).6p  4S*  ,L3546
5s2.5p2.(3P).6p,2D*,5/2,,105583.02,,0.20,1.29,  46         :    32  5s2.5p2.(3P).6p  4P*  ,L3546
5s2.5p2.(3P).6p,4P*,1/2,,101370.86,,0.20,2.33,  79         :    10  5s2.5p2.(3P).6p  2P*  ,L3546
5s2.5p2.(3P).6p,4P*,5/2,,102324.49,,0.20,1.31,  33         :    25  5s2.5p2.(3P).6p  2D*  ,L3546
5s2.5p2.(3P).6p,4P*,3/2,,103935.90,,0.20,1.74,  44         :    37  5s2.5p2.(3P).6p  4S*  ,L3546
5s2.5p2.(3P).5d,2D,3/2,,102244.60,,0.20,0.95,  63         :    10  5s2.5p2.(3P).5d  4P   ,L3546
5s2.5p2.(3P).5d,2D,5/2,,102703.5,,0.4,1.12,  49         :    20  5s2.5p2.(1D).5d  2F   ,L15043
5s2.5p2.(3P).6p,2P*,3/2,,105006.08,,0.20,1.21,  63         :    26  5s2.5p2.(1D).6p  2D*  ,L3546
5s2.5p2.(3P).6p,2P*,1/2,,106119.20,,0.20,0.87,  73         :    12  5s2.5p2.(3P).6p  2S*  ,L3546
5s2.5p2.(1D).5d,2P,1/2,,107521.8,,0.5,,  75         :    10  5s2.5p2.(1S).6s  2S   ,L15043
5s2.5p2.(1D).5d,2P,3/2,,110136.3,,0.4,,  70         :    10  5s.(2S).5p4.(3P) 2P   ,L15043
5s2.5p2.(1S).6s,2S,1/2,,109005.8,,0.6,,  67         :    10  5s.(2S).5p4.(1S) 2S   ,L15043
5s2.5p2.(1D).5d,2D,3/2,,111856.1,,0.5,,  45         :    21  5s.(2S).5p4.(1D) 2D   ,L15043
5s2.5p2.(1D).5d,2D,5/2,,113564.5,,0.6,,  57         :    22  5s.(2S).5p4.(1D) 2D   ,L15043
5s2.5p2.(1D).6p,2D*,5/2,,111946.69,,0.20,1.19,  62         :    18  5s2.5p2.(3P).6p  4P*  ,L3546
5s2.5p2.(1D).6p,2D*,3/2,,112272.43,,0.20,1.09,  49         :    23  5s2.5p2.(1D).6p  2P*  ,L3546
5s2.5p2.(1D).6p,2F*,5/2,,112548.84,,0.20,1.06,  58         :    22  5s2.5p2.(3P).6p  2D*  ,L3546
5s2.5p2.(1D).6p,2F*,7/2,,112788.49,,0.20,1.20,  82         :    17  5s2.5p2.(3P).6p  4D*  ,L3546
5s2.5p2.(3P).7s,4P,1/2,,112823.93,,0.20,2.16,  68         :    23  5s2.5p2.(3P).7s  2P   ,L3546
5s2.5p2.(3P).7s,4P,3/2,,117339.70,,0.20,1.60,  87         :    12  5s2.5p2.(3P).7s  2P   ,L3546
5s2.5p2.(3P).7s,4P,5/2,,120617.13,,0.20,1.51,  71         :    22  5s2.5p2.(1D).7s  2D   ,L3546
5s2.5p2.(1D).6p,2P*,1/2,,114068.52,,0.20,0.77,  89         :     5  5s2.5p2.(3P).6p  2S*  ,L3546
5s2.5p2.(1D).6p,2P*,3/2,,116101.71,,0.20,1.29,  54         :    20  5s2.5p2.(3P).6p  2P*  ,L3546
5s2.5p2.(3P).6d,2P,3/2,,115700.56,,0.20,0.91,  21         :    28  5s2.5p2.(3P).6d  4F   ,L3546
5s2.5p2.(3P).6d,2P,1/2,,128082.5,,0.9,,  35         :    25  5s.(2S).5p4.(3P) 2P   ,L15043
5s2.5p2.(3P).6d,4P,5/2,,116837.31,,0.20,1.20,  15         :    32  5s2.5p2.(3P).6d  4F   ,L3546
5s2.5p2.(3P).6d,4P,3/2,,125066.06,,0.20,1.52,  56         :    21  5s2.5p2.(3P).6d  4D   ,L3546
5s2.5p2.(3P).6d,4P,1/2,,125477.6,,0.9,,  74         :     6  5s.(2S).5p4.(1S) 2S   ,L15043
