obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
72.8717,0.0011,72.87280,0.00004,1600,,,0.00,137225.409,4d10,1S,0,4d9.(2D<3/2>).6p,2[3/2]*,1,,,L647c114,
73.0816,0.0011,73.08204,0.00004,15000,,,0.00,136832.527,4d10,1S,0,4d9.(2D<3/2>).6p,2[1/2]*,1,,,L647c114,
75.2793,0.0011,75.27757,0.00003,34000,,,0.00,132841.701,4d10,1S,0,4d9.(2D<5/2>).6p,2[3/2]*,1,,,L647c114,
94.31323,0.00005,94.313168,0.000004,11000,,,39168.0177,145197.750,4d9.(2D<5/2>).5s,2[5/2],3,4d9.(2D<5/2>).4f,2[3/2]*,2,,,L11881c113,
94.89659,0.00010,94.89657,0.00006,3500,,,40745.3671,146123.25,4d9.(2D<5/2>).5s,2[5/2],2,4d8.(1D).5s.5p.(3P*),3F*,2,,,L11881c113,
95.40780,0.00005,95.407840,0.000005,35000,,,40745.3671,145558.556,4d9.(2D<5/2>).5s,2[5/2],2,4d8.(3F).5s.5p.(3P*),1F*,3,,,L11881c113,
95.62436,0.00005,95.62434,0.00005,14000,1.5e+08,D+,39168.0177,143743.90,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3F).5s.5p.(3P*),3F*,2,,T9142,L11881c113,
95.63500,0.00005,95.635062,0.000005,18000,,,40745.3671,145309.528,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).4f,2[5/2]*,2,,,L11881c113,
95.69606,0.00005,95.696088,0.000005,18000,,,40745.3671,145242.847,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).4f,2[3/2]*,1,,,L11881c113,
95.73740,0.00008,95.737404,0.000004,5100,,,40745.3671,145197.750,4d9.(2D<5/2>).5s,2[5/2],2,4d9.(2D<5/2>).4f,2[3/2]*,2,,,L11881c113,
95.88663,0.00009,95.886705,0.000006,4500,2.2e+08,D+,40745.3671,145035.112,4d9.(2D<5/2>).5s,2[5/2],2,4d8.(3F).5s.5p.(3P*),1D*,2,,T9142,L11881c113,
97.08875,0.00005,97.08876,0.00005,70000,7.3e+08,D+,40745.3671,143743.90,4d9.(2D<5/2>).5s,2[5/2],2,4d8.(3F).5s.5p.(3P*),3F*,2,,T9142,L11881c113,
97.32142,0.00005,97.32142,0.00005,26000,4.4e+08,D+,39168.0177,141920.32,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3F).5s.5p.(3P*),3F*,3,,T9142,L11881c113,
97.67483,0.00005,97.67484,0.00005,76000,2.1e+08,D+,43742.7348,146123.25,4d9.(2D<3/2>).5s,2[3/2],1,4d8.(1D).5s.5p.(3P*),3F*,2,,T9142,L11881c113,
98.05448,0.00005,98.05451,0.00005,58000,,,39168.0177,141152.11,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3P).5s.5p.(3P*),5P*,3,,,L11881c113,
98.23525,0.00005,98.23528,0.00005,18000,,,39168.0177,140964.44,4d9.(2D<5/2>).5s,2[5/2],3,4d8.(3P).5s.5p.(3P*),5P*,2,,,L11881c113,
