obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
46.1080,0.0003,46.107990,0.000017,8,,,0.0000,216882.15,3s2.3p5,2P*,3/2,3s2.3p4.(1D).5d,2S,1/2,,,L5807,
46.4144,0.0003,46.414359,0.000017,7,,,1431.5831,216882.15,3s2.3p5,2P*,1/2,3s2.3p4.(1D).5d,2S,1/2,,,L5807,
48.7227,0.0010,48.7227217,0.0000004,2,,,0.0000,205243.0497,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2S,1/2,,,L3263,
48.7264,0.0003,48.7278351,0.0000005,0,,,0.0000,205221.512,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2P,3/2,,,L16202,
48.8782,0.0003,48.879280,0.000003,0.5,,,0.0000,204585.664,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2D,5/2,,,L16202,
48.8987,0.0003,48.8961570,0.0000005,0,,,0.0000,204515.050,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2P,1/2,,,L16202,
48.9196,0.0003,48.9195390,0.0000005,0.5,,,0.0000,204417.2985,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2D,3/2,,,L16202,
49.0698,0.0003,49.0701383,0.0000005,0.5,,,1431.5831,205221.512,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5d,2P,3/2,,,L16202,
49.2418,0.0003,49.2408375,0.0000005,0,,,1431.5831,204515.050,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5d,2P,1/2,,,L16202,
49.4686,0.0003,49.46676252,0.00000020,0.5,,,0.0000,202155.9425,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,2F,5/2,,,L16202,
49.6650,0.0003,49.66436403,0.00000022,0.5*,,,0.0000,201351.6169,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,4F,5/2,,,L16202,
49.6650,0.0003,49.66592402,0.00000022,0.5*,,,0.0000,201345.2925,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5d,4P,3/2,,,L16202,
49.992,0.002,49.99192963,0.00000020,1,,,0.0000,200032.2867,3s2.3p5,2P*,3/2,3s2.3p4.(3P).6s,2P,3/2,,,L3263,
50.0798,0.0003,50.08016733,0.00000023,0.5,,,0.0000,199679.8440,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2D,5/2,,,L16202,
50.1184,0.0003,50.11897078,0.00000023,0.5,,,0.0000,199525.2465,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2P,3/2,,,L16202,
50.140,0.002,50.1387271,0.0000003,1,,,0.0000,199446.6269,3s2.3p5,2P*,3/2,3s2.3p4.(1D).4d,2P,1/2,,,L3263,
50.1993,0.0003,50.20277299,0.00000023,0,,,1431.5831,200623.7672,3s2.3p5,2P*,1/2,3s2.3p4.(3P).6s,2P,1/2,,,L16202,
50.2157,0.0003,50.21630407,0.00000020,1,,,0.0000,199138.5106,3s2.3p5,2P*,3/2,3s2.3p4.(3P).6s,4P,3/2,,,L16202,
50.3649,0.0003,50.36503538,0.00000023,0.5,,,1431.5831,199982.0244,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4d,2D,3/2,,,L16202,
50.480,0.002,50.48117051,0.00000023,1,,,1431.5831,199525.2465,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4d,2P,3/2,,,L3263,
50.5013,0.0003,50.5012135,0.0000003,0.5,,,1431.5831,199446.6269,3s2.3p5,2P*,1/2,3s2.3p4.(1D).4d,2P,1/2,,,L16202,
51.0554,0.0003,51.05564448,0.00000021,1,,,0.0000,195864.7296,3s2.3p5,2P*,3/2,3s2.3p4.(1D).5s,2D,5/2,,,L16202,
51.4310,0.0003,51.43099883,0.00000024,1,,,1431.5831,195866.8503,3s2.3p5,2P*,1/2,3s2.3p4.(1D).5s,2D,3/2,,,L16202,
51.8910,0.0003,51.8908889,0.0000006,1,,,0.0000,192712.058,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,2D,3/2,,,L16202,
51.9329,0.0003,51.9326966,0.0000003,1,,,0.0000,192556.9179,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,2D,5/2,,,L16202,
52.2791,0.0003,52.2792512,0.0000006,1,,,1431.5831,192712.058,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,2D,3/2,,,L16202,
52.4683,0.0003,52.4680359,0.0000003,1,,,0.0000,190592.2306,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,2P,3/2,,,L16202,
52.6497,0.0003,52.6496926,0.0000003,1,,,0.0000,189934.6322,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,2P,1/2,,,L16202,
52.8640,0.0003,52.8651183,0.0000003,0.5,,,1431.5831,190592.2306,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,2P,3/2,,,L16202,
53.0494,0.0003,53.0495398,0.0000003,1p,,,1431.5831,189934.6322,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,2P,1/2,,,L16202,
53.3082,0.0003,53.30793365,0.00000023,1,,,0.0000,187589.3383,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,2F,5/2,,,L16202,
53.5072,0.0003,53.50711322,0.00000026,0.5,,,0.0000,186891.0393,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,4P,5/2,,,L16202,
53.7140,0.0003,53.7139625,0.0000003,1,,,0.0000,186171.3330,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,4P,1/2,,,L16202,
53.7421,0.0003,53.74193325,0.00000023,0.5p,,,0.0000,186074.4375,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,4F,5/2,,,L16202,
54.0804,0.0003,54.08066218,0.00000023,0.5,,,1431.5831,186340.5616,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,4F,3/2,,,L16202,
54.1299,0.0003,54.1302021,0.0000003,0.5,,,1431.5831,186171.3330,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,4P,1/2,,,L16202,
54.2911,0.0003,54.2912358,0.0000003,2,,,0.0000,184191.7917,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,4D,1/2,,,L16202,
54.3205,0.0003,54.3203312,0.0000003,2,,,0.0000,184093.1337,3s2.3p5,2P*,3/2,3s2.3p4.(1D).3d,2S,1/2,,,L16202,
54.3508,0.0006,54.3519575,0.0000003,"0bl,G",,,0.0000,183986.0137,3s2.3p5,2P*,3/2,3s2.3p4.(3P).4d,4D,3/2,,,L16202,
54.3730,0.0003,54.37304927,0.00000024,2,,,0.0000,183914.6440,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5s,2P,1/2,,,L16202,
54.6175,0.0003,54.61768116,0.00000024,2,,,0.0000,183090.8927,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5s,2P,3/2,,,L16202,
54.7166,0.0003,54.7165057,0.0000003,2,,,1431.5831,184191.7917,3s2.3p5,2P*,1/2,3s2.3p4.(3P).4d,4D,1/2,,,L16202,
54.7456,0.0003,54.7460589,0.0000003,2,,,1431.5831,184093.1337,3s2.3p5,2P*,1/2,3s2.3p4.(1D).3d,2S,1/2,,,L16202,
54.7992,0.0003,54.79960688,0.00000024,0.5,,,1431.5831,183914.6440,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5s,2P,1/2,,,L16202,
54.8781,0.0003,54.87807929,0.00000024,2,,,0.0000,182222.1209,3s2.3p5,2P*,3/2,3s2.3p4.(3P).5s,4P,3/2,,,L16202,
55.0481,0.0003,55.04810088,0.00000024,1,,,1431.5831,183090.8927,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5s,2P,3/2,,,L16202,
55.0896,0.0003,55.09044596,0.00000024,1,,,1431.5831,182951.2609,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5s,4P,1/2,,,L16202,
55.3123,0.0003,55.31262931,0.00000024,1,,,1431.5831,182222.1209,3s2.3p5,2P*,1/2,3s2.3p4.(3P).5s,4P,3/2,,,L16202,
55.5764,0.0003,55.5766008,0.0000004,1,,,0.0000,179931.8393,3s2.3p5,2P*,3/2,3s2.3p4.(1S).3d,2D,3/2,,,L16202,
55.6817,0.0003,55.6816979,0.0000003,2,,,0.0000,179592.2248,3s2.3p5,2P*,3/2,3s2.3p4.(1S).3d,2D,5/2,,,L16202,
56.0224,0.0003,56.0223286,0.0000004,2,,,1431.5831,179931.8393,3s2.3p5,2P*,1/2,3s2.3p4.(1S).3d,2D,3/2,,,L16202,
57.2014,0.0003,57.2013628,0.0000007,2,,,0.0000,174821.0098,3s2.3p5,2P*,3/2,3s2.3p4.(1D).3d,2P,1/2,,,L16202,
57.3364,0.0003,57.3361976,0.0000006,2,,,0.0000,174409.8916,3s2.3p5,2P*,3/2,3s2.3p4.(1D).3d,2P,3/2,,,L16202,
57.6738,0.0003,57.6736436,0.0000007,2,,,1431.5831,174821.0098,3s2.3p5,2P*,1/2,3s2.3p4.(1D).3d,2P,1/2,,,L16202,
57.8107,0.0003,57.8107168,0.0000006,2,,,1431.5831,174409.8916,3s2.3p5,2P*,1/2,3s2.3p4.(1D).3d,2P,3/2,,,L16202,
57.8604,0.0003,57.8604410,0.0000006,2,,,0.0000,172829.6539,3s2.3p5,2P*,3/2,3s2.3p4.(1D).3d,2D,3/2,,,L16202,
