obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
,128.7203,,2.42e+07,C,13650.19,91338.0,3p6.3d,2D,3/2,3p6.10f,2F*,5/2,,"u7,LS",,
,128.8210,,2.58e+07,C,13710.88,91338.0,3p6.3d,2D,5/2,3p6.10f,2F*,7/2,,"u7,LS",,
,128.8210,,1.72e+06,C,13710.88,91338.0,3p6.3d,2D,5/2,3p6.10f,2F*,5/2,,"u7,LS",,
,130.4635,,3.28e+07,C,13650.19,90300.0,3p6.3d,2D,3/2,3p6.9f,2F*,5/2,,"u7,LS",,
,130.5668,,3.52e+07,C,13710.88,90300.0,3p6.3d,2D,5/2,3p6.9f,2F*,7/2,,"u7,LS",,
,130.5668,,2.34e+06,C,13710.88,90300.0,3p6.3d,2D,5/2,3p6.9f,2F*,5/2,,"u7,LS",,
,132.9838,,4.59e+07,C,13650.19,88847.31,3p6.3d,2D,3/2,3p6.8f,2F*,5/2,,"u7,LS",,
,133.0912,,4.91e+07,C,13710.88,88847.31,3p6.3d,2D,5/2,3p6.8f,2F*,7/2,,"u7,LS",,
,133.0912,,3.28e+06,C,13710.88,88847.31,3p6.3d,2D,5/2,3p6.8f,2F*,5/2,,"u7,LS",,
134.189,,24,,,,,,,,,,,,,L7256,
134.254,,12,,,,,,,,,,,,,L7256,
,136.8422,,6.6e+07,C,13650.19,86727.06,3p6.3d,2D,3/2,3p6.7f,2F*,5/2,,"u7,LS",,
,136.9559,,7.1e+07,C,13710.88,86727.06,3p6.3d,2D,5/2,3p6.7f,2F*,7/2,,"u7,LS",,
,136.9559,,4.73e+06,C,13710.88,86727.06,3p6.3d,2D,5/2,3p6.7f,2F*,5/2,,"u7,LS",,
143.250,143.2503,12,1.01e+08,C,13650.19,83458.08,3p6.3d,2D,3/2,3p6.6f,2F*,5/2,,"u7,LS",L7256,
143.375,143.3749,20*,7.2e+06,C,13710.88,83458.08,3p6.3d,2D,5/2,3p6.6f,2F*,5/2,,"u7,LS",L7256,
143.375,143.3749,20*,1.07e+08,C,13710.88,83458.08,3p6.3d,2D,5/2,3p6.6f,2F*,7/2,,"u7,LS",L7256,
