obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
246.297,246.29554+,130,,,9778.986,50368.336,4f.(2F*).6s2,2F*,5/2,4f.6s.(3F*).6p,,7/2,,,L3475,
251.851,251.85919+,110,,,12365.806,52058.587,4f.(2F*).5d2.(3F),2H*,9/2,4f.6s.(3F*).6p,2G,9/2,,,L3475,
254.868,254.87143+,200,,,11340.598,50564.294,4f.(2F*).5d2.(3P),4F*,7/2,5d.(2D).6s2?,,5/2,,,L3475,
265.101,265.10066+,340,,,9778.986,47489.280,4f.(2F*).6s2,2F*,5/2,5d2.(1G).6s,2G,7/2,,,L3475,
270.688,270.68828+,120,,,4266.397,41198.309,4f.5d.(3G*).6s,*,7/2,5d2.(3F).6s,2F,5/2,,,L3475,
272.338,272.33842+,120,,,11949.189,48657.336,4f.5d.(3G*).6s,*,7/2,5d3,2F,7/2,,,L3475,
274.196,274.20225+,110,,,11007.799,47466.445,4f.(2F*).5d2.(3P),4F*,3/2,5d2.(1D).6s,,5/2,,,L3475,
275.089,275.08997+,100,,,5651.357,41992.356,4f.5d.(3H*).6s,4H*,11/2,4f.5d.(1H*).6p,2I,13/2,,,L3475,
276.142,276.14200+,150,,,0.000,36202.557,4f.(2F*).5d2.(3F),4H*,7/2,4f.6s.(3F*).6p,4G,9/2,,,L3475,
278.427,278.42663+,120,,,8175.863,44081.375,4f.5d.(3D*).6s,4D*,5/2,5d2.(3P).6s,4P,3/2,,,L3475,
278.535,278.53416+,100,,,12260.088,48151.739,4f.(2F*).6s2,*,7/2,5d2.(1G).6s,2G,9/2,,,L3475,
279.053,279.05174+,100,,,7818.147,43643.230,4f.5d.(3D*).6s,4D*,3/2,5d2.(3P).6s,4P,1/2,,,L3475,
279.142,279.14109+,140,,,9316.912,45130.529,4f2.(3H).5d,4G,7/2,4f3,4F*,5/2,,,L3475,
283.090,283.08960+,270,,,7259.075,42573.191,4f.5d.(3F*).6s,*,7/2,5d2.(3F).6s,2F,7/2,,,L3475,
283.331,283.32586+,100i*,,,8175.863,43460.533,4f.5d.(3D*).6s,4D*,5/2,4f.5d.(1P*).6p,2D,5/2,,,L3475,
283.331,283.33012+,100i*,,,10314.162,45598.301,4f2.(3H).5d,4G,9/2,4f3,4F*,7/2,,,L3475,
287.414,287.40791+,250,,,3745.475,38529.021,4f.(2F*).5d2.(3F),4D*,3/2,4f.5d.(3D*).6p,,5/2,,,L3475,
290.842,290.84221+,110,,,4459.872,38832.709,4f.5d.(3F*).6s,4F*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
291.867,291.86651+,100,,,2641.559,36893.770,4f.5d.(1G*).6s,*,7/2,4f.6s.(1F*).6p,,7/2,,,L3475,
295.594,295.59394+,120,,,2382.246,36202.557,4f.5d.(1G*).6s,*,9/2,4f.6s.(3F*).6p,4G,9/2,,,L3475,
296.480,296.48012+,110,,,5675.763,39394.990,4f.5d.(3F*).6s,4F*,9/2,4f.5d.(3P*).6p,,7/2,,,L3475,
297.258,297.25873+,100,,,4910.963,38541.873,4f.5d.(3H*).6s,*,11/2,5d3,,9/2,,,L3475,
297.691,297.69033+,400,,,4266.397,37848.550,4f.5d.(3G*).6s,*,7/2,5d2.(3F).6s,4F,5/2,,,L3475,
297.746,297.74597+,150,,,5819.113,39394.990,4f.5d.(3G*).6s,*,9/2,4f.5d.(3P*).6p,,7/2,,,L3475,
298.041,298.04009+,120,,,14481.930,48024.675,4f.(2F*).5d2.(1D),*,5/2,4f.6s.(3F*).6p,,5/2,,,L3475,
299.087,299.08714+,250,,,2382.246,35807.568,4f.5d.(1G*).6s,*,9/2,4f.6s.(1F*).6p,,9/2,,,L3475,
299.442,299.44217+,110,,,4266.397,37652.091,4f.5d.(3G*).6s,*,7/2,4f.5d.(3P*).6p,,5/2,,,L3475,
299.564,299.56456+,320,,,5437.422,38809.476,4f.(2F*).5d2.(3F),4G*,7/2,5d2.(3F).6s,4F,7/2,,,L3475,
300.879,300.87862+,400,,,2581.257,35807.568,4f.(2F*).5d2.(3F),4H*,9/2,4f.6s.(1F*).6p,,9/2,,,L3475,
301.720,301.71952+,370,,,5675.763,38809.476,4f.5d.(3F*).6s,4F*,9/2,5d2.(3F).6s,4F,7/2,,,L3475,
303.773,303.77310+,210,,,4322.708,37232.438,4f.5d.(3G*).6s,*,5/2,4f.5d.(3P*).6p,,3/2,,,L3475,
305.198,305.19723+,200,,,4322.708,37078.879,4f.5d.(3G*).6s,*,5/2,4f.5d.(1F*).6p,,3/2,,,L3475,
305.524,305.52360+,350,,,4511.257,37232.438,4f.5d.(3G*).6s,4G*,5/2,4f.5d.(3P*).6p,,3/2,,,L3475,
305.678,305.67735+,320,,,2641.559,35346.282,4f.5d.(1G*).6s,*,7/2,4f.6s.(3F*).6p,,7/2,,,L3475,
306.301,306.30035+,680,,,7233.627,39871.833,4f.5d.(3G*).6s,4G*,11/2,5d2.(3F).6s,4F,9/2,,,L3475,
308.367,308.36645+,320,,,6389.942,38809.476,4f.(2F*).5d2.(3F),4G*,9/2,5d2.(3F).6s,4F,7/2,,,L3475,
308.444,308.44643+,250,,,5437.422,37848.550,4f.(2F*).5d2.(3F),4G*,7/2,5d2.(3F).6s,4F,5/2,,,L3475,
309.037,309.03683+,200,,,7522.622,39871.833,4f.(2F*).5d2.(3F),4G*,11/2,5d2.(3F).6s,4F,9/2,,,L3475,
310.338,310.33702+,370,,,3593.882,35807.568,4f.5d.(1G*).6s,*,9/2,4f.6s.(1F*).6p,,9/2,,,L3475,
310.747,310.74670+,200,,,6638.258,38809.476,4f.(2F*).5d2.(3F),*,9/2,5d2.(3F).6s,4F,7/2,,,L3475,
311.028,311.02779+,320,,,3995.460,36137.604,4f.5d.(3H*).6s,4H*,7/2,4f.6s.(1F*).6p,,5/2,,,L3475,
311.117,311.11609+,300,,,2634.666,34767.688,4f.5d.(3F*).6s,*,5/2,4f.6s.(3F*).6p,,3/2,,,L3475,
312.753,312.75328+,220,,,3593.882,35558.702,4f.5d.(1G*).6s,*,9/2,4f.6s.(3F*).6p,,7/2,,,L3475,
313.033,313.03396+,200,,,4266.397,36202.557,4f.5d.(3G*).6s,*,7/2,4f.6s.(3F*).6p,4G,9/2,,,L3475,
313.087,313.08517+,240,,,0.000,31930.936,4f.(2F*).5d2.(3F),4H*,7/2,4f.5d.(3G*).6p,,9/2,,,L3475,
314.460,314.45968+,200,,,2634.666,34426.037,4f.5d.(3F*).6s,*,5/2,4f.5d.(1F*).6p,,5/2,,,L3475,
314.528,314.52787+,290,,,2641.559,34426.037,4f.5d.(1G*).6s,*,7/2,4f.5d.(1F*).6p,,5/2,,,L3475,
314.641,314.64086+,290,,,2382.246,34155.311,4f.5d.(1G*).6s,*,9/2,5d3,,7/2,,,L3475,
316.415,316.41526+,290,,,2382.246,33977.140,4f.5d.(1G*).6s,*,9/2,4f.5d.(3D*).6p,,7/2,,,L3475,
316.918,316.91795+,290,,,5651.357,37196.137,4f.5d.(3H*).6s,4H*,11/2,4f.6s.(3F*).6p,,9/2,,,L3475,
317.161,317.16062+,290,,,2634.666,34155.311,4f.5d.(3F*).6s,*,5/2,5d3,,7/2,,,L3475,
318.352,318.35240+,480,,,4523.033,35925.682,4f.5d.(3H*).6s,4H*,9/2,4f.6s.(3F*).6p,,7/2,,,L3475,
318.613,318.61241+,240,,,5819.113,37196.137,4f.5d.(3G*).6s,*,9/2,4f.6s.(3F*).6p,,9/2,,,L3475,
319.034,319.03380+,200,,,2641.559,33977.140,4f.5d.(1G*).6s,*,7/2,4f.5d.(3D*).6p,,7/2,,,L3475,
319.483,319.48229+,710,,,4910.963,36202.557,4f.5d.(3H*).6s,*,11/2,4f.6s.(3F*).6p,4G,9/2,,,L3475,
319.928,319.92775+,200,,,5675.763,36923.789,4f.5d.(3F*).6s,4F*,9/2,4f.5d.(1H*).6p,,9/2,,,L3475,
320.171,320.17096+,990,,,6913.392,38137.682,4f.5d.(3H*).6s,4H*,13/2,4f.6s.(3F*).6p,4G,11/2,,,L3475,
321.838,321.83750+,200,,,3363.427,34426.037,4f.5d.(3F*).6s,4F*,5/2,4f.5d.(1F*).6p,,5/2,,,L3475,
321.894,321.89419+,710,,,6913.392,37970.532,4f.5d.(3H*).6s,4H*,13/2,4f.5d.(1H*).6p,2H,11/2,,,L3475,
322.117,322.11689+,880,,,4523.033,35558.702,4f.5d.(3H*).6s,4H*,9/2,4f.6s.(3F*).6p,,7/2,,,L3475,
322.567,322.56743+,330,,,8402.668,39394.990,4f.5d.(3D*).6s,4D*,7/2,4f.5d.(3P*).6p,,7/2,,,L3475,
322.711,322.71134+,710,,,2595.644,33574.145,4f.5d.(3F*).6s,4F*,3/2,4f.6s.(3F*).6p,,3/2,,,L3475,
322.936,322.93614+,240,,,2595.644,33552.582,4f.5d.(3F*).6s,4F*,3/2,4f.6s.(3F*).6p,,5/2,,,L3475,
323.124,323.12378+,480,,,3995.460,34934.421,4f.5d.(3H*).6s,4H*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
323.416,323.41584+,710,,,2641.559,33552.582,4f.5d.(1G*).6s,*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
323.489,323.48876+,330,,,7233.627,38137.682,4f.5d.(3G*).6s,4G*,11/2,4f.6s.(3F*).6p,4G,11/2,,,L3475,
323.674,323.67358+,390,,,4459.872,35346.282,4f.5d.(3F*).6s,4F*,7/2,4f.6s.(3F*).6p,,7/2,,,L3475,
324.337,324.33685+,390,,,4523.033,35346.282,4f.5d.(3H*).6s,4H*,9/2,4f.6s.(3F*).6p,,7/2,,,L3475,
324.667,324.66723+,200,,,3363.427,34155.311,4f.5d.(3F*).6s,4F*,5/2,5d3,,7/2,,,L3475,
326.098,326.09739+,200,,,8175.863,38832.709,4f.5d.(3D*).6s,4D*,5/2,4f.6s.(3F*).6p,,5/2,,,L3475,
326.388,326.38851+,200,,,3703.594,34333.096,4f.(2F*).5d2.(3F),*,7/2,4f.6s.(3F*).6p,,5/2,,,L3475,
