obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
249.939,,21,,,,,,,,,,,,,L3475,
255.478,,26,,,,,,,,,,,,,L3475,
255.918,,26,,,,,,,,,,,,,L3475,
256.417,,160,,,,,,,,,,,,,L3475,
256.817,,110,,,,,,,,,,,,,L3475,
257.476,,26,,,,,,,,,,,,,L3475,
257.714,,230,,,,,,,,,,,,,L3475,
258.186,,26,,,,,,,,,,,,,L3475,
263.550,,30,,,,,,,,,,,,,L3475,
263.877,,1000,,,,,,,,,,,,,L3475,
264.127,,380,,,,,,,,,,,,,L3475,
265.361,,40,,,,,,,,,,,,,L3475,
266.834,,640,,,,,,,,,,,,,L3475,
267.342,,110,,,,,,,,,,,,,L3475,
267.829,,250,,,,,,,,,,,,,L3475,
268.566,,250,,,,,,,,,,,,,L3475,
269.203,,550,,,,,,,,,,,,,L3475,
270.114,,700,,,,,,,,,,,,,L3475,
270.190,,800,,,,,,,,,,,,,L3475,
270.528,,240,,,,,,,,,,,,,L3475,
271.698,,700,,,,,,,,,,,,,L3475,
272.778,272.7783+,4200,6.5e+07,,0.00,36648.95,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,5,,T7237,L3475,
272.933,,190,,,,,,,,,,,,,L3475,
272.944,,380,,,,,,,,,,,,,L3475,
274.062,,160,,,,,,,,,,,,,L3475,
274.426,,120,,,,,,,,,,,,,L3475,
274.729,,70,,,,,,,,,,,,,L3475,
275.217,,90,,,,,,,,,,,,,L3475,
278.189,,480,,,,,,,,,,,,,L3475,
280.284,,1900,,,,,,,,,,,,,L3475,
281.175,,220,,,,,,,,,,,,,L3475,
281.308,,30,,,,,,,,,,,,,L3475,
281.394,281.3930+,3400,5.5e+07,,0.00,35527.02,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,4,,T7237,L3475,
281.618,,550,,,,,,,,,,,,,L3475,
282.078,,2000,,,,,,,,,,,,,L3475,
282.872,,"400c,w",,,,,,,,,,,,,L3475,
282.930,,120,,,,,,,,,,,,,L3475,
283.326,,140,,,,,,,,,,,,,L3475,
284.396,,80,,,,,,,,,,,,,L3475,
285.205,,60,,,,,,,,,,,,,L3475,
285.967,,260,,,,,,,,,,,,,L3475,
286.257,,280,,,,,,,,,,,,,L3475,
286.442,,25,,,,,,,,,,,,,L3475,
287.606,,60,,,,,,,,,,,,,L3475,
288.785,,80,,,,,,,,,,,,,L3475,
290.668,290.6669+,3200,4.1e+07,,0.00,34393.57,4f7.(8S*).6s,a 9S*,4,4f6.(7F).5d (8P).6s,y 9P,3,,T7237,L3475,
291.744,,30,,,,,,,,,,,,,L3475,
292.504,,850,,,,,,,,,,,,,L3475,
294.729,,60,,,,,,,,,,,,,L3475,
295.268,,"200c,w",,,,,,,,,,,,,L3475,
295.947,,35,,,,,,,,,,,,,L3475,
296.021,,260,,,,,,,,,,,,,L3475,
299.133,,300,,,,,,,,,,,,,L3475,
299.522,,35,,,,,,,,,,,,,L3475,
300.626,,40,,,,,,,,,,,,,L3475,
304.077,,30,,,,,,,,,,,,,L3475,
305.494,,"320c,w",,,,,,,,,,,,,L3475,
306.911,,35,,,,,,,,,,,,,L3475,
307.607,,35,,,,,,,,,,,,,L3475,
307.736,,220,,,,,,,,,,,,,L3475,
308.935,,35,,,,,,,,,,,,,L3475,
