obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
37.530,,30,,,,,,,,,,,,,L369,
38.090,,30,,,,,,,,,,,,,L369,
40.704,,40,,,,,,,,,,,,,L369,
43.091,,50,,,,,,,,,,,,,L369,
43.155,,40,,,,,,,,,,,,,L369,
43.564,,40,,,,,,,,,,,,,L369,
45.718,,70,,,,,,,,,,,,,L369,
47.195,,40,,,,,,,,,,,,,L369,
47.200,,60,,,,,,,,,,,,,L369,
47.271,,50,,,,,,,,,,,,,L369,
47.302,,40,,,,,,,,,,,,,L369,
48.460,,90,,,,,,,,,,,,,L369,
51.364,,50,,,,,,,,,,,,,L369,
51.494,,70,,,,,,,,,,,,,L369,
54.685,,70,,,,,,,,,,,,,L369,
54.787,,60,,,,,,,,,,,,,L369,
54.832,,50,,,,,,,,,,,,,L369,
54.852,,40,,,,,,,,,,,,,L369,
60.567,60.5669,90,4.3e+09,E,0.0,165106.66,2s2.2p4,3P,2,2s.2p5,3P*,1,,T668LS,L369,
60.629,60.6288,80,1.00e+10,E,341.0,165279.19,2s2.2p4,3P,1,2s.2p5,3P*,0,,T668LS,L369,
60.680,60.6804,100,7.8e+09,E,0.0,164797.88,2s2.2p4,3P,2,2s.2p5,3P*,2,,T668LS,L369,
60.692,60.6923,70,2.6e+09,E,341.0,165106.66,2s2.2p4,3P,1,2s.2p5,3P*,1,,T668LS,L369,
60.747,60.7472,80,3.3e+09,E,489.9,165106.66,2s2.2p4,3P,0,2s.2p5,3P*,1,,T668LS,L369,
60.806,60.8062,90,2.5e+09,E,341.0,164797.88,2s2.2p4,3P,1,2s.2p5,3P*,2,,T668LS,L369,
112.976,,40,,,,,,,,,,,,,L369,
132.706,,40,,,,,,,,,,,,,L369,
132.811,,50,,,,,,,,,,,,,L369,
133.359,,40,,,,,,,,,,,,,L369,
134.360,,50,,,,,,,,,,,,,L369,
134.404,,40,,,,,,,,,,,,,L369,
140.061,,50,,,,,,,,,,,,,L369,
140.714,,40,,,,,,,,,,,,,L369,
149.309,,60,,,,,,,,,,,,,L369,
149.324,,50,,,,,,,,,,,,,L369,
149.331,,40,,,,,,,,,,,,,L369,
170.213,,40,,,,,,,,,,,,,L369,
174.475,,40,,,,,,,,,,,,,L369,
174.555,,50,,,,,,,,,,,,,L369,
174.739,,60,,,,,,,,,,,,,L369,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
,222.558,,1.6e-03,D,0.0,44918.1,2s2.2p4,3P,2,2s2.2p4,1S,0,E2,T333,,
,224.261,,4.90e-01,C,341.0,44918.1,2s2.2p4,3P,1,2s2.2p4,1S,0,M1,T333,,
255.611,,100,,,,,,,,,,,,,L369,
287.140,,100,,,,,,,,,,,,,L369,
305.999,,120,,,,,,,,,,,,,L369,
315.349,,140,,,,,,,,,,,,,L369,
320.276,320.2761,170,1.4e+08,D,215069.59,246283.63,2s2.2p3.(2D*).3s,1D*,2,2s2.2p3.(2D*).3p,1D,2,,T1115CA,L369,
326.408,,140,,,,,,,,,,,,,L369,
341.465,,140,,,,,,,,,,,,,L369,
341.645,,150,,,,,,,,,,,,,L369,
341.680,,140,,,,,,,,,,,,,L369,
341.700,,160,,,,,,,,,,,,,L369,
347.296,,160,,,,,,,,,,,,,L369,
347.331,,150,,,,,,,,,,,,,L369,
347.478,,170,,,,,,,,,,,,,L369,
350.139,350.1390,190,2.86e+08,C,202449.35,231001.27,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,0,,"T1115CA,LS",L369,
350.145,350.1449,200,2.15e+08,C,202449.35,231000.79,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,1,,"T1115CA,LS",L369,
350.157,350.1572,200,1.00e+08,C,202449.35,230999.78,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).3d,5D*,2,,"T1115CA,LS",L369,
350.284,350.2840,180,7.2e+07,C,202460.69,231000.79,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,1,,"T1115CA,LS",L369,
350.296,350.2964,200,1.67e+08,C,202460.69,230999.78,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).3d,5D*,2,,"T1115CA,LS",L369,
