obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 17
78.2494,0.0005,78.25003,300,1.0e+07,,0.000,127795.481,5d10.6s,2S,1/2,5d10.8p,2P*,3/2,,T7226,L11760,
78.7757,0.0005,78.77623,150,3.1e+07,,0.000,126941.844,5d10.6s,2S,1/2,5d10.8p,2P*,1/2,,T7226,L11760,
80.2469,0.0005,80.24729,250,1.9e+07,,0.000,124614.794,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,,T7226,L11760,
82.1329,0.0005,82.13300,15000,1.4e+08,,0.000,121753.739,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,1P<1>)*",1/2,,T7226,L11760,
89.3085,0.0005,89.30847,200000,5.8e+07,,0.000,111971.464,5d10.6s,2S,1/2,5d10.7p,2P*,3/2,,T7226,L11760,
89.3287,0.0005,,2000,,,,,,,,,,,,,L11760,
91.5819,0.0005,91.58210,120000,1.3e+09,,0.000,109191.648,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,,T7226,L11760,
92.3377,0.0005,92.33765,350,6.5e+08,,0.000,108298.183,5d10.6s,2S,1/2,5d10.7p,2P*,1/2,,T7226,L11760,
94.0736,0.0005,94.07391,25000,7.0e+08,,0.000,106299.401,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",1/2,,T7226,L11760,
94.2630,0.0005,94.26313,200000,1.6e+09,,0.000,106086.013,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,,T7226,L11760,
96.2711,0.0005,96.27113,250000,2.0e+09,,0.000,103873.302,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",1/2,,T7226,L11760,
96.9142,0.0005,96.91437,250000,6.8e+08,,0.000,103183.874,5d10.6s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<1>)*",3/2,,T7226,L11760,
102.2965,0.0005,102.29666,50,1.0e+06,,35514.624,133269.525,5d9.6s2,2D,5/2,5d10.6f,2F*,7/2,,T7226,L11760,
102.7570,0.0005,102.75713,100,1.6e+08,,60608.362,157925.207,5d10.6p,2P*,3/2,5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,T7226,L11760,
