obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
55.1328,55.13329+,1,,,0.00,181378.63,4s2.4p5,2P*,3/2,4s2.4p4.(3P).8s,4P,3/2,,,L353,
55.9315,55.93283+,3,,,0.00,178785.88,4s2.4p5,2P*,3/2,4s2.4p4.(3P).7s,2P,1/2,,,L353,
56.0792,56.07937+,1,,,0.00,178318.69,4s2.4p5,2P*,3/2,4s2.4p4.(1D).5d,2D,5/2,,,L353,
56.1932,56.19396+,1,,,0.00,177955.08,4s2.4p5,2P*,3/2,4s2.4p4.(3P).7s,2P,3/2,,,L353,
56.2792,56.28029+,1,,,0.00,177682.11,4s2.4p5,2P*,3/2,4s2.4p4.(1D).5d,2P,3/2,,,L353,
57.0013,57.00238+,6,,,0.00,175431.28,4s2.4p5,2P*,3/2,4s2.4p4.(3P).6d,4D,5/2,,,L353,
57.5907,57.59099+,2,,,0.00,173638.28,4s2.4p5,2P*,3/2,4s2.4p4.(3P).7s,4P,3/2,,,L353,
57.6653,57.66488+,1,,,5370.10,178785.88,4s2.4p5,2P*,1/2,4s2.4p4.(3P).7s,2P,1/2,,,L353,
57.6998,57.70076+,0,,,0.00,173307.95,4s2.4p5,2P*,3/2,4s2.4p4.(3P).7s,4P,5/2,,,L353,
57.9101,57.90960+,0,,,5370.10,178053.05,4s2.4p5,2P*,1/2,4s2.4p4.(3P).7s,4P,1/2,,,L353,
57.9414,57.94247+,1,,,5370.10,177955.08,4s2.4p5,2P*,1/2,4s2.4p4.(3P).7s,2P,3/2,,,L353,
58.0345,58.03426+,0,,,5370.10,177682.11,4s2.4p5,2P*,1/2,4s2.4p4.(1D).5d,2P,3/2,,,L353,
58.1219,58.12260+,1,,,0.00,172050.11,4s2.4p5,2P*,3/2,4s2.4p4.(1D).6s,2D,3/2,,,L353,
58.1500,58.15007+,3,,,0.00,171968.85,4s2.4p5,2P*,3/2,4s2.4p4.(1D).6s,2D,5/2,,,L353,
58.5688,58.56888+,2,,,5370.10,176109.24,4s2.4p5,2P*,1/2,4s2.4p4.(1D).5d,2D,3/2,,,L353,
