obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
28.6308,0.0005,28.6308,0.0005,6,,,0.0000,349274,2s2.2p5,2P*,3/2,2s2.2p4.(1D).8d,2S,1/2,,,L12157,
,,28.6949,0.0006,m,,,780.4240,349274,2s2.2p5,2P*,1/2,2s2.2p4.(1D).8d,2S,1/2,,,L12157,
28.8073,0.0003,28.80732,0.00025,12,,,0.0000,347134,2s2.2p5,2P*,3/2,2s2.2p4.(1D).7d,2S,1/2,,,L12157,
28.8720,0.0010,28.8722,0.0003,6,,,780.4240,347134,2s2.2p5,2P*,1/2,2s2.2p4.(1D).7d,2S,1/2,,,L12157,
29.0831,0.0003,29.0830,0.0003,48,,,0.0000,343843,2s2.2p5,2P*,3/2,2s2.2p4.(1D).6d,2S,1/2,,,L12157,
29.1492,0.0003,29.1492,0.0003,25,,,780.4240,343843,2s2.2p5,2P*,1/2,2s2.2p4.(1D).6d,2S,1/2,,,L12157,
29.5168,0.0003,29.516919,0.000010,22,,,0.0000,338788.75,2s2.2p5,2P*,3/2,2s2.2p4.(1S).4s,2S,1/2,,,L12157c153,
29.5851,0.0003,29.585070,0.000011,10,,,780.4240,338788.75,2s2.2p5,2P*,1/2,2s2.2p4.(1S).4s,2S,1/2,,,L12157c153,
29.6329,0.0003,29.633024,0.000018,88,,,0.0000,337461.34,2s2.2p5,2P*,3/2,2s2.2p4.(1D).5d,2S,1/2,,,L12157,
29.7019,0.0003,29.701713,0.000018,45,,,780.4240,337461.34,2s2.2p5,2P*,1/2,2s2.2p4.(1D).5d,2S,1/2,,,L12157,
30.3814,0.0003,30.381399,0.000009,,,,0.0000,329148.77,2s2.2p5,2P*,3/2,2s2.2p4.(1D).5s,2D,3/2,,,L1406c153,
30.3814,0.0003,30.381412,0.000009,13,,,0.0000,329148.63,2s2.2p5,2P*,3/2,2s2.2p4.(1D).5s,2D,5/2,,,L12157c153,
30.4536,0.0003,30.453605,0.000009,12,,,780.4240,329148.77,2s2.2p5,2P*,1/2,2s2.2p4.(1D).5s,2D,3/2,,,L12157c153,
,,30.458282,0.000009,,,,0.0000,328317.93,2s2.2p5,2P*,3/2,2s2.2p4.(1D).4d,2F,5/2,,,,
