obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 10
206.721,,7800,,,,,,,L3475,
207.067,,4200,,,,,,,L3475,
219.439,,840,,,,,,,L3475,
225.585,,2000,,,,,,,L3475,
228.226,,1400,,,,,,,L3475,
231.375,,190,,,,,,,L3475,
233.680,,720,,,,,,,L3475,
235.023,,230,,,,,,,L3475,
235.528,,120,,,,,,,L3475,
236.735,,500,,,,,,,L3475,
237.506,,95,,,,,,,L3475,
240.508,,95,,,,,,,L3475,
242.002,,95,,,,,,,L3475,
242.307,,200,,,,,,,L3475,
242.402,,70,,,,,,,L3475,
242.790,,70,,,,,,,L3475,
245.491,,110,,,,,,,L3475,
246.890,,110,,,,,,,L3475,
248.624,,530,,,,,,,L3475,
250.718,,35,,,,,,,L3475,
250.971,,70,,,,,,,L3475,
253.800,,780,,,,,,,L3475,
254.883,,30,,,,,,,L3475,
256.316,,190,,,,,,,L3475,
257.832,,150,,,,,,,L3475,
258.003,,130,,,,,,,L3475,
259.600,,170,,,,,,,L3475,
263.122,,27,,,,,,,L3475,
266.429,,40,,,,,,,L3475,
273.136,,40,,,,,,,L3475,
278.388,,40,,,,,,,L3475,
286.337,,35,,,,,,,L3475,
287.939,,35,,,,,,,L3475,
288.020,,30,,,,,,,L3475,
304.274,,120,,,,,,,L3475,
317.393,,180,,,,,,,L3475,
321.331,,150,,,,,,,L3475,
360.448,,95,,,,,,,L3475,
