obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
80.510,,10w,,,,,,,,,,,,,L3541,
82.052,,20w,,,,,,,,,,,,,L3541,
84.372,84.3719,20w,7.05e+07,D,0.00,118522.86,3s2.3p,2P*,1/2,3s2.6d,2D,3/2,,T7166,L3541,
84.577,84.5769,40w,1.42e+07,E,287.24,118522.86,3s2.3p,2P*,3/2,3s2.6d,2D,3/2,,T7166,L3541,
85.014,,10,,,,,,,,,,,,,L3541,
88.972,88.9723,100,1.43e+08,D+,0.00,112394.56,3s2.3p,2P*,1/2,3s2.5d,2D,3/2,,T7166,L3541,
89.200,89.2002,200,2.88e+07,D,287.24,112394.56,3s2.3p,2P*,3/2,3s2.5d,2D,3/2,,T7166,L3541,
89.941,89.9406,10,4.63e+07,D,0.00,111184.46,3s2.3p,2P*,1/2,3s2.6s,2S,1/2,,T7166,L3541,
90.174,90.1736,20,9.23e+07,D,287.24,111184.46,3s2.3p,2P*,3/2,3s2.6s,2S,1/2,,T7166,L3541,
91.301,,10,,,,,,,,,,,,,L3541,
91.385,,20,,,,,,,,,,,,,L3541,
92.981,,20,,,,,,,,,,,,,L3541,
98.987,98.9873,100,6.81e+08,C+,0.00,101023.05,3s2.3p,2P*,1/2,3s2.4d,2D,3/2,,T2510,L3541,
99.268,99.2683,200,7.11e+08,C+,287.24,101024.35,3s2.3p,2P*,3/2,3s2.4d,2D,5/2,,T7166,L3541,
,99.2696,,1.18e+08,D+,287.24,101023.05,3s2.3p,2P*,3/2,3s2.4d,2D,3/2,,T7166,,
102.070,102.0699,25,8.91e+07,D,0.00,97972.09,3s2.3p,2P*,1/2,3s2.5s,2S,1/2,,T7166,L3541,
102.369,102.3700,50,1.77e+08,D+,287.24,97972.09,3s2.3p,2P*,3/2,3s2.5s,2S,1/2,,T7166,L3541,
105.705,,30,,,,,,,,,,,,,L3541,
105.750,,15,,,,,,,,,,,,,L3541,
112.744,,20w,,,,,,,,,,,,,L3541,
112.791,,40w,,,,,,,,,,,,,L3541,
119.042,119.0416,100,6.53e+08,C+,0.00,84004.26,3s2.3p,2P*,1/2,3s.3p2,2P,3/2,,c22,L3541,
119.328,119.3290,200,2.69e+09,B,0.00,83801.95,3s2.3p,2P*,1/2,3s.3p2,2P,1/2,,c22,L3541,
119.450,119.4500,250,3.45e+09,B,287.24,84004.26,3s2.3p,2P*,3/2,3s.3p2,2P,3/2,,c22,L3541,
119.739,119.7394,100,1.40e+09,C+,287.24,83801.95,3s2.3p,2P*,3/2,3s.3p2,2P,1/2,,c22,L3541,
121.612,,10w,,,,,,,,,,,,,L3541,
,122.2276,,2.45e+08,D,42824.29,124638.9,3s.3p2,4P,1/2,3s.3p.(3P*).3d,4P*,1/2,,"T6527c4,LS",,
,122.2624,,6.14e+08,C,42824.29,124615.6,3s.3p2,4P,1/2,3s.3p.(3P*).3d,4P*,3/2,,"T6527c4,LS",,
,122.3896,,1.24e+09,C+,42932.62,124638.9,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4P*,1/2,,T1533,,
122.391,,20,,,,,,,,,,,,,L3541,
122.425,122.4245,20,6.72e+08,C+,42932.62,124615.6,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4P*,3/2,,T1533,L3541,
122.497,122.4968,10,4.39e+08,C,42932.62,124567.4,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4P*,5/2,,"T6527c4,LS",L3541,
122.681,122.6798,50,2.77e+09,C,42824.29,124337.3,3s.3p2,4P,1/2,3s.3p.(3P*).3d,4D*,1/2,,"T6527c4,LS",L3541,
122.689,122.6878,20,6.55e+08,C,43107.91,124615.6,3s.3p2,4P,5/2,3s.3p.(3P*).3d,4P*,3/2,,"T6527c4,LS",L3541,
122.699,122.6979,40,1.39e+09,C,42824.29,124325.3,3s.3p2,4P,1/2,3s.3p.(3P*).3d,4D*,3/2,,"T6527c4,LS",L3541,
122.760,122.7604,100,1.46e+09,B,43107.91,124567.4,3s.3p2,4P,5/2,3s.3p.(3P*).3d,4P*,5/2,,T1533,L3541,
122.844,122.8431,10,5.53e+08,D+,42932.62,124337.3,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4D*,1/2,,"T6527c4,LS",L3541,
122.862,122.8612,25,1.77e+09,C,42932.62,124325.3,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4D*,3/2,,"T6527c4,LS",L3541,
122.875,122.8739,150,2.32e+09,C+,42932.62,124316.9,3s.3p2,4P,3/2,3s.3p.(3P*).3d,4D*,5/2,,"T6527c4,LS",L3541,
122.939,122.9383,200,2.25e+09,B,43107.91,124449.5,3s.3p2,4P,5/2,3s.3p.(3P*).3d,4D*,7/2,,T1533,L3541,
,123.0749,,2.15e+03,B,0.00,81251.32,3s2.3p,2P*,1/2,3s2.4p,2P*,3/2,E2,c22,,
,123.0749,,1.18e-02,E,0.00,81251.32,3s2.3p,2P*,1/2,3s2.4p,2P*,3/2,M1,c22,,
,123.1263,,1.65e+08,D,43107.91,124325.3,3s.3p2,4P,5/2,3s.3p.(3P*).3d,4D*,3/2,,"T6527c4,LS",,
,123.1391,,9.90e+08,C,43107.91,124316.9,3s.3p2,4P,5/2,3s.3p.(3P*).3d,4D*,5/2,,"T6527c4,LS",,
,123.1658,,7.17e-06,E,0.00,81191.34,3s2.3p,2P*,1/2,3s2.4p,2P*,1/2,M1,c22,,
,123.5116,,2.12e+03,B,287.24,81251.32,3s2.3p,2P*,3/2,3s2.4p,2P*,3/2,E2,c22,,
,123.5116,,4.82e-05,E,287.24,81251.32,3s2.3p,2P*,3/2,3s2.4p,2P*,3/2,M1,c22,,
123.592,,10,,,,,,,,,,,,,L3541,
,123.6031,,4.30e+03,B,287.24,81191.34,3s2.3p,2P*,3/2,3s2.4p,2P*,1/2,E2,c22,,
,123.6031,,2.49e-02,E,287.24,81191.34,3s2.3p,2P*,3/2,3s2.4p,2P*,1/2,M1,c22,,
124.674,124.6740,100,4.03e+08,C,42824.29,123033.5,3s.3p2,4P,1/2,3p3,4S*,3/2,,T1533,L3541,
124.843,124.8426,150,8.30e+08,C+,42932.62,123033.5,3s.3p2,4P,3/2,3p3,4S*,3/2,,T1533,L3541,
125.009,,100,,,,,,,,,,,,,L3541,
125.043,,150,,,,,,,,,,,,,L3541,
125.116,125.1164,200,1.30e+09,C+,43107.91,123033.5,3s.3p2,4P,5/2,3p3,4S*,3/2,,T1533,L3541,
126.042,126.0422,1000,2.57e+09,B,0.00,79338.50,3s2.3p,2P*,1/2,3s2.3d,2D,3/2,,c22,L3541,
126.473,126.4738,2000,3.04e+09,B,287.24,79355.02,3s2.3p,2P*,3/2,3s2.3d,2D,5/2,,c22,L3541,
126.502,126.5002,200,4.73e+08,C+,287.24,79338.50,3s2.3p,2P*,3/2,3s2.3d,2D,3/2,,c22,L3541,
130.437,130.4370,100,3.64e+08,C+,0.00,76665.35,3s2.3p,2P*,1/2,3s.3p2,2S,1/2,,c22,L3541,
130.559,,50w,,,,,,,,,,,,,L3541,
130.927,130.9276,200,6.23e+08,C+,287.24,76665.35,3s2.3p,2P*,3/2,3s.3p2,2S,1/2,,c22,L3541,
130.946,,20w,,,,,,,,,,,,,L3541,
134.687,,100,,,,,,,,,,,,,L3541,
,134.6884,,2.50e+08,C,42932.62,117178.06,3s.3p2,4P,3/2,3s.3p.(3P*).4s,4P*,5/2,,T1533,,
134.854,134.8543,100,3.36e+08,C,42824.29,116978.38,3s.3p2,4P,1/2,3s.3p.(3P*).4s,4P*,3/2,,T1533,L3541,
135.006,135.0072,150,5.34e+08,C+,43107.91,117178.06,3s.3p2,4P,5/2,3s.3p.(3P*).4s,4P*,5/2,,T1533,L3541,
135.052,135.0516,20,1.61e+08,D+,42932.62,116978.38,3s.3p2,4P,3/2,3s.3p.(3P*).4s,4P*,3/2,,"T6527c4,LS",L3541,
135.066,135.0656,20,2.02e+08,D,42824.29,116862.38,3s.3p2,4P,1/2,3s.3p.(3P*).4s,4P*,1/2,,"T6527c4,LS",L3541,
135.264,135.2635,100,6.12e+08,C,42932.62,116862.38,3s.3p2,4P,3/2,3s.3p.(3P*).4s,4P*,1/2,,T1533,L3541,
