obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 18
88.8313,0.0019,88.8304,0.0004,1400,,,0.00,112574.1,5s2.5p,2P*,1/2,5s2.11d,2D,3/2,,,L17864,
89.9884,0.0019,89.9907,0.0010,3400,,,0.00,111122.6,5s2.5p,2P*,1/2,5s2.10d,2D,3/2,,,L17864,
91.7378,0.0006,91.7380,0.0004,7300,9.e+07,E,0.00,109006.1,5s2.5p,2P*,1/2,5s2.9d,2D,3/2,,T9352,L18891,
92.2856,0.0019,92.2870,0.0003,3500,2.4e+07,E,0.00,108357.6,5s2.5p,2P*,1/2,5s2.10s,2S,1/2,,T9352,L17864,
92.301,0.004,92.2974,0.0010,3700,,,4251.494,112596.9,5s2.5p,2P*,3/2,5s2.11d,2D,5/2,,,L3368,
93.5571,0.0019,93.5525,0.0010,5800,,,4251.494,111143.3,5s2.5p,2P*,3/2,5s2.10d,2D,5/2,,,L17864,
94.5802,0.0006,94.5794,0.0003,14000,1.5e+08,E,0.00,105731.3,5s2.5p,2P*,1/2,5s2.8d,2D,3/2,,T9352,L18891,
95.4440,0.0006,95.44332,0.00014,12000,9.e+07,E,4251.494,109025.72,5s2.5p,2P*,3/2,5s2.9d,2D,5/2,,T9352,L18891,
95.4614,0.0006,95.4612,0.0004,6200,1.8e+07,E,4251.494,109006.1,5s2.5p,2P*,3/2,5s2.9d,2D,3/2,,T9352,L18891,
95.5299,0.0006,95.53068,0.00010,6900,3.9e+07,E,0.00,104678.41,5s2.5p,2P*,1/2,5s2.9s,2S,1/2,,T9352,L18891,
96.0545,0.0019,96.0558,0.0004,2400,4.e+07,E,4251.494,108357.6,5s2.5p,2P*,3/2,5s2.10s,2S,1/2,,T9352,L17864,
98.5110,0.0006,98.51117,0.00023,18000,1.6e+08,E,4251.494,105762.82,5s2.5p,2P*,3/2,5s2.8d,2D,5/2,,T9352,L18891,
98.5411,0.0019,98.5418,0.0003,10000,3.0e+07,E,4251.494,105731.3,5s2.5p,2P*,3/2,5s2.8d,2D,3/2,,T9352,L17864,
99.5742,0.0006,99.57490,0.00010,8600,7.e+07,E,4251.494,104678.41,5s2.5p,2P*,3/2,5s2.9s,2S,1/2,,T9352,L18891,
99.7168,0.0006,99.71669,0.00005,19000,2.8e+08,D+,0.00,100284.111,5s2.5p,2P*,1/2,5s2.7d,2D,3/2,,T9352,L18891,
101.6238,0.0006,101.62353,0.00005,16000,7.e+07,E,0.00,98402.412,5s2.5p,2P*,1/2,5s2.8s,2S,1/2,,T9352,L18891,
104.0720,0.0006,104.071860,0.000019,24000,3.0e+08,D+,4251.494,100338.947,5s2.5p,2P*,3/2,5s2.7d,2D,5/2,,T9352,L18891,
104.1313,0.0006,104.131287,0.000020,16000,6.e+07,E,4251.494,100284.111,5s2.5p,2P*,3/2,5s2.7d,2D,3/2,,T9352,L18891,
106.2123,0.0007,106.212453,0.000017,25000,1.3e+08,E,4251.494,98402.412,5s2.5p,2P*,3/2,5s2.8s,2S,1/2,,T9352,L18891,
110.8138,0.0010,110.81369,0.00006,43000,4.7e+08,B+,0.00,90241.554,5s2.5p,2P*,1/2,5s2.6d,2D,3/2,,T8718,L18891,
115.9014,0.0010,115.90129,0.00005,53000,1.01e+08,C+,0.00,86280.318,5s2.5p,2P*,1/2,5s2.7s,2S,1/2,,T8718,L18891,
116.1434,0.0010,116.143479,0.000020,74000,5.5e+08,B+,4251.494,90351.894,5s2.5p,2P*,3/2,5s2.6d,2D,5/2,,T8718,L18891,
116.2926,0.0010,116.292511,0.000020,56000,1.28e+08,B+,4251.494,90241.554,5s2.5p,2P*,3/2,5s2.6d,2D,3/2,,T8718,L18891,
118.5675,0.0014,118.5684,0.0006,37000,,,48368.185,132707.7,5s.5p2,4P,3/2,5s.5p.(1P*).5d,2D*,5/2,,,L18891,
119.3299,0.0014,119.3308,0.0003,66000bl(Si II),,,48368.185,132168.83,5s.5p2,4P,3/2,5s.5p.(1P*).5d,2D*,3/2,,,L18891,
121.9088,0.0010,121.908367,0.000022,91000,3.35e+08,B+,4251.494,86280.318,5s2.5p,2P*,3/2,5s2.7s,2S,1/2,,T8718,L18891,
122.3715,0.0010,122.3716,0.0004,100000,4.08e+08,B+,0.00,81718.3,5s2.5p,2P*,1/2,5s.5p2,2P,3/2,,T8718,L18891,
