obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
228.479,,360,,,,,,,,,,,,,L3475,
232.977,,120,,,,,,,,,,,,,L3475,
234.092,,70,,,,,,,,,,,,,L3475,
236.391,,120,,,,,,,,,,,,,L3475,
236.596,,45,,,,,,,,,,,,,L3475,
236.711,,160,,,,,,,,,,,,,L3475,
238.368,,150,,,,,,,,,,,,,L3475,
238.895,,110,,,,,,,,,,,,,L3475,
240.902,,450,,,,,,,,,,,,,L3475,
241.244,,110,,,,,,,,,,,,,L3475,
242.165,,120,,,,,,,,,,,,,L3475,
242.617,,450,,,,,,,,,,,,,L3475,
244.547,,140,,,,,,,,,,,,,L3475,
248.013,,770,,,,,,,,,,,,,L3475,
248.115,,150,,,,,,,,,,,,,L3475,
248.752,,130,,,,,,,,,,,,,L3475,
249.160,,250,,,,,,,,,,,,,L3475,
249.954,,100,,,,,,,,,,,,,L3475,
250.715,,130,,,,,,,,,,,,,L3475,
250.908,,1300,,,,,,,,,,,,,L3475,
252.087,,200,,,,,,,,,,,,,L3475,
252.217,,250,,,,,,,,,,,,,L3475,
252.411,,180,,,,,,,,,,,,,L3475,
252.742,,110,,,,,,,,,,,,,L3475,
254.266,,120,,,,,,,,,,,,,L3475,
256.165,,540,,,,,,,,,,,,,L3475,
256.386,,150,,,,,,,,,,,,,L3475,
258.827,,430,,,,,,,,,,,,,L3475,
260.602,,220,,,,,,,,,,,,,L3475,
260.706,,810,,,,,,,,,,,,,L3475,
262.433,,730,,,,,,,,,,,,,L3475,
264.076,,210,,,,,,,,,,,,,L3475,
264.645,,130,,,,,,,,,,,,,L3475,
265.027,,160,,,,,,,,,,,,,L3475,
265.848,,190,,,,,,,,,,,,,L3475,
266.009,,250,,,,,,,,,,,,,L3475,
266.820,,140,,,,,,,,,,,,,L3475,
267.957,,310,,,,,,,,,,,,,L3475,
269.750,,170,,,,,,,,,,,,,L3475,
272.119,,540,,,,,,,,,,,,,L3475,
274.408,,200,,,,,,,,,,,,,L3475,
277.955,,270,,,,,,,,,,,,,L3475,
278.507,,350,,,,,,,,,,,,,L3475,
279.460,,680,,,,,,,,,,,,,L3475,
279.727,,730,,,,,,,,,,,,,L3475,
281.847,,250,,,,,,,,,,,,,L3475,
282.702,,250,,,,,,,,,,,,,L3475,
282.792,,580,,,,,,,,,,,,,L3475,
283.155,,200,,,,,,,,,,,,,L3475,
284.467,,310,,,,,,,,,,,,,L3475,
286.012,,200,,,,,,,,,,,,,L3475,
286.174,,200,,,,,,,,,,,,,L3475,
286.923,,1600,,,,,,,,,,,,,L3475,
289.094,,630,,,,,,,,,,,,,L3475,
291.827,,210,,,,,,,,,,,,,L3475,
292.565,,270,,,,,,,,,,,,,L3475,
292.674,,680,,,,,,,,,,,,,L3475,
293.599,,630,,,,,,,,,,,,,L3475,
295.126,,350,,,,,,,,,,,,,L3475,
296.586,,430,,,,,,,,,,,,,L3475,
298.148,,540,,,,,,,,,,,,,L3475,
298.652,,350,,,,,,,,,,,,,L3475,
299.054,,630,,,,,,,,,,,,,L3475,
299.326,,200,,,,,,,,,,,,,L3475,
301.371,,230,,,,,,,,,,,,,L3475,
301.465,,430,,,,,,,,,,,,,L3475,
301.530,,1500,,,,,,,,,,,,,L3475,
301.709,,270,,,,,,,,,,,,,L3475,
302.607,,330,,,,,,,,,,,,,L3475,
304.235,,280,,,,,,,,,,,,,L3475,
304.676,,340bl,,,,,,,,,,,,,L3475,
305.073,,320,,,,,,,,,,,,,L3475,
305.607,,340,,,,,,,,,,,,,L3475,
307.308,,580,,,,,,,,,,,,,L3475,
309.860,,740,,,,,,,,,,,,,L3475,
313.126,313.1255+,7400,1.06e+08,,0.00,31926.82,4f13.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,4f12.5d.6s,,5,,T6708,L3475,
313.389,,2300,,,,,,,,,,,,,L3475,
314.490,,230,,,,,,,,,,,,,L3475,
