obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
67.5295,67.52870+,3,,,0.00,148085.19,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6d,2[1],3/2,,,L6925,
67.7666,67.76703+,1,,,0.00,147564.38,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).8s,2[2],3/2,,,L6925,
68.0645,68.06061+,,,,0.00,146927.86,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6d,2[3],5/2,,,L6925,
69.2588,69.25932+,1,,,0.00,144384.90,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).6d,2[2],5/2,,,L6925,
69.9660,69.96437+,0,,,0.00,142929.90,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).7s,2[1],1/2,,,L6925,
70.2342,70.23353+,2,,,0.00,142382.13,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).7s,2[1],3/2,,,L6925,
71.6129,71.61250+,2,,,0.00,139640.43,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[1],3/2,,,L6925,
71.8936,71.89368+,3,,,0.00,139094.28,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[3],5/2,,,L6925,
72.0839,72.08423+,2,,,0.00,138726.59,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[0],1/2,,,L6925,
72.4303,72.43092+,2,,,0.00,138062.59,5s2.5p5,2P*,3/2,5s2.5p4.(1S<0>).5d,2[2],3/2,,,L6925,
73.2266,73.23104+,2d*,,,0.00,136554.11,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).6d,2[1],1/2,,,L6925,
73.2266,73.22272+,2d*,,,0.00,136569.63,5s2.5p5,2P*,3/2,5s2.5p4.(1S<0>).5d,2[2],5/2,,,L6925,
74.0406,74.04064+,2,,,0.00,135060.97,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[0],1/2,,,L6925,
75.0815,75.08104+,2,,,0.00,133189.42,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).7s,2[2],3/2,,,L6925,
75.5321,75.53276+,0,,,10537.01,142929.90,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).7s,2[1],1/2,,,L6925,
75.8508,75.84657+,,,,10537.01,142382.13,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).7s,2[1],3/2,,,L6925,
76.7203,76.71865+,0,,,10537.01,140883.42,5s2.5p5,2P*,1/2,5s2.5p4.(3P<0>).7s,2[0],1/2,,,L6925,
77.3689,77.37040+,1,,,0.00,129248.39,5s2.5p5,2P*,3/2,5s2.5p4.(1S<0>).6s,2[0],1/2,,,L6925,
77.4572,77.45728+,5,,,10537.01,139640.43,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).6d,2[1],3/2,,,L6925,
78.4152,78.41564+,4*,,,10537.01,138062.59,5s2.5p5,2P*,1/2,5s2.5p4.(1S<0>).5d,2[2],3/2,,,L6925,
78.4152,78.41458+,4*,,,0.00,127527.30,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[2],3/2,,,L6925,
78.7343,78.73346+,5,,,0.00,127010.80,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[1],1/2,,,L6925,
79.3553,79.35431+,0,,,10537.01,136554.11,5s2.5p5,2P*,1/2,5s2.5p4.(3P<2>).6d,2[1],1/2,,,L6925,
80.3066,80.30583+,1,,,10537.01,135060.97,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).5d,2[0],1/2,,,L6925,
80.4504,80.44925+,7,,,0.00,124301.96,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[2],5/2,,,L6925,
80.6009,80.59962+,4,,,0.00,124070.06,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[1],3/2,,,L6925,
83.9740,83.97329+,5,,,0.00,119085.49,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).5d,2[3],5/2,,,L6925,
84.2388,84.23792+,6,,,10537.01,129248.39,5s2.5p5,2P*,1/2,5s2.5p4.(1S<0>).6s,2[0],1/2,,,L6925,
85.4778,85.47718+,6d,,,10537.01,127527.30,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).5d,2[2],3/2,,,L6925,
85.8580,85.85623+,4bl,,,10537.01,127010.80,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).5d,2[1],1/2,,,L6925,
87.1458,87.14515+,7,,,0.00,114751.08,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[3],5/2,,,L6925,
88.0802,88.08008+,5,,,10537.01,124070.06,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).5d,2[1],3/2,,,L6925,
88.5544,88.55448+,3,,,0.00,112924.84,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).6s,2[2],3/2,,,L6925,
88.7280,88.72828+,8,,,0.00,112703.64,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[2],5/2,,,L6925,
89.8255,89.82550+,0,,,0.00,111326.96,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[2],3/2,,,L6925,
91.2716,91.27157+,8,,,0.00,109563.14,5s2.5p5,2P*,3/2,5s2.5p4.(1D<2>).6s,2[2],5/2,,,L6925,
92.5866,92.58635+,5,,,0.00,108007.28,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).5d,2[2],5/2,,,L6925,
92.6741,92.67454+,3,,,0.00,107904.50,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[1],3/2,,,L6925,
93.1260,93.12570+,5,,,0.00,107381.74,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).5d,2[2],3/2,,,L6925,
93.5405,93.54001+,,,,0.00,106906.12,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6s,2[1],1/2,,,L6925,
93.9186,93.91858+,6,,,0.00,106475.21,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[3],5/2,,,L6925,
94.3859,94.38633+,3,,,0.00,105947.55,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[0],1/2,,,L6925,
94.9544,94.95474+,7,,,0.00,105313.33,5s2.5p5,2P*,3/2,5s2.5p4.(3P<2>).5d,2[1],3/2,,,L6925,
95.9230,95.92321+,7,,,0.00,104250.06,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).5d,2[1],1/2,,,L6925,
97.2769,97.27714+,6,,,0.00,102799.07,5s2.5p5,2P*,3/2,5s2.5p4.(3P<1>).6s,2[1],3/2,,,L6925,
97.6678,97.66786+,5,,,10537.01,112924.84,5s2.5p5,2P*,1/2,5s2.5p4.(1D<2>).6s,2[2],3/2,,,L6925,
98.8555,98.85576+,8,,,0.00,101157.48,5s2.5p5,2P*,3/2,5s2.5p4.(3P<0>).6s,2[0],1/2,,,L6925,
99.2165,99.21624+,6,,,10537.01,111326.96,5s2.5p5,2P*,1/2,5s2.5p4.(3P<1>).5d,2[2],3/2,,,L6925,
