Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f.5d.6s2,1G*,4,9,,0.000,,,0.94543,  55                  :    29                             3H*                ,L3974
4f.5d.6s2,3F*,2,5,,228.849,,,0.76515,  66                  :    24                             1D*                ,
4f.5d.6s2,3F*,3,7,,1663.120,,,1.07736,  85                  :     7  4f.(2F*) 5d2.(1D).6s (2D)  3F*                ,
4f.5d.6s2,3F*,4,9,,3100.151,o,,1.07703,  34                  :    27  4f.(2F*) 5d2.(3F).6s (4F)  5I*                ,
4f.5d.6s2,3H*,4,9,,1279.424,,,0.88979,  54                  :    20                             1G*                ,
4f.5d.6s2,3H*,5,11,,2208.657,,,1.03212,  80                  :    12  4f.(2F*) 5d2.(1D).6s (2D)  3H*                ,
4f.5d.6s2,3H*,6,13,,3976.104,,,1.16032,  78                  :    13  4f.(2F*) 5d2.(1D).6s (2D)  3H*                ,
4f.5d.6s2,3G*,3,7,,1388.941,,,0.73494,  66                  :    11  4f.(2F*) 5d2.(1D).6s (2D)  3G*                ,
4f.5d.6s2,3G*,5,11,,4199.367,,,1.15021,  48                  :    34  4f.(2F*) 5d2.(3F).6s (4F)  5H*                ,
4f.(2F*) .5d2.(3F).6s (4F),5H*,3,7,,2369.068,,,0.59978,  66                  :    16  4f.5d.6s2                  3G*                ,
4f.(2F*) .5d2.(3F).6s (4F),5H*,4,9,,2437.629,,,0.98592,  38                  :    25                             (2F*) (3F)(4F) 3G* ,
4f.(2F*) .5d2.(3F).6s (4F),5H*,6,13,,4746.627,,,1.16593,  67                  :    24                             (2F*) (3F)(4F) 5I* ,
4f.(2F*) .5d2.(3F).6s (4F),5H*,7,15,,5802.108,,,1.237,  62                  :    38                             (2F*) (3F)(4F) 5I* ,
4f.5d.6s2,1D*,2,5,,2378.827,,,0.93654,  54                  :    23                             3F*                ,
4f.(2F*) .5d2.(3F).6s (4F),5I*,4,9,,3196.607,,,0.66612,  67                  :    11  4f.5d.6s2                  3F*                ,
4f.(2F*) .5d2.(3F).6s (4F),5I*,5,11,,3764.008,,,0.90691,  90                  :     3  4f.5d.6s2                  3H*                ,
4f.(2F*) .5d2.(3F).6s (4F),5I*,6,13,,4455.756,,,1.11714,  64                  :    26                             (2F*) (3F)(4F) 5H* ,
4f.(2F*) .5d2.(3F).6s (4F),5I*,7,15,,5315.803,,,1.21625,  56                  :    33                             (2F*) (3F)(4F) 5H* ,
4f.(2F*) .5d2.(3F).6s (4F),5I*,8,17,,6809.128,,,1.250, 100                                                                         ,
4f.(2F*) .5d2.(3F).6s (4F),*,5,11,,3210.583,,,1.16277,  41  3G*             :    37                             (2F*) (3F)(4F) 5H* ,
4f.5d.6s2,*,4,9,,3312.240,o,,1.08582,  29  3F*             :    26                             3G*                ,
4f.5d.6s2,3D*,1,3,,3710.513,,,0.61549,  64                  :    10  4f.(2F*) 5d2.(1D).6s (2D)  3D*                ,
4f.5d.6s2,3D*,2,5,,4766.323,,,1.14945,  67                  :    12  4f.(2F*) 5d2.(1D).6s (2D)  3D*                ,
4f.5d.6s2,3D*,3,7,,5006.719,,,1.23674,  58                  :    20                             1F*                ,
4f.(2F*) .5d2.(3F).6s (4F),*,0,1,,3974.503,,,,  29  5D*             :    23                             (2F*) (1D)(2D) 3P* ,
4f.(2F*) .5d2.(3F).6s (4F),*,1,3,,4020.954,,,1.49404,  17  3S*             :    15                             (2F*) (1D)(2D) 3P* ,
4f.(2F*) .5d2.(3F).6s (4F),3G*,3,7,,4160.283,,,0.72933,  47                  :    23                             (2F*) (3F)(4F) 5H* ,
4f.(2F*) .5d2.(3F).6s (4F),*,4,9,,4173.494,,,1.02948,  41  3G*             :    30                             (2F*) (3F)(4F) 5H* ,
4f.(2F*) .5d2.(3F).6s (4F),*,5,11,,4417.618,,,1.17790,  29  3G*             :    28  4f.5d.6s2                  3G*                ,
4f2.6s2,3H,4,9,,4762.718,,,0.80508,  89                  :     4  4f.5d.(3G*).6s.6p.(1P*)    3H                 ,
4f2.6s2,3H,5,11,,6238.934,,,1.035,  92                  :     4  4f.5d.(3G*).6s.6p.(1P*)    3H                 ,
4f2.6s2,3H,6,13,,7780.202,,,1.169,  92                  :     4  4f.5d.(3G*).6s.6p.(1P*)    3H                 ,
4f.(2F*) .5d2.(3F).6s (4F),3S*,1,3,,5097.777,,,1.88257,  49                  :    25                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),*,2,5,,5210.906,,,1.22694,  28  5D*             :    27                             (2F*) (3F)(4F) 5G* ,
4f.(2F*) .5d2.(3F).6s (4F),5G*,2,5,,5409.236,,,0.773,  35                  :    24                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),5G*,3,7,,6234.792,,,1.04965,  69                  :    13                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),5G*,4,9,,6856.559,,,1.150,  72                  :     6                             (2F*) (3F)(2F) 1G* ,
4f.(2F*) .5d2.(3F).6s (4F),5G*,5,11,,7467.160,,,1.179,  69                  :     7                             (2F*) (3F)(4F) 3H* ,
4f.(2F*) .5d2.(3F).6s (4F),5G*,6,13,,8055.526,,,1.207,  50                  :    18                             (2F*) (3F)(4F) 3H* ,
4f.(2F*) .5d2.(3F).6s (4F),*,3,7,,5519.751,,,1.24530,  32  5D*             :    21                             (2F*) (3F)(4F) 3F* ,
4f.(2F*) .5d2.(3F).6s (4F),*,0,1,,5571.156,,,,  44  5D*             :    35  4f.5d.6s2                  3P*                ,
4f.(2F*) .5d2.(3F).6s (4F),*,4,9,,5572.074,,,1.31658,  29  5D*             :    27                             (2F*) (3F)(4F) 3F* ,
4f.5d.6s2,*,1,3,,5637.233,,,1.389,  30  3P*             :    26  4f.(2F*) 5d2.(3F).6s (4F)  5D*                ,
4f.(2F*) .5d2.(3F).6s (4F),5F*,1,3,,5674.829,,,0.140,  73                  :     6                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),5F*,2,5,,5904.006,,,0.905,  66                  :    13                             (2F*) (3F)(4F) 5G* ,
4f.(2F*) .5d2.(3F).6s (4F),5F*,3,7,,6337.061,,,1.232,  42                  :    16                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),5F*,4,9,,7174.156,,,1.373,  67                  :    19                             (2F*) (3F)(4F) 5D* ,
4f.(2F*) .5d2.(3F).6s (4F),5F*,5,11,,7933.558,,,1.345,  81                  :     5                             (2F*) (3P)(4P) 5F* ,
4f.5d.6s2,*,2,5,,6303.984,,,1.419,  36  3P*             :    16  4f.(2F*) 5d2.(1D).6s (2D)  3P*                ,
4f.(2F*) .5d2.(3F).6s (2F),*,4,9,,6475.540,,,0.897,  43  3H*             :    17                             (2F*)(3F)(2F) 1G*  ,
4f.5d.6s2,*,3,7,,6621.892,,,1.147,  35  1F*             :    17                             3D*                ,
4f.(2F*) .5d2.(3F).6s (4F),*,5,11,,6663.226,,,0.953,  19  3I*             :    18                             (2F*)(3F)(2F) 3I*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,2,5,,6836.628,,,0.68078,  33  3F*             :    18                             (2F*)(3F)(4F) 5G*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,3,7,,7169.751,,,1.13,  28  3F*             :    26                             (2F*)(3F)(4F) 5F*  ,
4f.(2F*) .5d2.(3F).6s (2F),*,4,9,,7348.299,,,0.964,  22  1G*             :    21                             (2F*)(3F)(4F) 3H*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,6,13,,7696.210,,,1.076,  39  3I*             :    19                             (2F*)(1G)(2G) 3I*  ,
