Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3s2.3p5,2P*,3/2,4,,0.0000,,,1.333925,  95                      :     1  3s.3p5.(1P*).nd    2P*  ,L298
3s2.3p5,2P*,1/2,2,,882.3515,,,0.665662,  95                      :     1  3s.3p5.(1P*).nd    2P*  ,
3s2.3p4.(3P).4s,4P,5/2,6,,71958.363,,,1.599, 100                                                       ,
3s2.3p4.(3P).4s,4P,3/2,4,,72488.568,,,1.722,  98                      :     2  3s2.3p4.(3P).4s    2P   ,
3s2.3p4.(3P).4s,4P,1/2,2,,72827.038,,,2.652,  99                      :     1  3s2.3p4.(3P).4s    2P   ,
3s2.3p4.(3P).4s,2P,3/2,4,,74225.846,,,1.340,  98                      :     2  3s2.3p4.(3P).4s    4P   ,
3s2.3p4.(3P).4s,2P,1/2,2,,74865.667,,,0.663,  99                      :     1  3s2.3p4.(3P).4s    4P   ,
3s2.3p4.(3P).4p,4P*,5/2,6,,82918.893,,,1.591,  96                      :     4  3s2.3p4.(3P).4p    4D*  ,
3s2.3p4.(3P).4p,4P*,3/2,4,,83130.900,,,1.723,  94                      :     3  3s2.3p4.(3P).4p    4D*  ,
3s2.3p4.(3P).4p,4P*,1/2,2,,83364.927,,,2.617,  97                      :     1  3s2.3p4.(3P).4p    4D*  ,
3s2.3p4.(3P).4p,4D*,7/2,8,,83894.037,,,1.422, 100                                                       ,
3s2.3p4.(3P).4p,4D*,5/2,6,,84132.262,,,1.308,  66                      :    32  3s2.3p4.(3P).4p    2D*  ,
3s2.3p4.(3P).4p,4D*,3/2,4,,84485.309,,,1.163,  82                      :    11  3s2.3p4.(3P).4p    2D*  ,
3s2.3p4.(3P).4p,4D*,1/2,2,,84688.637,,,0.059,  96                      :     2  3s2.3p4.(3P).4p    2P*  ,
3s2.3p4.(1D).4s,2D,5/2,6,,84120.263,,,, 100                                                       ,
3s2.3p4.(1D).4s,2D,3/2,4,,84121.872,,,, 100                                                       ,
3s2.3p4.(3P).4p,2D*,5/2,6,,84648.100,,,1.269,  68                      :    30  3s2.3p4.(3P).4p    4D*  ,
3s2.3p4.(3P).4p,2D*,3/2,4,,84988.480,,,0.986,  57                      :    27  3s2.3p4.(3P).4p    2P*  ,
3s2.3p4.(3P).4p,2P*,1/2,2,,85244.330,,,1.280,  60                      :    34  3s2.3p4.(3P).4p    2S*  ,
3s2.3p4.(3P).4p,2P*,3/2,4,,85442.430,,,1.327,  59                      :    31  3s2.3p4.(3P).4p    2D*  ,
,z 2S,1/2,2,,85678.94,,,,  49  3s.3p6              :    25  3s2.3p4.(1D).nd    2S   ,
3s2.3p4.(3P).4p,4S*,3/2,4,,85735.091,,,1.877,  88                      :     7  3s2.3p4.(3P).4p    2P*  ,
3s2.3p4.(3P).4p,2S*,1/2,2,,85917.937,,,1.379,  65                      :    34  3s2.3p4.(3P).4p    2P*  ,
