Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d7.4s2,a 4F,9/2,10,,0.00,,,1.33289,                                                      ,L7185
3p6.3d7.4s2,a 4F,7/2,8,,816.00,,,1.23778,                                                      ,
3p6.3d7.4s2,a 4F,5/2,6,,1406.84,,,1.02826,                                                      ,
3p6.3d7.4s2,a 4F,3/2,4,,1809.33,,,0.39940,                                                      ,
3p6.3d8.(3F).4s,b 4F,9/2,10,,3482.82,,,1.33343, 100                                                  ,
3p6.3d8.(3F).4s,b 4F,7/2,8,,4142.66,,,1.23661,  98                                                  ,
3p6.3d8.(3F).4s,b 4F,5/2,6,,4690.18,,,1.02709, 100                                                  ,
3p6.3d8.(3F).4s,b 4F,3/2,4,,5075.83,,,0.404, 100                                                  ,
3p6.3d8.(3F).4s,a 2F,7/2,8,,7442.41,,,1.147,  98                                                  ,
3p6.3d8.(3F).4s,a 2F,5/2,6,,8460.81,,,0.862, 100                                                  ,
3p6.3d7.4s2,a 4P,5/2,6,,13795.52,,,1.604,                                                      ,
3p6.3d7.4s2,a 4P,3/2,4,,14036.28,,,1.722,                                                      ,
3p6.3d7.4s2,a 4P,1/2,2,,14399.28,,,2.651,                                                      ,
3p6.3d8.(3P).4s,b 4P,5/2,6,,15184.04,,,1.515,  84             :    16  3d8.(1D).4s            2D   ,
3p6.3d8.(3P).4s,b 4P,3/2,4,,15774.04,,,1.476,  98                                                  ,
3p6.3d8.(3P).4s,b 4P,1/2,2,,16195.68,,,2.682, 100                                                  ,
3p6.3d7.4s2,a 2G,9/2,10,,16467.90,,,1.109,                                                      ,
3p6.3d7.4s2,a 2G,7/2,8,,17233.68,,,0.883,                                                      ,
3p6.3d8.(1D).4s,a 2D,3/2,4,,16470.60,,,1.101,  96                                                  ,
3p6.3d8.(1D).4s,a 2D,5/2,6,,16778.16,,,1.296,  83             :    16  3d8.(3P).4s            4P   ,
3p6.3d8.(3P).4s,a 2P,3/2,4,,18389.57,,,1.300,  98                                                  ,
3p6.3d8.(3P).4s,a 2P,1/2,2,,18775.01,,,0.695, 100                                                  ,
3p6.3d7.4s2,b 2P,3/2,4,,20500.71,,,1.284,                                                      ,
3p6.3d7.4s2,b 2P,1/2,2,,21215.90,,,0.680,                                                      ,
3p6.3d7.4s2,a 2H,11/2,12,,21780.47,,,1.100,                                                      ,
3p6.3d7.4s2,a 2H,9/2,10,,22475.36,,,0.921,                                                      ,
3p6.3d7.4s2,b 2D,5/2,6,,21920.09,,,1.180,                                                      ,
3p6.3d7.4s2,b 2D,3/2,4,,23152.57,,,0.955,                                                      ,
3p6.3d8.(1G).4s,b 2G,9/2,10,,23184.23,,,1.098, 100                                                  ,
3p6.3d8.(1G).4s,b 2G,7/2,8,,23207.76,,,0.883, 100                                                  ,
3p6.3d7.(4F).4s.4p.(3P*),z 6F*,11/2,12,,23611.78,,,1.466,  97                                                  ,
3p6.3d7.(4F).4s.4p.(3P*),z 6F*,9/2,10,,23855.62,,,1.481,  78             :    18  3d7.(4F).4s.4p.(3P*)   6D*  ,
3p6.3d7.(4F).4s.4p.(3P*),z 6F*,7/2,8,,24326.11,,,1.436,  84             :    12  3d7.(4F).4s.4p.(3P*)   6D*  ,
3p6.3d7.(4F).4s.4p.(3P*),z 6F*,5/2,6,,24733.28,,,1.336,  90             :     7  3d7.(4F).4s.4p.(3P*)   6D*  ,
3p6.3d7.(4F).4s.4p.(3P*),z 6F*,3/2,4,,25041.16,,,1.118,  95                                                  ,
