Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d10.4s,2S,1/2,2,,0.000,,0,2.00,                                                    ,L10559
3d9.4s2,2D,5/2,6,,11202.618,,0.022,1.23,                                                    ,L10559c152
3d9.4s2,2D,3/2,4,,13245.443,,0.019,0.80,                                                    ,L10559c152
3d10.4p,2P*,1/2,2,,30535.324,,0.019,0.68,  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ,L10559c152
3d10.4p,2P*,3/2,4,,30783.697,,0.018,1.33,  96             :     4  3d9.(2D).4s.4p.(1P*) 2P*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4P*,5/2,6,,39018.69,,0.03,1.600,  98                                                ,L10559c152
3d9.(2D).4s.4p.(3P*),4P*,3/2,4,,40114.01,,0.03,1.75,  96                                                ,L10559c152
3d9.(2D).4s.4p.(3P*),4P*,1/2,2,,40943.78,,0.03,2.62,  97                                                ,L10559c152
3d9.(2D).4s.4p.(3P*),4F*,9/2,10,,40909.16,,0.05,1.3340, 100                                                ,L10559c152
3d9.(2D).4s.4p.(3P*),4F*,7/2,8,,41153.47,,0.03,1.26,  89             :     8  3d9.(2D).4s.4p.(3P*) 2F*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4F*,5/2,6,,41562.93,,0.03,,  81             :    16  3d9.(2D).4s.4p.(3P*) 2F*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4F*,3/2,4,,42302.58,,0.03,0.44,  95                                                ,L10559c152
3d10.5s,2S,1/2,2,,43137.229,,0.017,,                                                    ,L18473c152
3d9.(2D).4s.4p.(3P*),4D*,7/2,8,,43514.01,,0.03,1.45,  87             :    11  3d9.(2D).4s.4p.(3P*) 2F*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4D*,5/2,6,,44406.32,,0.03,1.43,  43             :    33  3d9.(2D).4s.4p.(3P*) 2F*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4D*,3/2,4,,44544.16,,0.03,1.09,  65             :    26  3d9.(2D).4s.4p.(3P*) 2D*  ,L10559c152
3d9.(2D).4s.4p.(3P*),4D*,1/2,2,,44915.68,,0.04,0.00,  64             :    33  3d9.(2D).4s.4p.(3P*) 2P*  ,L10559c152
3d9.(2D).4s.4p.(3P*),2F*,5/2,6,,43726.24,,0.03,,  51             :    38  3d9.(2D).4s.4p.(3P*) 4D*  ,L10559c152
3d9.(2D).4s.4p.(3P*),2F*,7/2,8,,44963.26,,0.03,1.22,  78             :    11  3d9.(2D).4s.4p.(3P*) 4F*  ,L10559c152
3d9.(2D).4s.4p.(3P*),2P*,1/2,2,,45820.94,,0.03,,  65             :    33  3d9.(2D).4s.4p.(3P*) 4D*  ,L10559c152
3d9.(2D).4s.4p.(3P*),2P*,3/2,4,,45879.32,,0.03,1.22,  55             :    35  3d9.(2D).4s.4p.(3P*) 2D*  ,L10559c152
3d9.(2D).4s.4p.(3P*),*,3/2,4,,46172.89,,0.03,0.69,  40  2P*        :    36  3d9.(2D).4s.4p.(3P*) 2D*  ,L10559c152
3d9.(2D).4s.4p.(3P*),2D*,5/2,6,,46598.35,,0.03,1.22,  83             :    15  3d9.(2D).4s.4p.(3P*) 4D*  ,L10559c152
3d10.5p,2P*,3/2,4,,49382.945,,0.017,,                                                    ,L18473c152
3d10.5p,2P*,1/2,2,,49383.264,,0.007,,                                                    ,L18473c152
3d10.4d,2D,3/2,4,,49935.195,,0.013,0.82,                                                    ,"L18473c152,L10559"
3d10.4d,2D,5/2,6,,49942.051,,0.013,1.19,                                                    ,"L18473c152,L10559"
3d10.6s,2S,1/2,2,,52848.751,,0.003,1.99,                                                    ,"L18473c152,L10559"
3d10.6p,2P*,3/2,4,,54784.065,,0.005,,                                                    ,L18473c152
3d10.6p,2P*,1/2,2,,55027.762,,0.007,,                                                    ,L18473c152
3d10.5d,2D,3/2,4,,55387.667,,0.005,0.77,                                                    ,"L18473c152,L10559"
3d10.5d,2D,5/2,6,,55391.297,,0.005,1.22,                                                    ,"L18473c152,L10559"
3d10.4f,2F*,7/2,8,,55426.3543,,0.013,,                                                    ,L18473c152
3d10.4f,2F*,5/2,6,,55429.3199,,0.013,,                                                    ,L18473c152
3d9.(2D).4s.4p.(1P*),2F*,7/2,8,,56029.89,,0.07,,  94             :     2  3d8.(3F).4s2.4p      2F*  ,L10559c152
3d9.(2D).4s.4p.(1P*),2F*,5/2,6,,58119.37,,0.07,,  80             :    14  3d9.(2D).4s.4p.(1P*) 2D*  ,L10559c152
3d9.(2D).4s.4p.(1P*),2P*,3/2,4,,56343.62,,0.05,,  92             :     4  3d8.(3P).4s2.4p      2P*  ,L10559c152
3d9.(2D).4s.4p.(1P*),2P*,1/2,2,,58364.66,,0.07,,  96             :     4  3d8.(3P).4s2.4p      2P*  ,L10559c152
3d9.(2D).4s.4p.(1P*),2D*,5/2,6,,56651.41,,0.04,1.17,  75             :    15  3d9.(2D).4s.4p.(1P*) 2F*  ,L10559c152
3d9.(2D).4s.4p.(1P*),2D*,3/2,4,,58690.91,,0.05,,  87             :     6  3d8.(3F).4s2.4p      2D*  ,L10559c152
3d10.7s,2S,1/2,2,,56671.377,,0.013,,                                                    ,L18473c152
3d10.7p,2P*,1/2,2,,57419.24,,0.05,,                                                    ,L10559c152
3d10.7p,2P*,3/2,4,,57948.568,,0.017,,                                                    ,L18473c152
3d10.6d,2D,3/2,4,,57892.995,,0.008,,                                                    ,L18473c152
3d10.6d,2D,5/2,6,,57895.024,,0.010,,                                                    ,L18473c152
3d10.5f,2F*,5/2,6,,57905.117,,0.006,,                                                    ,L18473c152
3d10.5f,2F*,7/2,8,,57912.353,,0.006,,                                                    ,L18473c152
3d10.5g,2G,9/2,10,,57924.129,,0.013,,                                                    ,L18473c152
3d10.5g,2G,7/2,8,,57924.129,,0.013,,                                                    ,L18473c152
3d10.8s,2S,1/2,2,,58568.90,,0.11,,                                                    ,L10559c152
3d10.7d,2D,3/2,4,,59249.33,,0.021,,                                                    ,L18473c152
3d10.7d,2D,5/2,6,,59250.561,,0.018,,                                                    ,L18473c152
3d10.6f,2F*,7/2,8,,59259.363,,0.021,,                                                    ,L18473c152
3d10.6f,2F*,5/2,6,,59259.870,,0.020,,                                                    ,L18473c152
3d10.6g,2G,9/2,10,,59266.713,,0.012,,                                                    ,L18473c152
3d10.6g,2G,7/2,8,,59266.713,,0.012,,                                                    ,L18473c152
3d10.6h,2H*,"9/2,11/2",22,,59268.420,,0.015,,                                                    ,L18473c152
3d10.8p,2P*,3/2,4,,59274.99,,0.05,,                                                    ,L10559c152
3d10.8p,2P*,1/2,2,,59322.72,,0.06,,                                                    ,L10559c152
3d10.9s,2S,1/2,2,,59647.87,,0.12,,                                                    ,L10559c152
3d10.8d,2D,3/2,4,,60065.51,,0.15,,                                                    ,L10559
3d10.8d,2D,5/2,6,,60066.38,,0.13,,                                                    ,L10559c152
3d10.9p,2P*,3/2,4,,60070.17,,0.05,,                                                    ,L10559c152
3d10.9p,2P*,1/2,2,,60084.83,,0.06,,                                                    ,L10559c152
3d10.7f,2F*,7/2,8,,60071.476,,0.010,,                                                    ,L18473c152
3d10.7f,2F*,5/2,6,,60071.634,,0.014,,                                                    ,L18473c152
3d10.7g,2G,9/2,10,,60076.254,,0.016,,                                                    ,L18473c152
3d10.7g,2G,7/2,8,,60076.254,,0.016,,                                                    ,L18473c152
3d10.7h,2H*,"9/2,11/2",22,,60077.36,,0.03,,                                                    ,L18473c152
3d10.8f,2F*,5/2,6,,60593.77,,0.05,,                                                    ,L10559c152
3d10.9d,2D,3/2,4,,60594.52,,0.15,,                                                    ,L10559c152
3d10.9d,2D,5/2,6,,60595.02,,0.08,,                                                    ,L10559c152
3d10.10p,2P*,3/2,4,,60595.10,,0.04,,                                                    ,L10559c152
3d10.10p,2P*,1/2,2,,60601.19,,0.06,,                                                    ,L10559c152
3d10.11p,2P*,3/2,4,,60956.32,,0.04,,                                                    ,L10559c152
3d10.11p,2P*,1/2,2,,60959.37,,0.06,,                                                    ,L10559c152
3d10.10d,2D,3/2,4,,60956.91,,0.16,,                                                    ,L10559c152
3d10.10d,2D,5/2,6,,60957.32,,0.19,,                                                    ,L10559c152
3d10.12p,2P*,3/2,4,,61215.13,,0.08,,                                                    ,L10559
3d10.12p,2P*,1/2,2,,61216.86,,0.06,,                                                    ,L10559c152
3d10.11d,2D,5/2,6,,61216.2,,0.3,,                                                    ,L10559c152
3d10.13p,2P*,3/2,4,,61406.75,,0.07,,                                                    ,L10559
3d10.13p,2P*,1/2,2,,61407.49,,0.08,,                                                    ,L10559c152
3d10.14p,2P*,3/2,4,,61552.44,,0.13,,                                                    ,L10559c152
3d10.14p,2P*,1/2,2,,61552.70,,0.20,,                                                    ,L10559c152
3d10.15p,2P*,3/2,4,,61665.86,,0.19,,                                                    ,L10559c152
3d10.15p,2P*,1/2,2,,61665.90,,0.21,,                                                    ,L10559c152
3d10.16p,2P*,3/2,4,,61755.71,,0.19,,                                                    ,L10559c152
3d10.16p,2P*,1/2,2,,61755.76,,0.21,,                                                    ,L10559c152
3d10.17p,2P*,"1/2,3/2",6,,61828.24,,0.08,,                                                    ,L10559
3d10.18p,2P*,"1/2,3/2",6,,61887.55,,0.08,,                                                    ,L10559
3d10.19p,2P*,"1/2,3/2",6,,61936.69,,0.08,,                                                    ,L10559
3d10.20s,2S,1/2,2,,61955.7,,0.3,,                                                    ,L10559c152
3d10.20p,2P*,"1/2,3/2",6,,61977.88,,0.08,,                                                    ,L10559c152
3d10.21s,2S,1/2,2,,61993.8,,0.3,,                                                    ,L10559c152
3d10.21p,2P*,"1/2,3/2",6,,62012.70,,0.08,,                                                    ,L10559c152
3d10.22s,2S,1/2,2,,62026.1,,0.3,,                                                    ,L10559c152
3d10.22p,2P*,"1/2,3/2",6,,62042.44,,0.08,,                                                    ,L10559c152
3d10.23s,2S,1/2,2,,62054.0,,0.3,,                                                    ,L10559c152
3d10.23p,2P*,"1/2,3/2",6,,62068.01,,0.08,,                                                    ,L10559c152
3d10.24s,2S,1/2,2,,62077.95,,0.16,,                                                    ,L10559
3d10.24p,2P*,"1/2,3/2",6,,62090.17,,0.08,,                                                    ,L10559c152
3d10.25s,2S,1/2,2,,62098.9,,0.3,,                                                    ,L10559c152
3d10.25p,2P*,"1/2,3/2",6,,62109.53,,0.08,,                                                    ,L10559
3d10.26s,2S,1/2,2,,62117.36,,0.08,,                                                    ,L10559c152
3d10.26p,2P*,"1/2,3/2",6,,62126.50,,0.08,,                                                    ,L10559c152
3d10.27s,2S,1/2,2,,62133.1,,0.3,,                                                    ,L10559c152
3d10.27p,2P*,"1/2,3/2",6,,62141.44,,0.08,,                                                    ,L10559c152
3d10.28s,2S,1/2,2,,62147.43,,0.08,,                                                    ,L10559c152
3d10.28p,2P*,"1/2,3/2",6,,62154.77,,0.08,,                                                    ,L10559c152
3d10.29s,2S,1/2,2,,62159.95,,0.08,,                                                    ,L10559
3d10.29p,2P*,"1/2,3/2",6,,62166.63,,0.08,,                                                    ,L10559c152
3d10.30s,2S,1/2,2,,62171.39,,0.08,,                                                    ,L10559
3d10.30p,2P*,"1/2,3/2",6,,62177.22,,0.08,,                                                    ,L10559c152
