Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f7.(8S*).5d.6s2,9D*,2,5,,0.000,,,2.6514,  95                                                                           ,L3974
4f7.(8S*).5d.6s2,9D*,3,7,,215.124,,,2.0708,  94                                                                           ,
4f7.(8S*).5d.6s2,9D*,4,9,,532.977,,,1.8392,  93                                                                           ,
4f7.(8S*).5d.6s2,9D*,5,11,,999.121,,,1.720,  92                                                                           ,
4f7.(8S*).5d.6s2,9D*,6,13,,1719.087,,,1.660,  95                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,2,5,,6378.146,,,2.980,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,3,7,,6550.395,,,2.237,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,4,9,,6786.184,,,1.935,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,5,11,,7103.420,,,1.781,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,6,13,,7480.348,,,1.72,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,7,15,,7947.294,,,1.695,  98                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,11F*,8,17,,8498.434,,,1.62,  99                                                                           ,
4f7.(8S*).5d.6s2,7D*,5,11,,6976.508,,,1.600,  90                                                                           ,
4f7.(8S*).5d.6s2,7D*,4,9,,7234.910,,,1.65,  90                                                                           ,
4f7.(8S*).5d.6s2,7D*,3,7,,7426.710,,,1.744,  90                                                                           ,
4f7.(8S*).5d.6s2,7D*,2,5,,7562.457,,,1.995:,  91                                                                           ,
4f7.(8S*).5d.6s2,7D*,1,3,,7653.927,,,2.979:,  91                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,1,3,,10222.233,,,3.466,  79                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,2,5,,10359.905,,,2.144,  78                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,3,7,,10576.410,,,1.814,  77                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,4,9,,10883.505,,,1.684,  75                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,5,11,,11296.465,,,1.619,  74                                                                           ,
4f7.(8S*).5d2.(3F) (10F*).6s,9F*,6,13,,11830.393,,,1.58,  70                                                                           ,
