Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d10.6s2,1S,0,1,,0.000,,0.006,,L9019
5d10.6s.6p,3P*,0,1,,37644.982,,0.009,,
5d10.6s.6p,3P*,1,3,,39412.237,,0.007,1.486094,
5d10.6s.6p,3P*,2,5,,44042.909,,0.007,1.50100,
5d10.6s.6p,1P*,1,3,,54068.6829,,0.005,1.01453,
5d10.6s.7s,3S,1,3,,62350.325,,0.007,2.00285,
5d10.6s.7s,1S,0,1,,63928.120,,0.008,,
5d9.6s2.(2D<5/2>).6p,2[3/2]*,2,5,,68886.43,,0.05,,
5d9.6s2.(2D<5/2>).6p,2[3/2]*,1,3,,78813.02,,0.16,1.2103,
5d10.6s.7p,3P*,0,1,,69516.576,,0.013,,
5d10.6s.7p,3P*,1,3,,69661.803,,0.020,,
5d10.6s.7p,3P*,2,5,,71207.296,,0.011,,
5d9.6s2.(2D<5/2>).6p,2[7/2]*,3,7,,70932.2,,0.2,1.0867,
5d9.6s2.(2D<5/2>).6p,2[7/2]*,4,9,,76945.27,,0.06,,
5d10.6s.7p,1P*,1,3,,71294.86,,0.05,,
5d10.6s.6d,1D,2,5,,71333.053,,0.006,1.05803,
5d10.6s.6d,3D,1,3,,71336.005,,0.009,0.49864,
5d10.6s.6d,3D,2,5,,71396.073,,0.006,1.10908,
5d10.6s.6d,3D,3,7,,71431.180,,0.010,1.33430,
5d10.6s.8s,3S,1,3,,73961.135,,0.009,2.00375,
5d10.6s.8s,1S,0,1,,74404.56,,0.04,,
5d10.6s.8p,3P*,0,1,,76447.112,,0.012,,
5d10.6s.8p,3P*,1,3,,76466.936,,0.012,1.4946,
5d10.6s.8p,3P*,2,5,,76823.43,,0.09,1.4825,
5d10.6s.8p,1P*,1,3,,76863.137,,0.010,,
5d10.6s.7d,1D,2,5,,77063.970,,0.007,1.0219,
5d10.6s.7d,3D,1,3,,77084.42,,0.02,0.4996,
5d10.6s.7d,3D,2,5,,77107.807,,0.007,1.1465,
5d10.6s.7d,3D,3,7,,77129.372,,0.013,1.3306,
5d10.6s.5f,3F*,2,5,,77236.86,,0.08,,
5d10.6s.5f,3F*,3,7,,77239.06,,0.05,,
5d10.6s.5f,3F*,4,9,,77286.86,,0.07,,
