Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f11.6s2,4I*,15/2,16,,0.00,,,1.19514,  97             :     3                   2K*                  ,L3974
4f11.6s2,4I*,13/2,14,,5419.70,,,,  99             :     1                   2K*                  ,L3974
4f11.6s2,4I*,11/2,12,,8605.16,,,1.012,  86             :    12                   2H2*                 ,L3974
4f11.6s2,4I*,9/2,10,,10695.75,,,0.866,  61             :    16                   2H2*                 ,L3974
4f10.(5I<8>).5d<3/2>.6s2,"(8,3/2)",17/2,18,,8378.91,,,,             or  :    73                   (5I) 6I              ,L3974
4f10.(5I<8>).5d<3/2>.6s2,"(8,3/2)",15/2,16,,8427.11,,,,             or  :    53                   (5I) 6H              ,L3974
4f10.(5I<8>).5d<3/2>.6s2,"(8,3/2)",13/2,14,,9147.08,,,,             or  :    67                   (5I) 6G              ,L3974
4f10.(5I<8>).5d<3/2>.6s2,"(8,3/2)",19/2,20,,9741.50,,,,             or  :    66                   (5I) 6K              ,L3974
4f10.(5I<8>).5d<5/2>.6s2,"(8,5/2)",21/2,22,,11322.31,,,,             or  :    93                   (5I) 6L              ,L3974
4f10.(5I<8>).5d<5/2>.6s2,"(8,5/2)",17/2,18,,11530.56,,,,             or  :    52                   (5I) 4K              ,L3974
4f10.(5I<8>).5d<5/2>.6s2,"(8,5/2)",19/2,20,,11689.77,,,,             or  :    56                   (5I) 4L              ,L3974
4f10.(5I<8>).5d<5/2>.6s2,"(8,5/2)",15/2,16,,12339.04,,,,             or  :    35                   (5I) 6H              ,L3974
4f10.(5I<8>).5d<5/2>.6s2,"(8,5/2)",11/2,12,,16937.43,,,,             or  :    49                   (5I) 4G              ,L3974
4f10.(5I<7>).5d<3/2>.6s2,"(7,3/2)",13/2,14,,12344.55,,,,             or  :    27                   (5I) 6I              ,L3974
4f10.(5I<7>).5d<3/2>.6s2,"(7,3/2)",11/2,12,,13082.93,,,,             or  :    51                   (5I) 6G              ,L3974
4f10.(5I<7>).5d<3/2>.6s2,"(7,3/2)",17/2,18,,15130.31,,,,             or  :    33                   (5I) 6L              ,L3974
4f10.(5I<7>).5d<3/2>.6s2,"(7,3/2)",15/2,16,,15136.06,,,,             or  :    53                   (5I) 4I              ,L3974
4f11.6s2,4F*,9/2,10,,13094.42,,,,                                                                ,L11686
4f10.(5I).5d.6s2,,13/2,14,,15081.12,,,,                 :    46                   (5I) 4H              ,L3974
4f10.(5I).5d.6s2,,11/2,12,,15792.13,,,,                 :    36                   (5I) 6I              ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<0>),"(15/2,0)",15/2,16,,15855.28,,,,             or  :    38                   (4I*)(3P*) 6H        ,L3974
4f10.5d.6s2,,15/2,16,,16154.21,,,,  62             :    38  4f11.6s.6p                            ,L3974
4f10.(5I<7>).5d<5/2>.6s2,"(7,5/2)",17/2,18,,16438.01,,,,             or  :    38                   (5I) 6K              ,L3974
4f10.(5I<7>).5d<5/2>.6s2,"(7,5/2)",19/2,20,,16683.52,,,,             or  :    69                   (5I) 6L              ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",17/2,18,,16709.82,,,,             or  :    42                   (4I*)(3P*) 6I        ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",15/2,16,,16882.28,,,,             or  :    33                   (4I*)(3P*) 2K        ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<1>),"(15/2,1)",13/2,14,,17059.35,,,,                 :    30  4f10.5d.6s2                           ,L3974
4f10.(5I<6>).5d<3/2>.6s2,"(6,3/2)",9/2,10,,16719.62,,,,             or  :    41                   (5I) 6G              ,L3974
4f10.(5I<6>).5d<3/2>.6s2,"(6,3/2)",13/2,14,,18564.90,,,,             or  :    44                   (5I) 6K              ,L3974
4f10.(5I<6>).5d<3/2>.6s2,"(6,3/2)",15/2,16,,18756.22,,,1.03,             or  :    55                   (5I) 6L              ,L3974
4f10.5d.6s2,,13/2,14,,16735.95,,,,  70             :    30  4f11.6s.6p                            ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",19/2,20,,17883.57,,,,             or  :    97                   (4I*)(3P*) 6K        ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",17/2,18,,18337.80,,,,             or  :    50                   (4I*)(3P*) 6I        ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",15/2,16,,18651.53,,,,                                                                ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",11/2,12,,18821.25,,,,             or  :    41                   (4I*)(3P*) 2H        ,L3974
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",13/2,14,,18858.19,,,,             or  :    37                   (4I*)(3P*) 2I        ,L3974
4f10.5d.6s2,,11/2,12,,18491.21,,,,  85             :    15  4f11.6s.6p                            ,L3974
4f10.(5I<8>).6s2.6p<1/2>,"(8,1/2)*",15/2,16,,18572.28,,,,             or  :    57                   (5I) 6H*             ,L3974
4f10.(5I<8>).6s2.6p<1/2>,"(8,1/2)*",17/2,18,,18737.79,,,,             or  :    42                   (5I) 6I*             ,L3974
4f10.(5I).5d.6s2,,9/2,10,,18757.87,,,,                 :    47                   (5I) 6I              ,L3974
4f11.(4I*).5d.6s.(3D),6G*,13/2,14,,18867.40,,,,  82             :    13                   (4I*)(3D) 6H*        ,L3974
4f11.(4I*).5d.6s.(3D),6H*,15/2,16,,19276.94,,,,  82             :    11                   (4I*)(3D) 6I*        ,L3974
4f11.(4I*).5d.6s.(3D),*,11/2,12,,20060.76,,,,  37  4G*        :    30                   (4I*)(3D) 6G*        ,L3974
4f10.(5I<6>).5d<5/2>.6s2,"(6,5/2)",15/2,16,,20074.89,,,,             or  :    35                   (5I) 6K              ,L3974
