Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p5,2P*,3/2,4,,0.000,,0.011,,"L13998,L22518"
5s2.5p5,2P*,1/2,2,,7602.9762,,0.0005,0.673,L22426
5s2.5p4.(3P<2>).6s,2[2],5/2,6,,54633.291,,0.000,1.576,L3674
5s2.5p4.(3P<2>).6s,2[2],3/2,4,,56092.712,,0.005,1.385,L3674
5s2.5p4.(3P<0>).6s,2[0],1/2,2,,60896.074,,0.005,2.561,L3674
5s2.5p4.(3P<1>).6s,2[1],3/2,4,,61819.610,,0.005,1.618,L3674
5s2.5p4.(3P<1>).6s,2[1],1/2,2,,63186.589,,0.005,0.799,L3674
5s2.5p4.(3P<2>).6p,2[2]*,5/2,6,,64906.121,,0.005,1.524,L3674
5s2.5p4.(3P<2>).6p,2[2]*,3/2,4,,64989.825,,0.005,1.619,L3674
5s2.5p4.(3P<2>).6p,2[3]*,5/2,6,,65644.307,,0.005,1.217,L3674
5s2.5p4.(3P<2>).6p,2[3]*,7/2,8,,65669.819,,0.005,1.420,"L3674,L22518"
5s2.5p4.(3P<2>).6p,2[1]*,1/2,2,,65856.791,,0.005,1.556,L3674
5s2.5p4.(3P<2>).6p,2[1]*,3/2,4,,67061.961,,0.005,1.415,"L3674,L22518"
5s2.5p4.(3P<2>).5d,2[3],7/2,8,,66014.854,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[3],5/2,6,,66020.300,,0.005,1.258,L3674
5s2.5p4.(3P<2>).5d,2[1],3/2,4,,66354.924,,0.005,0.828,L3674
5s2.5p4.(3P<2>).5d,2[1],1/2,2,,67298.159,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[4],9/2,10,,67726.246,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[4],7/2,8,,68559.371,,0.005,,L3674
5s2.5p4.(1D<2>).6s,2[2],3/2,4,,68549.574,,0.005,,L3674
5s2.5p4.(1D<2>).6s,2[2],5/2,6,,68587.690,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[0],1/2,2,,68615.565,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[2],5/2,6,,70151.032,,0.005,,L3674
5s2.5p4.(3P<2>).5d,2[2],3/2,4,,70354.665,,0.005,,L3674
5s2.5p4.(3P<1>).6p,2[0]*,1/2,2,,71501.311,,0.005,1.239,L3674
5s2.5p4.(3P<0>).6p,2[1]*,1/2,2,,71813.789,,0.005,1.377,L3674
5s2.5p4.(3P<0>).6p,2[1]*,3/2,4,,71976.606,,0.005,1.317,L3674
5s2.5p4.(3P<2>).7s,2[2],5/2,6,,71903.567,,0.005,,L3674
5s2.5p4.(3P<2>).7s,2[2],3/2,4,,72294.712,,0.005,,L3674
5s2.5p4.(3P<1>).6p,2[2]*,5/2,6,,72529.013,,0.005,1.370,L3674
5s2.5p4.(3P<1>).6p,2[2]*,3/2,4,,72806.995,,0.005,1.316,L3674
