Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5s2.5p,2P*,1/2,2,,0.000,,,L4218
5s2.5p,2P*,3/2,4,,2212.599,,0.008,L15947
5s2.6s,2S,1/2,2,,24372.957,,0.006,L15947
5s2.6p,2P*,1/2,2,,31816.982,,0.005,L10358
5s2.6p,2P*,3/2,4,,32115.251,,0.005,L10358
5s2.5d,2D,3/2,4,,32892.230,,0.005,L10358
5s2.5d,2D,5/2,6,,32915.539,,0.005,L10358
5s.5p2,4P,1/2,2,,34977.678,,0.002,L9805
5s.5p2,4P,3/2,4,,36020.780,,0.002,L9805
5s.5p2,4P,5/2,6,,37451.962,,0.002,L9805
5s2.7s,2S,1/2,2,,36301.864,,0.005,L10358
5s2.7p,2P*,1/2,2,,38861.43,,0.03,L4218
5s2.7p,2P*,3/2,4,,38972.90,,0.03,L4218
5s2.6d,2D,3/2,4,,39048.53,,0.03,L4218
5s2.6d,2D,5/2,6,,39098.38,,0.03,L4218
5s2.4f,2F*,5/2,6,,39707.59,,0.03,L4218
5s2.4f,2F*,7/2,8,,39707.59,,0.03,L4218
5s2.8s,2S,1/2,2,,40636.98,,0.03,L10358
5s2.8p,2P*,1/2,2,,41827.10,,0.22,L3466
5s2.8p,2P*,3/2,4,,41881.44,,0.22,L3466
5s2.7d,2D,3/2,4,,41836.41,,0.08,L4218
5s2.7d,2D,5/2,6,,41861.96,,0.08,L4218
5s2.5f,2F*,"5/2,7/2",14,,42220.25,,0.04,L4218
5s2.9s,2S,1/2,2,,42719.02,,0.10,L4218
5s2.8d,2D,3/2,4,,43335.93,,0.04,L4218
5s2.8d,2D,5/2,6,,43355.08,,0.04,L4218
5s2.9p,2P*,1/2,2,,43369.09,,0.22,L3466
5s2.9p,2P*,3/2,4,,43399.53,,0.22,L3466
5s2.6f,2F*,"5/2,7/2",14,,43584.66,,0.03,L4218
5s2.10s,2S,1/2,2,,43881.26,,0.20,L4218
5s2.9d,2D,3/2,4,,44234.70,,0.10,L4218
5s2.9d,2D,5/2,6,,44249.77,,0.05,L4218
5s2.10p,2P*,1/2,2,,44275.17,,0.22,L3466
5s2.10p,2P*,3/2,4,,44294.13,,0.22,L3466
5s2.7f,2F*,7/2,8,,44406.31,,0.03,L4218
5s2.7f,2F*,5/2,6,,44406.31,,0.03,L4218
