Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d.6s2,2D,3/2,4,,0.000,,,0.79755,  85             :    10  5d2.(1D).6s   2D       ,L3974
5d.6s2,2D,5/2,6,,1053.164,,,1.19907,  82             :    13  5d2.(1D).6s   2D       ,
5d2.(3F).6s,4F,3/2,4,,2668.188,,,0.40446,  98             :     1  5d.6s2        2D       ,
5d2.(3F).6s,4F,5/2,6,,3010.002,,,1.02940,  98             :     1  5d.6s2        2D       ,
5d2.(3F).6s,4F,7/2,8,,3494.526,,,1.23742,  99             :     1                (3F) 2F  ,
5d2.(3F).6s,4F,9/2,10,,4121.572,,,1.33278, 100                                             ,
5d2.(3F).6s,2F,5/2,6,,7011.909,,,0.89830,  86             :     5                (1D) 2D  ,
5d2.(3F).6s,2F,7/2,8,,8052.162,,,1.13469,  93             :     4  5d3           2F       ,
5d2.(3P).6s,4P,1/2,2,,7231.407,,,2.65252,  99             :     1                (1S) 2S  ,
5d2.(3P).6s,4P,3/2,4,,7490.521,,,1.70427,  97             :     2                (1D) 2D  ,
5d2.(3P).6s,4P,5/2,6,,7679.939,,,1.50558,  82             :    10                (1D) 2D  ,
5d2.(1D).6s,2D,3/2,4,,8446.044,,,0.93603,  61             :    18                (3P) 2P  ,
5d2.(1D).6s,2D,5/2,6,,9183.797,,,1.25449,  67             :    16                (3P) 4P  ,
5d2.(3P).6s,2P,1/2,2,,9044.214,,,0.690,  72             :    26  5d3           2P       ,
5d2.(3P).6s,2P,3/2,4,,9719.439,,,1.220,  54             :    21  5d3           2P       ,
5d2.(1G).6s,2G,9/2,10,,9919.821,,,1.107,  91             :     8  5d3           2G       ,
5d2.(1G).6s,2G,7/2,8,,9960.904,,,0.892,  88             :     9  5d3           2G       ,
5d3,4F,3/2,4,,12430.609,,,0.411,  98             :     1                2D2      ,
5d3,4F,5/2,6,,12787.404,,,1.026,  99                                             ,
5d3,4F,7/2,8,,13238.323,,,1.228,  99                                             ,
5d3,4F,9/2,10,,13747.276,,,,  97             :     2                2G       ,
5d.6s.(3D).6p,4F*,3/2,4,,13260.38,,,0.52,  71                                             ,
5d.6s.(3D).6p,4F*,5/2,6,,14804.08,,,1.09,  53             :    10  5d2.6p        2G*      ,
5d.6s.(3D).6p,4F*,7/2,8,,15019.51,,,1.237,  89                                             ,
5d.6s.(3D).6p,4F*,9/2,10,,16243.17,,,,  97                                             ,
5d.6s.(3D).6p,*,5/2,6,,13631.04,,,1.096,  43  4F*        :    10  5d2.6p                 ,
5d.6s.(3D).6p,4D*,1/2,2,,14095.69,,,0.357,  49             :    26  6s2.6p        2P*      ,
