Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d5.(6S).5s,a 7S,3,7,,0.000,,,1.992,L10502
4d5.(6S).5s,a 5S,2,5,,10768.332,,,1.980,
4d4.5s2,a 5D,0,1,,10965.947,,,0.000,
4d4.5s2,a 5D,1,3,,11142.784,,,1.490,
4d4.5s2,a 5D,2,5,,11454.362,,,1.498,
4d4.5s2,a 5D,3,7,,11858.498,,,1.488,
4d4.5s2,a 5D,4,9,,12346.280,,,1.483,
4d5.(4G).5s,a 5G,2,5,,16641.081,,,0.331,
4d5.(4G).5s,a 5G,3,7,,16692.905,,,0.918,
4d5.(4G).5s,a 5G,4,9,,16747.720,,,1.141,
4d5.(4G).5s,a 5G,6,13,,16783.856,,,1.318,
4d5.(4G).5s,a 5G,5,11,,16784.522,,,1.284,
4d5.(4P).5s,a 5P,3,7,,18229.152,,,1.636,
4d5.(4P).5s,a 5P,2,5,,18356.491,,,1.789,
4d5.(4P).5s,a 5P,1,3,,18479.582,,,2.424,
4d5.(4D).5s,b 5D,0,1,,19969.847,,,-0.037,
4d5.(4D).5s,b 5D,1,3,,20130.313,,,1.579,
4d5.(4D).5s,b 5D,4,9,,20157.802,,,1.482,
4d5.(4D).5s,b 5D,2,5,,20280.968,,,1.537,
4d5.(4D).5s,b 5D,3,7,,20350.507,,,1.495,
4d4.5s2,a 3P,0,1,,20607.435,,,0.000,
4d4.5s2,a 3P,1,3,,22244.375,,,0.977,
4d4.5s2,a 3P,2,5,,22875.942,,,1.361,
4d5.(4D).5s,a 3D,1,3,,20930.425,,,1.056,
4d5.(4D).5s,a 3D,2,5,,20950.853,,,1.289,
4d5.(4D).5s,a 3D,3,7,,21618.630,,,1.320,
4d5.(4G).5s,a 3G,3,7,,20947.940,,,0.767,
4d5.(4G).5s,a 3G,4,9,,21153.884,,,1.051,
4d5.(4G).5s,a 3G,5,11,,21343.204,,,1.213,
4d4.5s2,a 3F,4,9,,23516.476,,,1.117,
4d4.5s2,a 3F,2,5,,23534.407,,,0.667,
4d4.5s2,a 3F,3,7,,23668.079,,,1.079,
4d4.5s2,a 3H,4,9,,24096.294,,,0.973,
4d4.5s2,a 3H,5,11,,24465.771,,,1.128,
4d4.5s2,a 3H,6,13,,24823.482,,,1.142,
4d4.5s2,a 1S,0,1,,24472.140,,,,
4d6,c 5D,4,9,,25455.636,,,1.458,
4d6,c 5D,3,7,,25707.071,,,1.355,
4d6,c 5D,2,5,,25794.608,,,1.09,
4d6,c 5D,1,3,,25820.622,,,,
4d6,c 5D,0,1,,25980.338,,,,
4d5.(2I).5s,a 3I,5,11,,25516.912,,,0.796,
4d5.(2I).5s,a 3I,6,13,,25548.887,,,1.028,
4d5.(2I).5s,a 3I,7,15,,25638.567,,,1.147,
4d5.(6S).5p,z 7P*,2,5,,25614.367,,,2.299,
4d5.(6S).5p,z 7P*,3,7,,25871.887,,,1.892,
4d5.(6S).5p,z 7P*,4,9,,26320.420,,,1.736,
4d5.(4F).5s,a 5F,5,11,,25905.490,,,1.394,
4d5.(4F).5s,a 5F,4,9,,25997.337,,,1.322,
4d5.(4F).5s,a 5F,3,7,,26189.445,,,1.307,
4d5.(4F).5s,a 5F,1,3,,26283.821,,,,
4d5.(4F).5s,a 5F,2,5,,26335.816,,,1.031,
4d5.(4P).5s,b 3P,1,3,,26414.806,,,1.41,
4d5.(4P).5s,b 3P,0,1,,26450.019,,,,
4d5.(4P).5s,b 3P,2,5,,27415.053,,,1.41,
4d4.5s2,a 1G,4,9,,26635.820,,,1.014,
4d5.(2D).5s,b 3D,3,7,,26638.742,,,1.234,
4d5.(2D).5s,b 3D,2,5,,26758.660,,,1.24,
4d5.(2D).5s,b 3D,1,3,,27362.456,,,1.06,
4d5.(2F).5s,b 3F,2,5,,27093.242,,,0.890,
4d5.(2F).5s,b 3F,4,9,,27765.594,,,1.125,
4d5.(2F).5s,b 3F,3,7,,27774.422,,,1.055,
4d4.5s2,b 3G,4,9,,27341.925,,,1.075,
4d4.5s2,b 3G,3,7,,27383.838,,,0.913,
4d4.5s2,b 3G,5,11,,27726.714,,,1.219,
4d4.5s.(6D).5p,z 7F*,0,1,,27866.684,,,,
4d4.5s.(6D).5p,z 7F*,1,3,,28274.290,,,,
4d4.5s.(6D).5p,z 7F*,2,5,,28666.545,,,2.312,
4d4.5s.(6D).5p,z 7F*,3,7,,28848.146,,,1.905,
4d4.5s.(6D).5p,z 7F*,4,9,,29171.107,,,,
4d4.5s.(6D).5p,z 7F*,5,11,,29781.120,,,1.496,
4d4.5s.(6D).5p,z 7F*,6,13,,30496.016,,,1.513,
4d5.(2I).5s,a 1I,6,13,,28241.014,,,1.015,
4d5.(6S).5p,z 5P*,1,3,,28715.242,,,2.500,
4d5.(6S).5p,z 5P*,2,5,,28836.592,,,1.831,
4d5.(6S).5p,z 5P*,3,7,,28923.668,,,1.668,
4d5.(4F).5s,c 3F,2,5,,29641.989,,,1.02,
4d5.(4F).5s,c 3F,3,7,,30159.582,,,1.089,
4d5.(4F).5s,c 3F,4,9,,30501.944,,,1.111,
4d5.(2H).5s,b 3H,4,9,,29842.148,,,0.864,
4d5.(2H).5s,b 3H,5,11,,29981.714,,,1.091,
4d5.(2H).5s,b 3H,6,13,,30113.151,,,1.12,
