Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d4.(5D).5s,a 6D,1/2,2,,0.00,,,3.323,L3465
4d4.(5D).5s,a 6D,3/2,4,,154.19,,,1.863,L3465
4d4.(5D).5s,a 6D,5/2,6,,391.99,,,1.652,L3465
4d4.(5D).5s,a 6D,7/2,8,,695.25,,,1.582,L3465
4d4.(5D).5s,a 6D,9/2,10,,1050.26,,,1.549,L3465
4d3.5s2,a 4F,3/2,4,,1142.79,,,0.402,L3465
4d3.5s2,a 4F,5/2,6,,1586.90,,,1.029,L3465
4d3.5s2,a 4F,7/2,8,,2154.11,,,1.235,L3465
4d3.5s2,a 4F,9/2,10,,2805.36,,,1.330,L3465
4d3.5s2,a 4P,1/2,2,,4998.17,,,2.650,L3465
4d3.5s2,a 4P,3/2,4,,5297.92,,,1.721,L3465
4d3.5s2,a 4P,5/2,6,,5965.45,,,1.596,L3465
4d4.(5D).5s,a 4D,1/2,2,,8410.90,,,0.06,L3465
4d4.(5D).5s,a 4D,3/2,4,,8705.32,,,1.197,L3465
4d4.(5D).5s,a 4D,5/2,6,,9043.14,,,1.360,L3465
4d4.(5D).5s,a 4D,7/2,8,,9497.52,,,1.420,L3465
4d3.5s2,a 2G,7/2,8,,8827.00,,,0.885,L3465
4d3.5s2,a 2G,9/2,10,,9328.88,,,1.103,L3465
4d3.5s2,a 2D,3/2,4,,9439.08,,,0.953,L3465
4d3.5s2,a 2D,5/2,6,,10237.51,,,1.206,L3465
4d3.5s2,a 2P,1/2,2,,10126.06,,,0.66,L3465
4d3.5s2,a 2P,3/2,4,,11318.09,,,1.175,L3465
4d4.(3H).5s,a 4H,7/2,8,,10922.74,,,0.690,L3465
4d4.(3H).5s,a 4H,9/2,10,,11044.08,,,0.984,L3465
4d4.(3H).5s,a 4H,11/2,12,,11247.88,,,1.12,L3465
4d4.(3H).5s,a 4H,13/2,14,,11524.65,,,1.22,L3465
4d5,a 6S,5/2,6,,11344.70,,,1.99,L3465
4d4.(3G).5s,a 4G,5/2,6,,12018.25,,,0.742,L3465
4d4.(3G).5s,a 4G,7/2,8,,12136.86,,,1.081,L3465
4d4.(3G).5s,a 4G,9/2,10,,12357.70,,,1.23,L3465
4d4.(3G).5s,a 4G,11/2,12,,13012.20,,,1.26,L3465
4d3.5s2,a 2H,9/2,10,,12102.12,,,0.93,L3465
4d3.5s2,a 2H,11/2,12,,12502.97,,,1.10,L3465
4d4.(b 3F).5s,b 4F,3/2,4,,12288.25,,,0.402,L3465
4d4.(b 3F).5s,b 4F,5/2,6,,12692.12,,,0.852,L3465
4d4.(b 3F).5s,b 4F,7/2,8,,12982.38,,,1.120,L3465
4d4.(b 3F).5s,b 4F,9/2,10,,13145.71,,,1.224,L3465
4d3.5s2,a 2F,5/2,6,,13404.77,,,0.860,L3465
4d3.5s2,a 2F,7/2,8,,13515.20,,,1.130,L3465
4d4.(a 3P).5s,b 4P,1/2,2,,13629.15,,,2.64,L3465
4d4.(a 3P).5s,b 4P,3/2,4,,14211.30,,,1.71,L3465
4d4.(a 3P).5s,b 4P,5/2,6,,14899.26,,,1.54,L3465
4d4.(3D).5s,b 4D,7/2,8,,15282.35,,,1.43,L3465
4d4.(3D).5s,b 4D,3/2,4,,15439.25,,,1.21,L3465
4d4.(3D).5s,b 4D,1/2,2,,15460.77,,,0.04,L3465
4d4.(3D).5s,b 4D,5/2,6,,15467.08,,,1.42,L3465
4d3.5s.(5F).5p,z 6G*,3/2,4,,16672.00,,,0.00,L3465
4d3.5s.(5F).5p,z 6G*,5/2,6,,16981.01,,,,L3465
4d3.5s.(5F).5p,z 6G*,9/2,10,,17937.26,,,,L3465
4d4.(3H).5s,b 2H,9/2,10,,16828.52,,,1.04,L3465
4d4.(3H).5s,b 2H,11/2,12,,17476.22,,,1.01,L3465
4d4.(3G).5s,b 2G,7/2,8,,16918.78,,,0.88,L3465
4d4.(3G).5s,b 2G,9/2,10,,18035.97,,,0.97,L3465
