Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f4.6s2,5I,4,9,,0.000,,,0.60329,  98             :     1                         3H4                  ,L3974
4f4.6s2,5I,5,11,,1128.056,,,0.90047,  99             :     1                         3H4                  ,
4f4.6s2,5I,6,13,,2366.597,,,1.06991,  99                                                                  ,
4f4.6s2,5I,7,15,,3681.696,,,1.17538,  98             :     1                         3K2                  ,
4f4.6s2,5I,8,17,,5048.602,,,1.24527,  96             :     3                         3K2                  ,
4f3.(4I*).5d.6s2,5L*,10,21,,,,,,  99             :     1                         (2K*) 3M*            ,
4f3.(4I*).5d.6s2,5L*,6,13,,6764.211,,,0.715,  92             :     4                         (2H*) 3K*            ,
4f3.(4I*).5d.6s2,5L*,7,15,,8402.487,,,0.905,  95             :     2                         (2H*) 3K*            ,
4f3.(4I*).5d.6s2,5L*,8,17,,10160.612,,,1.035,  97             :     2                         (4I*) 5K*            ,
4f3.(4I*).5d.6s2,5L*,9,19,,12162.142,,,1.113,  98             :     1                         (4I*) 5K*            ,
4f3.(4I*).5d.6s2,5K*,9,19,,,,,,  93             :     3                         (4I*) 3L*            ,
4f3.(4I*).5d.6s2,5K*,5,11,,6853.994,,,0.675,  87             :     8                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5K*,6,13,,8411.900,,,0.905,  94             :     2                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5K*,7,15,,10017.790,,,1.045,  94             :     1                         (4I*) 3K*            ,
4f3.(4I*).5d.6s2,5K*,8,17,,11704.640,,,1.160,  94             :     2                         (4I*) 3L*            ,
4f4.(5I).5d.6s.(3D),7L,5,11,,8475.355,,,0.505,  99             :     1                         (5I)(3D) 5K          ,
4f4.(5I).5d.6s.(3D),7L,6,13,,9115.092,,,0.785,  94             :     3                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7L,7,15,,9939.704,,,0.965,  93             :     4                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7L,8,17,,10897.998,,,1.085,  93             :     4                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7L,9,19,,11959.761,,,1.170,  95             :     3                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7L,10,21,,13101.411,,,1.225,  97             :     2                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7L,11,23,,14304.110,,,1.265, 100                                                                  ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,11,23,,,,,,                                                                      ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,10,21,,,,,,                                                                      ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,12,25,,,,,,                                                                      ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,6,13,,8800.392,,,0.580,  97             :     1  4f3.(4I*)(3F) (4L*).6s 5L*                  ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,7,15,,9692.277,,,0.805,  93             :     4  4f3.(4I*)(3F) (6M*).6s 5M*                  ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,8,17,,10784.929,,,0.960,  92             :     5  4f3.(4I*)(3F) (6M*).6s 5M*                  ,
4f3.(4I*).5d2.(3F) (6M*).6s,7M*,9,19,,11887.735,,,1.085,  92             :     5  4f3.(4I*)(3F) (6M*).6s 5M*                  ,
4f3.(4I*).5d.6s2,5I*,4,9,,9083.813,,,0.615,  90             :     6                         (4I*) 3H*            ,
4f3.(4I*).5d.6s2,5I*,5,11,,10004.583,,,0.880,  59             :    28                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5I*,6,13,,11179.045,,,1.035,  49             :    26                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5I*,7,15,,12927.232,,,1.110,  70             :    12                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5I*,8,17,,14732.200,,,1.240,  86             :    10                         (4I*) 3K*            ,
4f4.(5I).5d.6s.(3D),7K,4,9,,9814.683,,,0.405,  98             :     1                         (5I)(3D) 5I          ,
4f4.(5I).5d.6s.(3D),7K,5,11,,10376.842,,,0.770,  94             :     3                         (5I)(3D) 5K          ,
4f4.(5I).5d.6s.(3D),7K,6,13,,11109.167,,,0.970,  92             :     5                         (5I)(3D) 5K          ,
4f4.(5I).5d.6s.(3D),7K,7,15,,11918.353,,,1.055,  65             :    18                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7K,8,17,,12902.422,,,1.180,  87             :     5                         (5I)(3D) 5K          ,
4f4.(5I).5d.6s.(3D),7K,9,19,,13953.585,,,1.245,  90             :     4                         (5I)(3D) 5L          ,
4f4.(5I).5d.6s.(3D),7K,10,21,,15073.203,,,1.290,  95             :     5                         (5I)(3D) 5L          ,
4f3.(4I*).5d.6s2,5H*,3,7,,9927.387,,,0.570,  76             :    16                         (4I*) 3G*            ,
4f3.(4I*).5d.6s2,5H*,4,9,,10672.571,,,0.855,  59             :    28                         (4I*) 3H*            ,
4f3.(4I*).5d.6s2,5H*,5,11,,12394.260,,,1.038,  65             :    18                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5H*,6,13,,14308.080,,,1.106,  53             :    32                         (4I*) 3I*            ,
4f3.(4I*).5d.6s2,5H*,7,15,,15396.590,,,1.165,  43             :    39                         (4I*) 3I*            ,
4f4.6s2?,5F,4,9,,,,,,                                                                      ,
4f4.6s2?,5F,5,11,,,,,,                                                                      ,
4f4.6s2?,5F,1,3,,10118.968,,,0.0,                                                                      ,
4f4.6s2?,5F,2,5,,10469.468,,,0.99,                                                                      ,
4f4.6s2?,5F,3,7,,11118.466,,,,                                                                      ,
4f4.(5I).5d.6s.(3D),5L,6,13,,10774.927,,,0.728,  59             :    33                         (5I)(1D) 5L          ,
