Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p6,1S,0,1,,0.0000,,0.04,L8826
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,2,5,,134041.8400,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3s,2[3/2]*,1,3,,134459.2871,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,0,1,,134818.6405,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3s,2[1/2]*,1,3,,135888.7173,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[1/2],1,3,,148257.7898,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[1/2],0,1,,150917.4307,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[5/2],3,7,,149657.0392,,0.0010,L8826
2s2.2p5.(2P*<3/2>).3p,2[5/2],2,5,,149824.2215,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[3/2],1,3,,150121.5922,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3p,2[3/2],2,5,,150315.8612,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[3/2],1,3,,150772.1118,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[3/2],2,5,,150858.5079,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[1/2],1,3,,151038.4524,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3p,2[1/2],0,1,,152970.7328,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,5,,158601.1152,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,3,,158795.9924,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,1,,159379.9935,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,3,,159534.6196,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0,1,,161509.6305,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,3,,161524.1739,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,4,9,,161590.3412,,0.0010,L8826
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,3,7,,161592.1200,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,5,,161607.2609,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,1,3,,161636.6175,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,5,,161699.6613,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,7,,161701.4486,,0.0010,L8826
2s2.2p5.(2P*<1/2>).3d,2[5/2]*,2,5,,162408.6535,,0.0010,L8826
2s2.2p5.(2P*<1/2>).3d,2[5/2]*,3,7,,162410.1736,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3d,2[3/2]*,2,5,,162419.9818,,0.0010,L8826c189
2s2.2p5.(2P*<1/2>).3d,2[3/2]*,1,3,,162435.6780,,0.0010,L8826c189
2s2.2p5.(2P*<3/2>).4p,2[1/2],1,3,,162517.8755,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[1/2],0,1,,163401.3061,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[5/2],3,7,,162830.7073,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[5/2],2,5,,162899.1169,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[3/2],1,3,,163012.6247,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4p,2[3/2],2,5,,163038.3544,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[3/2],1,3,,163657.2726,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[3/2],2,5,,163708.6029,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[1/2],1,3,,163707.7261,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4p,2[1/2],0,1,,164285.8872,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5s,2[3/2]*,2,5,,165828.1766,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5s,2[3/2]*,1,3,,165912.7861,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5s,2[1/2]*,0,1,,166606.3370,,0.0010,L8826
