Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d8.(3F).4s2,3F,4,9,,0.000,,,1.24965,  97                                                   ,L11151
3d8.(3F).4s2,3F,3,7,,1332.164,,,1.08280,  97                                                   ,
3d8.(3F).4s2,3F,2,5,,2216.550,,,0.66956,  96                                                   ,
3d9.(2D).4s,3D,3,7,,204.787,,,1.33354,  99                                                   ,
3d9.(2D).4s,3D,2,5,,879.816,,,1.15105,  90             :     9  3d9.(2D).4s          1D      ,
3d9.(2D).4s,3D,1,3,,1713.087,,,0.49804,  99                                                   ,
3d9.(2D).4s,1D,2,5,,3409.937,,,1.01297,  89             :     9  3d9.(2D).4s          3D      ,
3d8.(1D).4s2,1D,2,5,,13521.347,,,1.143,  77             :    19  3d8.(3P).4s2         3P      ,
3d10,1S,0,1,,14728.840,,,,  94                                                   ,
3d8.(3P).4s2,3P,2,5,,15609.844,,,1.356,  78             :    18  3d8.(1D).4s2         1D      ,
3d8.(3P).4s2,3P,1,3,,15734.001,,,1.497,  97                                                   ,
3d8.(3P).4s2,3P,0,1,,16017.306,,,,  96                                                   ,
3d8.(1G).4s2,1G,4,9,,22102.325,,,0.99,  97                                                   ,
3d8.(3F).4s.4p.(3P*),5D*,4,9,,25753.553,,,1.51,  95                                                   ,
3d8.(3F).4s.4p.(3P*),5D*,3,7,,26665.887,,,1.495,  93                                                   ,
3d8.(3F).4s.4p.(3P*),5D*,2,5,,27414.868,,,1.494,  93                                                   ,
3d8.(3F).4s.4p.(3P*),5D*,1,3,,27943.524,,,1.486,  95                                                   ,
3d8.(3F).4s.4p.(3P*),5D*,0,1,,28212.998,,,,  96                                                   ,
3d8.(3F).4s.4p.(3P*),5G*,6,13,,27260.894,,,1.32,  98                                                   ,
3d8.(3F).4s.4p.(3P*),5G*,5,11,,27580.391,,,1.276,  82             :    14  3d8.(3F).4s.4p.(3P*) 5F*     ,
3d8.(3F).4s.4p.(3P*),5G*,4,9,,28068.065,,,1.171,  83             :    12  3d8.(3F).4s.4p.(3P*) 5F*     ,
3d8.(3F).4s.4p.(3P*),5G*,3,7,,28578.018,,,0.945,  87             :     8  3d8.(3F).4s.4p.(3P*) 5F*     ,
3d8.(3F).4s.4p.(3P*),5G*,2,5,,29013.206,,,0.364,  95                                                   ,
3d8.(3F).4s.4p.(3P*),5F*,5,11,,28542.105,,,1.377,  85             :    13  3d8.(3F).4s.4p.(3P*) 5G*     ,
3d8.(3F).4s.4p.(3P*),5F*,4,9,,29084.456,,,1.288,  75             :    11  3d8.(3F).4s.4p.(3P*) 3F*     ,
3d8.(3F).4s.4p.(3P*),5F*,3,7,,29832.779,,,1.208,  56             :    19  3d9.(2D).4p          3F*     ,
3d8.(3F).4s.4p.(3P*),5F*,2,5,,30163.124,,,0.985,  76             :     6  3d9.(2D).4p          3D*     ,
3d8.(3F).4s.4p.(3P*),5F*,1,3,,30392.003,,,0.006,  98                                                   ,
3d9.(2D).4p,3P*,2,5,,28569.203,,,1.485,  93                                                   ,
3d9.(2D).4p,3P*,1,3,,29500.674,,,1.426,  90                                                   ,
3d9.(2D).4p,3P*,0,1,,30192.251,,,,  97                                                   ,
3d9.(2D).4p,3F*,3,7,,29320.762,,,1.287,  33             :    30  3d8.(3F).4s.4p.(3P)  5F*     ,
3d9.(2D).4p,3F*,4,9,,29480.989,,,1.086,  81             :    10  3d8.(3F).4s.4p.(3P)  3D*     ,
3d9.(2D).4p,3F*,2,5,,30619.414,,,0.740,  72             :     8  3d8.(3F).4s.4p.(3P)  3F*     ,
3d9.(2D).4p,3D*,3,7,,29668.893,,,1.044,  57             :    18  3d8.(3F).4s.4p.(3P)  3D*     ,
3d9.(2D).4p,3D*,2,5,,29888.477,,,0.552,  36             :    18  3d9.(2D).4p          1D*     ,
3d9.(2D).4p,3D*,1,3,,30912.817,,,,  64             :    28  3d8.(3F).4s.4p.(3P)  3D*     ,
3d9.(2D).4p,*,3,7,,29668.918,,,1.300,  30  3D*        :    30  3d8.(3F).4s.4p.(3P*) 5F*     ,
3d8.(3F).4s.4p.(3P*),3G*,5,11,,30922.734,,,1.214,  94             :     5  3d8.(3F).4s.4p.(3P*) 5G*     ,
3d8.(3F).4s.4p.(3P*),3G*,4,9,,30979.749,,,1.052,  78             :    14  3d8.(3F).4s.4p.(3P*) 1G*     ,
3d8.(3F).4s.4p.(3P*),3G*,3,7,,31786.162,,,0.761,  93                                                   ,
3d9.(2D).4p,1F*,3,7,,31031.020,,,1.048,  56             :    31  3d9.(2D).4p          3F*     ,
3d9.(2D).4p,1D*,2,5,,31441.635,,,1.060,  67             :    14  3d9.(2D).4p          3D*     ,
3d8.(3F).4s.4p.(3P*),3F*,4,9,,32973.376,,,1.222,  77             :    10  3d8.(3F).4s.4p.(3P*) 1G*     ,
