Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d9.6s,3D,3,7,,0.0000,,0.0000,1.333924, 100                    ,L10982
5d9.6s,3D,2,5,,6567.4517,,0.0014,1.11691,  42                    ,L10982
5d9.6s,3D,1,3,,10131.8684,,0.0019,, 100                    ,L10982
5d9.6s,a 1D,2,5,,775.8761,,0.0009,1.066574,  42                    ,L10982
5d8.6s2,3F,4,9,,823.6608,,0.0008,1.23948,  96                    ,L10982
5d8.6s2,3F,3,7,,10116.7158,,0.0014,, 100                    ,L10982
5d8.6s2,3F,2,5,,15501.8344,,0.0019,0.92,  60                    ,L10982
5d10,1S,0,1,,6140.170,,0.006,,  90                    ,L10982
5d9.6s,b 1D,2,5,,13496.2595,,0.0023,1.17,  44                    ,L10982
5d8.6s2,3P,0,1,,16983.435,,0.017,,  83                    ,L10982
5d8.6s2,3P,1,3,,18566.5450,,0.0028,, 100                    ,L10982
5d8.6s2,1G,4,9,,21967.101,,0.003,,  96                    ,L10982
5d8.6s2,1D,2,5,,26638.576,,0.004,0.97,  54                    ,L10982
5d8.6s.(4F).6p,5D*,4,9,,30156.846,,0.004,1.46,  74                    ,L10982
5d8.6s.(4F).6p,5D*,2,5,,40516.229,,0.003,1.38,  18                    ,L10982
5d8.6s.(4F).6p,5D*,1,3,,43187.829,,0.006,1.39,  25                    ,L10982
5d9.6p,a 3P*,2,5,,32620.0047,,0.0016,1.39,  55                    ,L10982
5d8.6s.(4F).6p,a 5F*,5,11,,33680.390,,0.005,1.32,  43                    ,L10982
5d9.6p,3F*,3,7,,34122.1452,,0.0033,1.21,  30                    ,L10982
5d9.6p,3F*,4,9,,37590.5647,,0.0015,1.25,  68                    ,L10982
5d9.6p,3F*,2,5,,46170.3757,,0.0010,1.01,  36                    ,L10982
5d8.6s.(4F).6p,a 5D*,3,7,,35321.6370,,0.0013,1.33,  42                    ,L10982
5d8.6s.(4F).6p,a 5G*,4,9,,36296.294,,0.004,,  35                    ,L10982
5d8.6s.(4F).6p,5G*,6,13,,36781.545,,0.007,1.33,  96                    ,L10982
5d8.6s.(4F).6p,5G*,3,7,,40970.1568,,0.0021,1.12,  37                    ,L10982
5d8.6s.(4F).6p,5G*,2,5,,48535.587,,0.007,1.02,  15                    ,L10982
5d9.6p,3P*,1,3,,36844.695,,0.003,1.09,  26                    ,L10982
5d9.6p,3P*,0,1,,50387.658,,0.024,,  38                    ,L10982
5d9.6p,b 3P*,2,5,,37342.089,,0.003,1.15,  20                    ,L10982
5d9.6p,3D*,3,7,,37769.0673,,0.0031,1.17,  24                    ,L10982
5d9.6p,3D*,2,5,,49880.8667,,0.0018,1.12,  18                    ,L10982
5d8.6s.(4F).6p,b 5F*,5,11,,38536.1439,,0.0017,1.30,  43                    ,L10982
5d8.6s.(2D).6p,a 3F*,2,5,,38815.8940,,0.0015,0.88,  25                    ,L10982
5d8.6s.(4F).6p,5F*,4,9,,40194.2203,,0.0017,1.21,  25                    ,L10982
5d8.6s.(4F).6p,5F*,2,5,,44444.346,,0.006,1.21,  31                    ,L10982
5d8.6s.(4F).6p,5F*,1,3,,50055.296,,0.005,0.87,  18                    ,L10982
5d8.6s.(4P).6p,5P*,2,5,,40787.8417,,0.0024,1.20,  25                    ,L10982
5d8.6s.(4P).6p,5P*,1,3,,45398.466,,0.006,1.52,  28                    ,L10982
5d8.6s.(2D).6p,3P*,0,1,,40873.510,,0.011,,  33                    ,L10982
5d8.6s.(2D).6p,a 3D*,1,3,,41802.733,,0.004,0.92,  27                    ,L10982
5d8.6s.(4F).6p,b 5D*,3,7,,42660.048,,0.003,1.19,  18                    ,L10982
5d8.6s.(4P).6p,a 5P*,3,7,,43945.534,,0.004,1.27,  37                    ,L10982
5d8.6s.(4F).6p,b 5G*,4,9,,44432.651,,0.003,1.20,  19                    ,L10982
5d8.6s.(2F).6p,a 3D*,3,7,,44730.3062,,0.0029,1.19,  14                    ,L10982
5d8.6s.(4P).6p,a 5D*,2,5,,46419.952,,0.005,0.87,  13                    ,L10982
5d8.6s.(4P).6p,a 5D*,4,9,,46963.6658,,0.0009,1.34,  26                    ,L10982
5d8.6s.(4P).6p,5D*,0,1,,46433.898,,0.007,,  41                    ,L10982
5d8.6s.(4P).6p,5D*,3,7,,51097.5087,,0.0014,1.21,  21                    ,L10982
5d8.6s.(4P).6p,5D*,1,3,,52071.669,,0.007,1.22,  29                    ,L10982
5d8.6s.(2F).6p,b 3D*,3,7,,46622.4900,,0.0043,1.15,  30                    ,L10982
5d8.6s.(4F).6p,3G*,5,11,,46792.9402,,0.0013,,  57                    ,L10982
5d9.6p,1P*,1,3,,47740.5680,,0.0022,1.43,  48                    ,L10982
5d8.6s.(4F).6p,3F*,4,9,,48351.9153,,0.0015,1.25,  33                    ,L10982
5d8.6s.(4F).6p,3F*,3,7,,60328.0281,,0.0021,,  15                    ,L10982
5d8.6s.(4F).6p,a 3D*,3,7,,48779.3250,,0.0008,1.22,  22                    ,L10982
5d8.6s.(4P).6p,b 5P*,3,7,,49286.1051,,0.0015,1.19,  18                    ,L10982
5d9.6p,a 3D*,1,3,,49544.552,,0.004,1.24,  27                    ,L10982
5d8.6s.(2F).6p,a 3F*,4,9,,50010.1497,,0.0013,,  21                    ,L10982
5d7.(4F).6s2.6p,a 3G*,5,11,,50299.3510,,0.0017,,  26                    ,L10982
5d8.6s.(2F).6p,1D*,2,5,,51286.9345,,0.0012,1.13,  28                    ,L10982
5d8.6s.(4F).6p,b 3D*,3,7,,51545.5216,,0.0014,1.24,  30                    ,L10982
5d8.6s.(2F).6p,3F*,2,5,,51753.2970,,0.0016,1.34,  12                    ,L10982
5d9.7s,3D,3,7,,52379.367,,0.005,1.32, 100                    ,L10982
5d9.7s,3D,1,3,,60357.790,,0.006,0.52, 100                    ,L10982
5d9.7s,3D,2,5,,60640.659,,0.004,1.08,  57                    ,L10982
5d8.6s.(2F).6p,3G*,5,11,,52438.5877,,0.0013,,  74                    ,L10982
5d8.6s.(2F).6p,b 3F*,4,9,,52520.1199,,0.0013,,  29                    ,L10982
5d9.7s,1D,2,5,,52667.196,,0.005,1.04,  57                    ,L10982
5d8.6s.(4P).6p,b 5D*,2,5,,52708.3577,,0.0014,1.46,  51                    ,L10982
