Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d8.(3F).5s,a 4F,9/2,10,,0.00,,,1.329,L3466
4d8.(3F).5s,a 4F,7/2,8,,1529.97,,,1.230,
4d8.(3F).5s,a 4F,5/2,6,,2598.03,,,1.105,
4d8.(3F).5s,a 4F,3/2,4,,3472.68,,,0.473,
4d9,a 2D,5/2,6,,3309.86,,,1.116,
4d9,a 2D,3/2,4,,5657.97,,,0.744,
4d8.(3F).5s,a 2F,7/2,8,,5690.97,,,1.143,
4d8.(3F).5s,a 2F,5/2,6,,7791.23,,,0.947,
4d8.(3P).5s,a 4P,5/2,6,,9221.22,,,1.478,
4d8.(3P).5s,a 4P,3/2,4,,10313.41,,,1.576,
4d8.(3P).5s,a 4P,1/2,2,,11006.05,,,2.661,
4d8.(3P).5s,a 2P,3/2,4,,11968.23,,,1.230,
4d8.(3P).5s,a 2P,1/2,2,,13974.73,,,0.681,
4d7.5s2,b 4F,9/2,10,,12723.07,,,1.317,
4d7.5s2,b 4F,7/2,8,,14787.87,,,1.230,
4d7.5s2,b 4F,5/2,6,,16118.69,,,1.018,
4d7.5s2,b 4F,3/2,4,,16943.50,,,0.416,
4d8.(1D).5s,b 2D,5/2,6,,13520.69,,,1.233,
4d8.(1D).5s,b 2D,3/2,4,,14382.19,,,1.034,
4d8.(1G).5s,a 2G,9/2,10,,16017.94,,,1.114,
4d8.(1G).5s,a 2G,7/2,8,,16120.72,,,0.900,
4d7.5s2,b 4P,5/2,6,,23157.57,,,,
4d7.5s2,b 4P,3/2,4,,23655.93,,,,
4d7.5s2,b 4P,1/2,2,,24686.00,,,,
4d7.5s2,b 2G,9/2,10,,25820.80,,,,
4d7.5s2,b 2G,7/2,8,,27876.52,,,,
4d8.(3F).5p,z 4D*,7/2,8,,27075.26,,,1.410,
4d8.(3F).5p,z 4D*,5/2,6,,28859.64,,,1.330,
4d8.(3F).5p,z 4D*,3/2,4,,30397.27,,,1.165,
4d8.(3F).5p,z 4D*,1/2,2,,31146.68,,,0.040,
4d8.(3F).5p,z 4G*,9/2,10,,28542.69,,,1.181,
4d8.(3F).5p,z 4G*,11/2,12,,29104.71,,,1.273,
4d8.(3F).5p,z 4G*,7/2,8,,31101.75,,,1.023,
4d8.(3F).5p,z 4G*,5/2,6,,32243.32,,,0.937,
4d8.(3F).5p,z 4F*,9/2,10,,29430.86,,,1.261,
4d8.(3F).5p,z 4F*,7/2,8,,29866.34,,,1.148,
4d8.(3F).5p,z 4F*,5/2,6,,31474.50,,,0.834,
4d8.(3F).5p,z 4F*,3/2,4,,32277.43,,,0.556,
4d8.(3F).5p,z 2G*,9/2,10,,31613.78,,,1.156,
4d8.(3F).5p,z 2G*,7/2,8,,33043.91,,,0.991,
4d8.(3F).5p,z 2F*,7/2,8,,32004.01,,,1.120,
4d8.(3F).5p,z 2F*,5/2,6,,33946.34,,,1.011,
4d8.(3F).5p,z 2D*,5/2,6,,32046.32,,,0.999,
4d8.(3F).5p,z 2D*,3/2,4,,33867.04,,,0.913,
4d8.(3P).5p,z 4P*,5/2,6,,35333.85,,,1.470,
4d8.(3P).5p,z 4P*,3/2,4,,35404.24,,,1.451,
4d8.(3P).5p,z 4P*,1/2,2,,35669.50,,,2.064,
,1*,7/2,8,,36132.72,,,1.473,
4d8.(3P).5p,y 4D*,7/2,8,,36787.48,,,1.346,
4d8.(3P).5p,y 4D*,5/2,6,,36985.25,,,1.150,
4d8.(3P).5p,y 4D*,3/2,4,,38038.12,,,1.134,
4d8.(3P).5p,y 4D*,1/2,2,,38474.43,,,-0.160,
,2*,5/2,6,,37300.50,,,1.400,
4d8.(3P).5p,z 2P*,1/2,2,,37368.62,,,1.342,
4d8.(3P).5p,z 2P*,3/2,4,,38210.96,,,1.210,
,3*,7/2,8,,38012.75,,,1.436,
,4*,3/2,4,,38668.83,,,1.289,
4d8.(3P).5p,y 2D*,5/2,6,,38718.11,,,1.382,
4d8.(3P).5p,y 2D*,3/2,4,,39525.28,,,1.494,
,5*,1/2,2,,38806.64,,,-0.072,
,6*,5/2,6,,39126.76,,,1.323,
4d8.(1D).5p,y 2P*,3/2,4,,39231.38,,,1.263,
4d8.(1D).5p,y 2P*,1/2,2,,43729.02,,,0.687,
,7*,7/2,8,,39494.00,,,1.180,
,8*,5/2,6,,39788.09,,,1.111,
,9*,5/2,6,,39981.30,,,1.045,
,10*,3/2,4,,40134.42,,,1.230,
4d8.(1D).5p,y 2F*,7/2,8,,40284.83,,,1.204,
4d8.(1D).5p,y 2F*,5/2,6,,40576.95,,,1.068,
4d8.(1S).5p,x 2P*,1/2,2,,,,,,
4d8.(1S).5p,x 2P*,3/2,4,,40603.48,,,1.268,
4d8.(3P).5p,z 2S*,1/2,2,,40604.52,,,1.870,
4d8.(3P).5p,z 4S*,3/2,4,,40900.00,,,1.232,
,11*,5/2,6,,41443.67,,,1.983,
4d8.(3F).6s,e 4F,9/2,10,,41880.86,,,1.31,
4d8.(3F).6s,e 4F,7/2,8,,44444.52,,,1.22,
4d8.(3F).6s,e 4F,5/2,6,,45471.24,,,,
4d8.(3F).6s,e 4F,3/2,4,,45811.72,,,,
,12*,9/2,10,,41953.07,,,1.127,
4d8.(3F).6s,e 2F,7/2,8,,42292.51,,,,
4d8.(3F).6s,e 2F,5/2,6,,44474.68,,,,
,13*,9/2,10,,42325.46,,,1.113,
4d8.(1D).5p,x 2D*,3/2,4,,42431.48,,,1.346,
4d8.(1D).5p,x 2D*,5/2,6,,43421.40,,,1.008,
,14*,7/2,8,,42495.48,,,1.231,
,15*,9/2,10,,43042.31,,,1.119,
,16*,7/2,8,,43047.54,,,1.139,
4d8.(1G).5p,z 2H*,9/2,10,,,,,,
4d8.(1G).5p,z 2H*,11/2,12,,43070.04,,,1.097,
4d8.(1G).5p,x 2F*,5/2,6,,43777.07,,,0.957,
4d8.(1G).5p,x 2F*,7/2,8,,43904.73,,,1.069,
,17*,7/2,8,,44588.12,,,1.260,
,18*,3/2,4,,44620.63,,,0.520,
,19*,5/2,6,,44786.67,,,0.654,
4d8.(1G).5p,y 2G*,7/2,8,,45177.63,,,0.948,
4d8.(1G).5p,y 2G*,9/2,10,,45315.54,,,1.106,
,20*,5/2,6,,45683.41,,,1.237,
,21*,3/2,4,,46280.09,,,1.089,
,22*,9/2,10,,46511.10,,,1.115,
,23*,1/2,2,,46752.86,,,0.024,
,1,7/2,8,,47713.63,,,1.38,
,2,11/2,12,,47793.54,,,1.12,
,3,5/2?,6,,47832.35,,,1.33,
,4,9/2,10,,47857.39,,,1.25,
,5,"9/2,11/2",22,,47862.14,,,,
,6,7/2,8,,47896.92,,,,
,7,9/2,10,,47928.07,,,1.15,
,24*,5/2,6,,47954.20,,,-0.083,
,8,5/2,6,,48239.04,,,1.20,
,25*,5/2,6,,48797.74,,,1.066,
,26*,7/2,8,,48811.47,,,0.928,
,27*,5/2,6,,49713.30,,,,
,9,5/2,6,,50042.87,,,,
,10,"3/2,5/2",10,,50111.87,,,1.36,
,28*,5/2,6,,50146.60,,,,
,11,"7/2,9/2",18,,50190.80,,,1.00,
,12,11/2,12,,50199.18,,,1.12,
,13,5/2,6,,50207.73,,,,
,14,7/2,8,,50233.05,,,1.12,
,15,"7/2,9/2",18,,50277.62,,,1.15,
,16,7/2,8,,50284.72,,,0.97,
,17,3/2,4,,50290.06,,,,
,18,5/2,6,,50408.21,,,1.02,
,19,3/2,4,,50451.97,,,,
,29*,3/2,4,,50721.44,,,,
,20,5/2,6,,51324.35,,,,
,21,7/2,8,,51356.22,,,0.74,
,22,"3/2,5/2",10,,51419.45,,,,
,23,"5/2,7/2",14,,51477.77,,,,
,30*,"5/2,7/2",14,,51608.71,,,,
,24,3/2,4,,51636.54,,,0.92,
,31*,7/2,8,,52065.37,,,0.960,
,25,3/2,4,,52413.28,,,,
,26,"1/2,3/2",6,,52473.55,,,,
,32*,"3/2,5/2",10,,53599.28,,,,
,27,3/2,4,,56087.60,,,,
,28,"3/2,5/2",10,,57610.48,,,,
Rh II (4d8 3F<4>),Limit,---,,,60160.1,,0.4,,L10032
