Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5s2,1S,0,1,,0.000,,,L15350
5s.5p,3P*,0,1,,14317.507,,0.001,L15350
5s.5p,3P*,1,3,,14504.334,,0.003,L15350
5s.5p,3P*,2,5,,14898.545,,0.004,L15350
5s.4d,3D,1,3,,18159.040,,0.003,L15350
5s.4d,3D,2,5,,18218.784,,0.003,L15350
5s.4d,3D,3,7,,18319.261,,0.004,L15350
5s.4d,1D,2,5,,20149.685,,0.003,L15350
5s.5p,1P*,1,3,,21698.452,,0.004,L15350
5s.6s,3S,1,3,,29038.773,,0.004,L15350
5s.6s,1S,0,1,,30591.825,,0.016,L15350
4d.5p,3F*,2,5,,33266.851,,0.003,L15350
4d.5p,3F*,3,7,,33589.709,,0.007,L15350
4d.5p,3F*,4,9,,33919.315,,0.006,L15350
4d.5p,1D*,2,5,,33826.899,,0.003,L15350
5s.6p,3P*,0,1,,33853.490,,0.006,L15350
5s.6p,3P*,1,3,,33868.317,,0.006,L15350
5s.6p,3P*,2,5,,33973.065,,0.004,L15350
5s.6p,1P*,1,3,,34098.404,,0.006,L15350
5s.5d,1D,2,5,,34727.447,,0.005,L15350
5s.5d,3D,1,3,,35006.908,,0.007,L15350
5s.5d,3D,2,5,,35021.989,,0.012,L15350
5s.5d,3D,3,7,,35045.019,,0.008,L15350
5p2,3P,0,1,,35193.442,,0.019,L15350
5p2,3P,1,3,,35400.105,,0.005,L15350
5p2,3P,2,5,,35674.637,,0.008,L15350
4d.5p,3D*,1,3,,36264.151,,0.008,L15350
4d.5p,3D*,2,5,,36381.746,,0.008,L15350
4d.5p,3D*,3,7,,36559.492,,0.006,L15350
4d2,1D,2,5,,36960.842,,0.005,"L15350,L9352"
5p2,1S,0,1,,37160.234,,0.005,L15350
4d.5p,3P*,0,1,,37292.074,,0.007,L15350
4d.5p,3P*,1,3,,37302.731,,0.006,L15350
4d.5p,3P*,2,5,,37336.591,,0.004,L15350
5s.7s,3S,1,3,,37424.675,,0.005,L15350
4d.5p,1F*,3,7,,38007.742,,0.016,L15350
5s.7s,1S,0,1,,38444.013,,0.007,L15350
5s.4f,3F*,2,5,,38750.420,,0.007,L15350
5s.4f,3F*,3,7,,38752.410,,0.007,L15350
5s.4f,3F*,4,9,,38755.175,,0.008,L15350
5s.7p,1P*,1,3,,38906.858,,0.010,L15350
5s.7p,3P*,0,1,,39411.669,,0.008,L15350
5s.7p,3P*,1,3,,39426.442,,0.008,L15350
5s.7p,3P*,2,5,,39457.383,,0.008,L15350
5s.4f,1F*,3,7,,39539.013,,0.007,L15350
5s.6d,3D,1,3,,39685.830,,0.017,L15350
5s.6d,3D,2,5,,39690.802,,0.009,L15350
5s.6d,3D,3,7,,39703.109,,0.009,L15350
5s.6d,1D,2,5,,39733.067,,0.009,L15350
5s.8s,3S,1,3,,40761.372,,0.020,L15350
5s.8s,1S,0,1,,41052.324,,0.019,L15350
4d.5p,1P*,1,3,,41172.054,,0.014,L15350
5s.5f,3F*,2,5,,41364.602,,0.018,L15350
5s.5f,3F*,3,7,,41365.482,,0.023,L15350
5s.5f,3F*,4,9,,41366.67,,0.23,L15350
5s.5f,1F*,3,7,,41519.04,,0.19,L15350
5s.8p,3P*,0,1,,41712.05,,0.05,L4542
5s.8p,3P*,1,3,,41719.71,,0.05,L4542
5s.8p,3P*,2,5,,41735.98,,0.05,L4542
5s.7d,1D,2,5,,41831.448,,0.021,L15350
5s.7d,3D,1,3,,41864.354,,0.008,L15350
5s.7d,3D,2,5,,41869.270,,0.010,L15350
5s.7d,3D,3,7,,41874.859,,0.010,L15350
5s.9s,3S,1,3,,42451.16,,0.35,L15350
5s.8p,1P*,1,3,,42462.136,,0.014,L15350
5s.9s,1S,0,1,,42596.572,,0.022,L15350
5s.6f,3F*,2,5,,42777.023,,0.022,L15350
5s.6f,3F*,3,7,,42777.547,,0.018,L15350
5s.6f,3F*,4,9,,42778.121,,0.009,L15350
5s.6f,1F*,3,7,,42839.589,,0.026,L15350
5s.9p,3P*,0,1,,42985.86,,0.07,L4542
5s.9p,3P*,1,3,,42990.26,,0.07,L4542
5s.9p,3P*,2,5,,42999.79,,0.07,L4542
5s.8d,1D,2,5,,43021.058,,0.023,L15350
5s.8d,3D,2,5,,43070.268,,0.009,L15350
5s.8d,3D,3,7,,43074.728,,0.010,L15350
5s.9p,1P*,1,3,,43328.04,,0.07,L15350
5s.10s,3S,1,3,,43427.44,,0.19,L15350
5s.10s,1S,0,1,,43512.1658,,0.0010,L5644
5s.7f,3F*,2,5,,43623.896,,0.026,L15350
5s.7f,3F*,3,7,,43624.205,,0.028,L15350
5s.7f,3F*,4,9,,43624.479,,0.009,L15350
5s.7f,1F*,3,7,,43656.219,,0.028,L15350
5s.9d,1D,2,5,,43755.755,,0.025,L15350
5s.10p,3P*,0,1,,43758.65,,0.07,L4542
5s.10p,3P*,1,3,,43761.47,,0.07,L4542
5s.10p,3P*,2,5,,43767.58,,0.07,L4542
5s.9d,3D,2,5,,43804.890,,0.025,L15350
5s.10p,1P*,1,3,,43938.201,,0.025,L15350
5s.11s,3S,1,3,,44043.35,,0.20,L15350
5s.11s,1S,0,1,,44097.1224,,0.0010,L5644
5s.8f,3F*,2,5,,44170.80,,0.03,L15350
5s.8f,3F*,3,7,,44170.99,,0.03,L15350
5s.8f,3F*,4,9,,44171.32,,0.03,L15350
5s.8f,1F*,3,7,,44189.889,,0.029,L15350
5s.10d,1D,2,5,,44239.4549,,0.0010,L5644
5s.11p,3P*,0,1,,44262.70,,0.07,L4542
5s.11p,3P*,1,3,,44264.52,,0.07,L4542
5s.11p,3P*,2,5,,44268.72,,0.07,L4542
5s.10d,3D,2,5,,44286.91,,0.20,L9511
5s.11p,1P*,1,3,,44366.42,,0.03,L15350
5s.12s,3S,1,3,,44456.25,,0.21,L15350
5s.12s,1S,0,1,,44492.8348,,0.0010,L5644
4d2,3P,0,1,,44525.838,,0.010,L15350
4d2,3P,1,3,,44595.920,,0.009,L15350
4d2,3P,2,5,,44729.627,,0.010,L15350
5s.9f,3F*,2,5,,44544.27,,0.03,L15350
5s.9f,3F*,3,7,,44544.44,,0.03,L15350
5s.9f,3F*,4,9,,44544.63,,0.03,L15350
5s.9f,1F*,3,7,,44556.48,,0.03,L15350
5s.11d,1D,2,5,,44578.6890,,0.0010,L5644
5s.12p,3P*,0,1,,44609.51,,0.04,L4542
5s.12p,3P*,1,3,,44610.85,,0.04,L4542
5s.12p,3P*,2,5,,44613.78,,0.04,L4542
5s.11d,3D,2,5,,44619.84,,0.20,L9511
5s.12p,1P*,1,3,,44675.737,,0.029,L15350
5s.13s,3S,1,3,,44747.65,,0.15,L5578
5s.13s,1S,0,1,,44773.6707,,0.0010,L5644
5s.10f,3F*,2,5,,44810.53,,0.04,L15350
5s.10f,3F*,3,7,,44810.56,,0.04,L15350
5s.10f,3F*,4,9,,44810.72,,0.04,L15350
5s.10f,1F*,3,7,,44818.77,,0.03,L15350
5s.12d,1D,2,5,,44829.6648,,0.0010,L5644
5s.12d,3D,1,3,,44854.02,,0.15,L5578
5s.12d,3D,2,5,,44860.06,,0.15,L5578
5s.12d,3D,3,7,,44865.22,,0.15,L5578
5s.13p,3P*,0,1,,44858.33,,0.03,L4542
5s.13p,3P*,1,3,,44859.32,,0.03,L4542
5s.13p,3P*,2,5,,44861.46,,0.03,L4542
5s.13p,1P*,1,3,,44903.50,,0.03,L15350
5s.14s,3S,1,3,,44960.22,,0.15,L5578
5s.14s,1S,0,1,,44979.4540,,0.0010,L5644
5s.11f,3F*,2,5,,45006.93,,0.04,L15350
5s.11f,3F*,3,7,,45006.98,,0.04,L15350
5s.11f,3F*,4,9,,45007.11,,0.04,L15350
5s.13d,1D,2,5,,45012.0249,,0.0010,L5644
5s.11f,1F*,3,7,,45012.82,,0.03,L15350
5s.13d,3D,1,3,,45028.55,,0.15,L5578
5s.13d,3D,2,5,,45036.95,,0.15,L5578
5s.13d,3D,3,7,,45043.79,,0.15,L5578
5s.14p,3P*,0,1,,45043.18,,0.02,L4542
5s.14p,3P*,1,3,,45043.89,,0.02,L4542
5s.14p,3P*,2,5,,45045.54,,0.02,L4542
5s.14p,1P*,1,3,,45075.29,,0.03,L15350
5s.15s,3S,1,3,,45120.41,,0.15,L5578
5s.15s,1S,0,1,,45134.9242,,0.0010,L5644
5s.14d,1D,2,5,,45153.2785,,0.0010,L5644
5s.12f,3F*,2,5,,45155.92,,0.04,L15350
5s.12f,3F*,3,7,,45156.01,,0.04,L15350
5s.12f,3F*,4,9,,45156.08,,0.04,L15350
5s.14d,3D,1,3,,45159.60,,0.15,L5578
5s.14d,3D,2,5,,45171.49,,0.15,L5578
5s.14d,3D,3,7,,45180.44,,0.15,L5578
5s.12f,1F*,3,7,,45160.29,,0.03,L15350
5s.15p,3P*,0,1,,45183.93,,0.02,L4542
5s.15p,3P*,1,3,,45184.54,,0.02,L4542
5s.15p,3P*,2,5,,45185.79,,0.02,L4542
5s.15p,1P*,1,3,,45207.83,,0.04,L15350
5s.16s,3S,1,3,,45243.88,,0.15,L5578
5s.16s,1S,0,1,,45255.2295,,0.0010,L5644
5s.15d,3D,1,3,,45260.84,,0.15,L5578
5s.15d,3D,2,5,,45276.65,,0.15,L5578
5s.15d,3D,3,7,,45286.53,,0.15,L5578
5s.15d,1D,2,5,,45263.6196,,0.0010,L5644
5s.13f,3F*,3,7,,45271.69,,0.04,L15350
5s.13f,3F*,2,5,,45271.72,,0.04,L15350
5s.13f,3F*,4,9,,45271.78,,0.04,L15350
5s.13f,1F*,3,7,,45274.97,,0.03,L15350
5s.16p,3P*,1,3,,45294.22,,0.02,L4542
5s.16p,3P*,2,5,,45295.21,,0.02,L4542
5s.16p,1P*,1,3,,45311.99,,0.04,L15350
5s.17s,3S,1,3,,45341.28,,0.15,L5578
5s.16d,3D,1,3,,45341.36,,0.15,L5578
5s.16d,3D,2,5,,45350.35,,0.15,L5578
5s.16d,3D,3,7,,45370.76,,0.15,L5578
5s.17s,1S,0,1,,45350.2296,,0.0010,L5644
5s.16d,1D,2,5,,45362.1272,,0.0010,L5644
5s.14f,3F*,2,5,,45363.22,,0.04,L15350
5s.14f,3F*,4,9,,45363.35,,0.04,L15350
5s.14f,3F*,3,7,,45363.43,,0.04,L15350
5s.14f,1F*,3,7,,45365.90,,0.03,L15350
5s.17p,3P*,1,3,,45381.46,,0.03,L4542
5s.17p,3P*,2,5,,45382.26,,0.03,L4542
5s.17p,1P*,1,3,,45395.34,,0.04,L15350
5s.17d,3D,1,3,,45414.43,,0.15,L5578
5s.17d,3D,2,5,,45420.84,,0.15,L5578
5s.17d,3D,3,7,,45439.08,,0.15,L5578
5s.18s,3S,1,3,,45419.29,,0.15,L5578
5s.18s,1S,0,1,,45426.5505,,0.0010,L5644
5s.17d,1D,2,5,,45433.2717,,0.0010,L5644
5s.15f,3F*,2,5,,45437.09,,0.04,L15350
5s.15f,3F*,3,7,,45437.10,,0.04,L15350
5s.15f,3F*,4,9,,45437.11,,0.04,L15350
5s.15f,1F*,3,7,,45439.16,,0.03,L15350
5s.18p,3P*,1,3,,45451.87,,0.01,L4542
5s.18p,3P*,2,5,,45452.53,,0.01,L4542
5s.18p,1P*,1,3,,45463.02,,0.05,L15350
5s.18d,3D,1,3,,45475.35,,0.15,L5578
5s.18d,3D,2,5,,45479.88,,0.15,L5578
5s.18d,3D,3,7,,45495.02,,0.15,L5578
5s.19s,3S,1,3,,45482.89,,0.01,L11277
5s.19s,1S,0,1,,45488.7860,,0.0010,L5644
5s.18d,1D,2,5,,45492.6101,,0.0010,L5644
5s.16f,3F*,2,5,,45497.42,,0.04,L15350
5s.16f,3F*,3,7,,45497.43,,0.04,L15350
5s.16f,3F*,4,9,,45497.49,,0.04,L15350
5s.16f,1F*,3,7,,45499.11,,0.03,L15350
5s.19p,3P*,1,3,,45509.65,,0.02,L4542
5s.19p,3P*,2,5,,45510.20,,0.02,L4542
5s.19p,1P*,1,3,,45518.64,,0.03,L15350
5s.19d,3D,1,3,,45527.10,,0.15,L5578
5s.19d,3D,2,5,,45530.18,,0.15,L5578
5s.19d,3D,3,7,,45542.30,,0.04,L11277
5s.20s,3S,1,3,,45535.32,,0.01,L11277
5s.20s,1S,0,1,,45540.2024,,0.0010,L5644
5s.19d,1D,2,5,,45542.2955,,0.0010,L5644
5s.17f,3F*,2,5,,45547.30,,0.04,L15350
5s.17f,3F*,4,9,,45547.39,,0.04,L15350
5s.17f,3F*,3,7,,45547.41,,0.04,L15350
5s.17f,1F*,3,7,,45548.76,,0.03,L15350
5s.20p,3P*,1,3,,45557.62,,0.02,L4542
5s.20p,3P*,2,5,,45558.00,,0.02,L4542
5s.20p,1P*,1,3,,45565.00,,0.03,L15350
5s.20d,3D,1,3,,45570.97,,0.04,L5578
5s.20d,3D,2,5,,45573.28,,0.04,L5578
5s.20d,3D,3,7,,45582.36,,0.04,L11277
5s.20d,1D,2,5,,45584.1831,,0.0010,L5644
5s.18f,3F*,2,5,,45589.11,,0.04,L15350
5s.18f,3F*,4,9,,45589.23,,0.04,L15350
5s.18f,3F*,3,7,,45589.25,,0.04,L15350
5s.18f,1F*,3,7,,45590.32,,0.03,L15350
5s.19f,3F*,4,9,,45624.43,,0.04,L15350
5s.19f,3F*,2,5,,45624.48,,0.04,L15350
5s.19f,3F*,3,7,,45624.53,,0.04,L15350
5s.19f,1F*,3,7,,45625.48,,0.03,L15350
5s.20f,3F*,3,7,,45654.56,,0.04,L15350
5s.20f,3F*,4,9,,45654.70,,0.04,L15350
5s.20f,1F*,3,7,,45655.49,,0.03,L15350
Sr II (5s 2S<1/2>),Limit,---,,,45932.2036,,0.0010,"L15350,L5644"
5p2,1D,2,5,,46380.1,,2.0,L9352
4d.6p,3D*,1,3,,49409.86,,0.14,L15350
4d.6p,3D*,2,5,,49558.30,,0.12,L15350
4d.6p,3D*,3,7,,49665.77,,0.14,L15350
4d.6p,3P*,1,3,,49547,,5.,L7603
4d.6p,3P*,2,5,,49732.0,,0.5,L15350
4d.5d,3F,2,5,,51036.49,,0.05,L2631
4d.5d,3F,3,7,,51150.30,,0.05,L2631
4d.5d,3F,4,9,,51254.06,,0.05,L2631
