Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f9.6s2,6H*,15/2,16,,0.000,,,1.32513,  95             :     4   4I3*     ,L3974
4f9.6s2,6H*,7/2,8,,,,,,  94             :     3   4G4*     ,
4f9.6s2,6H*,5/2,6,,,,,,  93             :     4   4G4*     ,
4f9.6s2,6H*,13/2,14,,2771.675,,,1.27625,  97             :     2   4I3*     ,
4f9.6s2,6H*,11/2,12,,4670.455,,,1.20610,  93             :     2   6F*      ,
4f9.6s2,6H*,9/2,10,,6174.925,,,,  95             :     2   4G4*     ,
4f8.(7F).5d.6s2,8G,13/2,14,,285.500,,,1.46448,  65             :    24   (7F) 8F  ,
4f8.(7F).5d.6s2,8G,15/2,16,,462.080,,,1.45624,  91             :     4   (7F) 8H  ,
4f8.(7F).5d.6s2,8G,11/2,12,,509.845,,,1.51654,  35             :    30   (7F) 8F  ,
4f8.(7F).5d.6s2,8G,7/2,8,,2419.480,,,1.47678,  56             :    25   (7F) 8F  ,
4f8.(7F).5d.6s2,8G,9/2,10,,2840.170,,,1.54375,  47             :    38   (7F) 8D  ,
4f8.(7F).5d.6s2,8G,5/2,6,,3174.575,,,1.35525,  73             :    16   (7F) 8F  ,
4f8.(7F).5d.6s2,8G,3/2,4,,3705.820,,,1.02220,  86             :     7   (7F) 8F  ,
4f8.(7F).5d.6s2,8G,1/2,2,,4018.210,,,-1.19125,  92             :     3   (5D1) 6F ,
4f8.(7F).5d.6s2,,9/2,10,,1371.045,,,1.54110,  33  8G         :    29   (7F) 8F  ,
4f8.(7F).5d.6s2,8D,11/2,12,,2310.090,,,1.53020,  48             :    43   (7F) 8G  ,
4f8.(7F).5d.6s2,8D,7/2,8,,3819.850,,,1.64184,  52             :    29   (7F) 8G  ,
4f8.(7F).5d.6s2,8D,5/2,6,,4695.505,,,1.83129,  56             :    21   (7F) 8F  ,
4f8.(7F).5d.6s2,8D,3/2,4,,5483.980,,,2.32,  51             :    37   (7F) 8F  ,
4f8.(7F).5d.6s2,8F,13/2,14,,3719.705,,,1.50473,  71             :    22   (7F) 8G  ,
4f8.(7F).5d.6s2,8F,11/2,12,,5353.370,,,1.545,  54             :    21   (7F) 8D  ,
4f8.(7F).5d.6s2,8F,9/2,10,,5829.860,,,1.58,  56             :    13   (7F) 8P  ,
4f8.(7F).5d.6s2,8F,1/2,2,,6259.090,,,3.84,  91             :     3   (5D1) 6D ,
4f8.(7F).5d.6s2,8F,7/2,8,,6488.280,,,1.635,  58             :    21   (7F) 8D  ,
4f8.(7F).5d.6s2,8F,5/2,6,,6801.190,,,1.80,  55             :    31   (7F) 8D  ,
4f8.(7F).5d.6s2,8F,3/2,4,,6849.720,,,2.335,  48             :    42   (7F) 8D  ,
4f8.(7F).5d.6s2,8H,17/2,18,,4646.830,,,1.40626,  95             :     2   (5G1) 6I ,
4f8.(7F).5d.6s2,8H,15/2,16,,5425.060,,,1.370,  64             :    27   (7F) 6H  ,
4f8.(7F).5d.6s2,8H,13/2,14,,6351.750,,,1.350,  74             :    10   (7F) 6H  ,
4f8.(7F).5d.6s2,8H,11/2,12,,6988.820,,,1.315,  74             :     7   (7F) 6H  ,
4f8.(7F).5d.6s2,8H,9/2,10,,7441.030,,,1.240,  74             :     8   (7F) 6G  ,
4f8.(7F).5d.6s2,8H,7/2,8,,7839.850,,,1.05,  82             :     5   (7F) 6G  ,
4f8.(7F).5d.6s2,8H,5/2,6,,8130.680,,,0.705,  87             :     5   (7F) 6G  ,
4f8.(7F).5d.6s2,8H,3/2,4,,8336.310,,,-0.36,  89             :     4   (7F) 6G  ,
4f8.(7F).5d.6s2,6F,3/2,4,,,,,,  85             :     4   (7F) 6G  ,
4f8.(7F).5d.6s2,6F,1/2,2,,,,,,  91             :     3   (5D1) 4D ,
4f8.(7F).5d.6s2,6F,11/2,12,,6674.155,,,1.32,  71             :    12   (7F) 6G  ,
4f8.(7F).5d.6s2,6F,9/2,10,,7824.190,,,1.433,  66             :    12   (7F) 6D  ,
4f8.(7F).5d.6s2,6F,7/2,8,,8994.660,,,1.414,  71             :    12   (7F) 6D  ,
4f8.(7F).5d.6s2,6F,5/2,6,,10030.350,,,1.305,  79             :     6   (7F) 6D  ,
4f8.(7F).5d.6s2,6G,5/2,6,,,,,,  73             :     6   (7F) 6D  ,
4f8.(7F).5d.6s2,6G,3/2,4,,,,,,  82             :     4   (7F) 8H  ,
4f8.(7F).5d.6s2,6G,13/2,14,,7059.900,,,1.38,  75             :    11   (7F) 6H  ,
4f8.(7F).5d.6s2,6G,11/2,12,,8932.120,,,1.47,  64             :    11   (7F) 6F  ,
4f8.(7F).5d.6s2,6G,9/2,10,,9986.73,,,,  60             :    17   (7F) 6D  ,
4f8.(7F).5d.6s2,6G,7/2,8,,11107.07,,,,  53             :    14   (7F) 6F  ,
4f8.(7F).5d.6s2,6H,5/2,6,,,,,,  89             :     3   (5D1) 4G ,
4f8.(7F).5d.6s2,6H,15/2,16,,7767.015,,,1.342,  67             :    28   (7F) 8H  ,
4f8.(7F).5d.6s2,6H,13/2,14,,9763.020,,,1.30,  73             :    15   (7F) 8H  ,
4f8.(7F).5d.6s2,6H,11/2,12,,10997.850,,,1.21,  75             :    11   (7F) 8H  ,
4f8.(7F).5d.6s2,6H,9/2,10,,11956.255,,,,  78             :     8   (7F) 8H  ,
4f8.(7F).5d.6s2,6H,7/2,8,,12714.050,?,,,  70             :     7   (7F) 6D  ,
4f8.(7F).5d.6s2,8P,5/2,6,,,,,,  83             :     6   (7F)2 6P ,
4f8.(7F).5d.6s2,8P,9/2,10,,8097.875,,,1.75,  64             :    17   (7F) 8D  ,
4f8.(7F).5d.6s2,8P,7/2,8,,10324.740,,,1.916,  68             :    16   (7F) 6P  ,
4f8.(7F).5d2.(3F) (9G).6s,10G,1/2,2,,,,,,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,15/2,16,,8190.465,,,1.54,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,13/2,14,,8277.040,,,1.57,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,17/2,18,,8506.710,,,1.53,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,11/2,12,,8646.210,,,1.60,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,9/2,10,,9145.230,,,1.67,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,7/2,8,,9867.650,,,1.68,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,5/2,6,,10456.670,,,1.80,                                    ,
4f8.(7F).5d2.(3F) (9G).6s,10G,3/2,4,,10920.180,,,2.145,                                    ,
4f8.(7F).5d2.(3F) (9D).6s?,10D?,9/2,10,,9897.730,,,1.81,                                    ,
4f8.(7F).5d.6s2,6D,9/2,10,,10680.17,,,,  59             :    16   (7F) 6F  ,
