Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""6d2.7s2""","=""3F""","=""2""","=""""","=""0.000000""","=""""","=""0.000010""","=""0.735""","=""  79                         :    14  6d2.7s2      1D   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3F""","=""3""","=""""","=""2869.259165""","=""""","=""0.000017""","=""1.085""","=""  95                         :     4  6d3.(2F).7s  3F   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3F""","=""4""","=""""","=""4961.658832""","=""""","=""0.000019""","=""1.210""","=""  79                         :    14  6d2.7s2      1G   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3P""","=""0""","=""""","=""2558.056752""","=""""","=""0.000018""","=""0.0""","=""  70                         :    20  6d3.(2P).7s  3P   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""3P""","=""1""","=""""","=""3865.473772""","=""""","=""0.000016""","=""1.480""","=""  68                         :    25  6d3.(2P).7s  3P   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""""","=""2""","=""""","=""3687.987189""","=""""","=""0.000013""","=""1.255""","=""  40  6d2.7s2 3P             :    22  6d2.7s2      1D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""5563.141519""","=""""","=""0.000016""","=""0.065""","=""  89                         :     5  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""6362.395980""","=""""","=""0.000016""","=""1.010""","=""  90                         :     4  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""7502.287636""","=""""","=""0.000016""","=""1.250""","=""  95                         :     2  6d3.(2D2).7s 3D   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""8800.249723""","=""""","=""0.000020""","=""1.310""","=""  88                         :     5  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
"=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""9804.806547""","=""""","=""0.000024""","=""1.365""","=""  82                         :    16  6d3.(2G).7s  3G   ""","=""L18702,L17451"""
"=""6d2.7s2""","=""""","=""2""","=""""","=""7280.123222""","=""""","=""0.000023""","=""1.185""","=""  45  6d2.7s2 1D             :    23  6d2.7s2      3P   ""","=""L18702,L17451"""
"=""5f.6d.7s2""","=""3H*""","=""4""","=""""","=""7795.275291""","=""""","=""0.00003""","=""0.865""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""11197.031257""","=""""","=""0.00003""","=""1.040""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3H*""","=""6""","=""""","=""14481.86965""","=""""","=""0.00007""","=""1.170""","=""                                                        ""","=""L18702,L16199"""
"=""6d2.7s2""","=""1G""","=""4""","=""""","=""8111.004545""","=""""","=""0.000023""","=""1.065""","=""  65                         :    12  6d3.(2G).7s  1G   ""","=""L18702,L17451"""
"=""5f.6d.7s2""","=""3F*""","=""2""","=""""","=""8243.602091""","=""""","=""0.00003""","=""0.775""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""11241.73043""","=""""","=""0.00005""","=""1.010""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""14206.91694""","=""""","=""0.00006""","=""1.170""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""10414.13700""","=""""","=""0.00004""","=""0.985""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""10526.544406""","=""""","=""0.00003""","=""0.870""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""13175.113345""","=""""","=""0.00003""","=""1.095""","=""                                                        ""","=""L18702,L16199"""
"=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""15490.077832""","=""""","=""0.00003""","=""1.190""","=""                                                        ""","=""L18702,L16199"""
