Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d3.4s2,a 4F,3/2,4,,0.000,,0.002,0.39848,  92         :     5  3d3.(4F).4p2.(1S)     4F   ,"L20010,L193"
3d3.4s2,a 4F,5/2,6,,137.383,,0.0014,1.02839,  94         :     5  3d3.(4F).4p2.(1S)     4F   ,"L15916,L20010,L193"
3d3.4s2,a 4F,7/2,8,,323.432,,0.0013,1.23821,  92         :     5  3d3.(4F).4p2.(1S)     4F   ,"L15916,L20010,L193"
3d3.4s2,a 4F,9/2,10,,552.955,,0.002,1.33360,  94         :     5  3d3.(4F).4p2.(1S)     4F   ,"L15916,L20010,L193"
3d4.(5D).4s,a 6D,1/2,2,,2112.282,,0.002,3.33847,  98                                             ,"L15916,L20010,L193"
3d4.(5D).4s,a 6D,3/2,4,,2153.221,,0.002,1.86829,  98                                             ,"L15916,L20010,L193"
3d4.(5D).4s,a 6D,5/2,6,,2220.156,,0.002,1.65831,  10                                             ,"L15916,L20010,L193"
3d4.(5D).4s,a 6D,7/2,8,,2311.369,,0.002,1.58833,  10                                             ,"L15916,L20010,L193"
3d4.(5D).4s,a 6D,9/2,10,,2424.809,,0.002,1.55647,  98                                             ,"L15916,L20010,L193"
3d4.(5D).4s,a 4D,1/2,2,,8413.009,,0.002,0.00,  94                                             ,"L15916,L20010,L14162"
3d4.(5D).4s,a 4D,3/2,4,,8476.234,,0.0013,1.19,  94                                             ,"L15916,L20010,L14162"
3d4.(5D).4s,a 4D,5/2,6,,8578.542,,0.0014,1.35,  94                                             ,"L15916,L20010,L14162"
3d4.(5D).4s,a 4D,7/2,8,,8715.747,,0.002,1.39,  94                                             ,"L15916,L20010,L14162"
3d3.4s2,a 4P,1/2,2,,9544.635,,0.002,2.59,  77         :    16  3d4.(3P2).4s          4P   ,"L15916,L20010,L14162"
3d3.4s2,a 4P,3/2,4,,9637.039,,0.002,1.70,  76         :    16  3d4.(3P2).4s          4P   ,"L15916,L20010,L14162"
3d3.4s2,a 4P,5/2,6,,9824.626,,0.002,1.55,  79         :    15  3d4.(3P2).4s          4P   ,"L15916,L20010,L14162"
3d3.4s2,a 2G,7/2,8,,10892.520,,0.003,0.88,  92         :     5  3d3.(2G).4p2.(1S)     2G   ,"L15916,L20010,L14162"
3d3.4s2,a 2G,9/2,10,,11100.596,,0.002,1.13,  90         :     5  3d3.(2G).4p2.(1S)     2G   ,"L15916,L20010,L14162"
3d3.4s2,a 2P,3/2,4,,13801.551,,0.005,1.20,  58         :    24  3d3.4s2               2D2  ,"L15916,L20010,L14162"
3d3.4s2,a 2P,1/2,2,,13810.910,,0.003,0.64,  79         :    13  3d4.(3P2).4s          2P   ,"L15916,L20010,L14162"
3d3.4s2,2D2,3/2,4,,14514.756,,0.004,0.97,  63         :    21  3d3.4s2               2P   ,"L15916,L20010,L14162"
3d3.4s2,2D2,5/2,6,,14548.816,,0.003,1.17,  86         :     3  3d4.(3D).4s           2D   ,"L15916,L20010,L14162"
3d4.(3H).4s,a 4H,7/2,8,,14909.958,,0.002,0.65,  96                                             ,"L15916,L20010,L14162"
3d4.(3H).4s,a 4H,9/2,10,,14949.359,,0.002,0.94,  94         :     1  3d3.4s2               2H   ,"L15916,L20010,L14162"
3d4.(3H).4s,a 4H,11/2,12,,15000.937,,0.0015,1.10,  90         :     4  3d3.4s2               2H   ,"L15916,L20010,L14162"
3d4.(3H).4s,a 4H,13/2,14,,15062.959,,0.002,1.18,  96                                             ,"L15916,L20010,L14162"
3d4.(3P2).4s,b 4P,1/2,2,,15078.387,,0.002,2.60,  80         :    16  3d3.4s2               4P   ,"L15916,L20010,L14162"
3d4.(3P2).4s,b 4P,3/2,4,,15270.582,,0.0015,1.68,  80         :    15  3d3.4s2               4P   ,"L15916,L20010,L14162"
3d4.(3P2).4s,b 4P,5/2,6,,15572.035,,0.002,1.54,  81         :    14  3d3.4s2               4P   ,"L15916,L20010,L14162"
3d3.4s2,a 2H,9/2,10,,15103.784,,0.003,0.90,  86         :     5  3d4.(3H).4s           2H   ,"L15916,L20010,L14162"
3d3.4s2,a 2H,11/2,12,,15264.832,,0.003,1.07,  81         :     6  3d4.(3H).4s           2H   ,"L15916,L20010,L14162"
3d4.(3F2).4s,b 4F,3/2,4,,15664.801,,0.0013,0.39,  96                                             ,"L15916,L20010,L14162"
3d4.(3F2).4s,b 4F,5/2,6,,15688.862,,0.002,1.05,  95                                             ,"L15916,L20010,L14162"
3d4.(3F2).4s,b 4F,7/2,8,,15724.229,,0.0011,1.22,  95         :     1  3d4.(3G).4s           4G   ,"L15916,L20010,L14162"
3d4.(3F2).4s,b 4F,9/2,10,,15770.789,,0.0015,1.31,  94         :     1  3d4.(3G).4s           4G   ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,3/2,4,,16361.489,,0.004,0.00, 100                                             ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,5/2,6,,16449.875,,0.007,0.78,  98                                             ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,7/2,8,,16572.638,,0.003,1.10, 100                                             ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,9/2,10,,16728.803,,0.004,1.22, 100                                             ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,11/2,12,,16917.210,,0.002,1.26,  98                                             ,"L15916,L20010,L14162"
3d3.(4F).4s.4p.(3P*),z 6G*,13/2,14,,17136.538,,0.002,1.43, 100                                             ,"L15916,L20010,L14162"
3d4.(3G).4s,a 4G,5/2,6,,17054.924,,0.002,0.59,  96                                             ,"L15916,L20010,L14162"
