Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d4.6s2,5D,0,1,,0.00,,0.10,,  69                                                    ,L12177
5d4.6s2,5D,1,3,,1670.29,,0.10,1.51,  84                                                    ,L12177
5d4.6s2,5D,2,5,,3325.53,,0.10,1.48,  88                                                    ,L12177
5d4.6s2,5D,3,7,,4830.00,,0.10,1.50,  85                                                    ,L12177
5d4.6s2,5D,4,9,,6219.33,,0.10,1.49,  77                                                    ,L12177
5d5.(6S).6s,7S,3,7,,2951.29,,0.10,1.98,  94                                                    ,L12177
5d4.6s2,3P2,0,1,,9528.06,,0.10,,  47                         :    24               5D   ,L12177
5d4.6s2,3P2,1,3,,13307.10,,0.10,1.32,  67                                                    ,L12177
5d4.6s2,3P2,2,5,,19253.56,,0.10,1.18,  23                         :    20  5d5.(4G).6s  5G   ,L12177
5d4.6s2,3H,4,9,,12161.96,,0.10,0.99,  42                         :    19               3G   ,L12177
5d4.6s2,3H,5,11,,15069.93,,0.10,1.05,  61                                                    ,L12177
5d4.6s2,3H,6,13,,17008.50,,0.10,1.4,  80                                                    ,L12177
5d4.6s2,3G,3,7,,13348.56,,0.10,0.92,  49                         :    23               3F4  ,L12177
5d4.6s2,3G,4,9,,16431.31,,0.10,1.02,  48                         :    19               3H   ,L12177
5d4.6s2,3G,5,11,,19826.04,,0.10,1.20,  48  5d5.(4G).6s 5G         :    24  5d4.6s2      3G   ,L12177
5d4.6s2,3F2,2,5,,13777.71,,0.10,1.09,  33                         :    28               3D   ,L12177
5d4.6s2,3F2,4,9,,17107.01,,0.10,1.19,  43                         :    22               3H   ,L12177
5d4.6s2,3F2,3,7,,17701.18,,0.10,1.02,  52                         :    23               3G   ,L12177
5d4.6s2,3D,2,5,,14976.18,,0.10,1.06,  11                         :    46               3F4  ,L12177
5d4.6s2,3D,3,7,,15460.01,,0.10,1.17,  36                         :    20  5d5.(2D3).6s 3D   ,L12177
5d4.6s2,3D,1,3,,18082.83,,0.10,0.7,  46                         :    21  5d5.(2D3).6s 3D   ,L12177
5d5.(4G).6s,5G,2,5,,18116.84,,0.10,1.08,  57                         :    15  5d4.6s2      3P2  ,L12177
5d5.(4G).6s,5G,3,7,,18974.51,,0.10,1.06,  61                                                    ,L12177
