Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f14.6s2,1S,0,1,,0.000,,,,  99                                                                  ,L3974
4f14.6s.6p,3P*,0,1,,17288.439,,,, 100                                                                  ,
4f14.6s.6p,3P*,1,3,,17992.007,,,1.49282,  98                                                                  ,
4f14.6s.6p,3P*,2,5,,19710.388,,,1.50, 100                                                                  ,
4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)*",2,5,,23188.518,,,1.45,  79                                                                  ,
4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)*",5,11,,25859.682,,,1.04,  96                                                                  ,
4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)*",3,7,,27445.638,,,1.22,  92                                                                  ,
4f13.(2F*<7/2>).5d<3/2>.6s2,"(7/2,3/2)*",4,9,,28184.512,,,1.14,  90                                                                  ,
4f14.5d.6s,3D,1,3,,24489.102,,,0.50,  99                                                                  ,
4f14.5d.6s,3D,2,5,,24751.948,,,1.16,  97                                                                  ,
4f14.5d.6s,3D,3,7,,25270.902,,,1.34,  99                                                                  ,
4f14.6s.6p,1P*,1,3,,25068.222,,,1.035,  73                                                                  ,
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",6,13,,27314.919,,,1.16, 100                                                                  ,
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",2,5,,28195.960,,,1.02,  80                                                                  ,
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",1,3,,28857.014,,,1.2635,"  48                  :    22   (2F*<5/2>) (5/2,3/2)*                 ",
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",4,9,,29774.958,,,1.09,  90                                                                  ,
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",3,7,,30207.380,,,1.08,  91                                                                  ,
4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",5,11,,30524.714,,,1.18,  96                                                                  ,
4f14.5d.6s,1D,2,5,,27677.665,,,1.01,  95                                                                  ,
4f13.(2F*<7/2>).6s2.6p<1/2>,"(7/2,1/2)",3,7,,32065.282,,,1.23,  89                                                                  ,
4f13.(2F*<7/2>).6s2.6p<1/2>,"(7/2,1/2)",4,9,,32273.597,,,,  92                                                                  ,
4f14.6s.7s,3S,1,3,,32694.692,,,2.01,                                                                      ,
4f14.6s.7s,1S,0,1,,34350.65,,,,                                                                      ,
4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)",5,11,,35178.78,,,,  93                                                                  ,
4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)",2,5,,35196.98,,,1.05,  92                                                                  ,
4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)",3,7,,35807.52,,,1.08,"  88                  :     5   (2F*<7/2>) (7/2,1/2)                  ",
4f13.(2F*<7/2>).6s2.6p<3/2>,"(7/2,3/2)",4,9,,36060.98,,,,  92                                                                  ,
4f13.(2F*).5d2.6s?,*,1,3,,37414.59,,,1.02,                                                                      ,
4f14.6s.7p,3P*,0,1,,38090.71,,,,                                                                      ,
4f14.6s.7p,3P*,1,3,,38174.17,,,1.14,                                                                      ,
4f14.6s.7p,3P*,2,5,,38551.93,,,1.50,                                                                      ,
4f13.(2F*).5d2.6s?,*,1,3,,38422.36,,,1.07,                                                                      ,
4f14.6s.6d,3D,1,3,,39808.72,,,0.50, 100                                                                  ,
4f14.6s.6d,3D,2,5,,39838.04,,,1.16,  86                  :    14   1D                                    ,
4f14.6s.6d,3D,3,7,,39966.09,,,1.33, 100                                                                  ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)",2,5,,39880.26,,,1.83,"  61                  :    25   (2F*<7/2>)(4F*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)",5,11,,42935.78,,,0.89,"  80                  :     9   (2F*<7/2>)(4F*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)",4,9,,44984.75,,,1.08,"  54                  :    12   (2F*<7/2>)(2D*<3/2>) (7/2,3/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)",3,7,,45462.54,,,1.20,"  41                  :    17   (2F*<7/2>)(2D*<1/2>) (7/2,1/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<3/2>),"(7/2,3/2)",5,11,,47088.16,,,1.16,"  54                  :    13   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
4f14.6s.6d,1D,2,5,,40061.51,,,1.03,  86                  :    14   3D                                    ,
4f14.6s.7p,1P*,1,3,,40563.97,,,1.01,                                                                      ,
4f14.6s.8s,3S,1,3,,41615.04,,,2.02,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),,3,7,,41827.30,,,1.52,"  30  (7/2,5/2)       :    28   (2F*<7/2>)(4F*<3/2>) (7/2,3/2)        ",
4f14.6s.8s,1S,0,1,,41939.90,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>),"(7/2,5/2)",1,3,,42436.70,,,1.73,"  57                  :    11   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
