Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d10.4s2""","=""1S""","=""0""","=""""","=""0.0000""","=""""","=""0.0019""","=""""","=""  97                        ""","=""L9171"""
"=""3d10.4s.4p""","=""3P*""","=""0""","=""""","=""32311.3176""","=""""","=""0.0010""","=""""","=""  98                        ""","=""L9761"""
"=""3d10.4s.4p""","=""3P*""","=""1""","=""""","=""32501.3990""","=""""","=""0.0000""","=""1.496""","=""  98                        ""","=""L9761"""
"=""3d10.4s.4p""","=""3P*""","=""2""","=""""","=""32890.3267""","=""""","=""0.0009""","=""1.505""","=""  98                        ""","=""L9761"""
"=""3d10.4s.4p""","=""1P*""","=""1""","=""""","=""46745.4032""","=""""","=""0.0024""","=""""","=""  95                        ""","=""L9761"""
"=""3d10.4s.5s""","=""3S""","=""1""","=""""","=""53672.2398""","=""""","=""0.0008""","=""2.001""","="" 100                        ""","=""L9761"""
"=""3d10.4s.5s""","=""1S""","=""0""","=""""","=""55789.216""","=""""","=""0.003""","=""""","=""  98                        ""","=""L9761,L4741"""
"=""3d10.4s.5p""","=""3P*""","=""0""","=""""","=""61247.866""","=""""","=""0.005""","=""""","=""  99                        ""","=""L4741,L18676"""
"=""3d10.4s.5p""","=""3P*""","=""1""","=""""","=""61274.419""","=""""","=""0.004""","=""""","=""  99                        ""","=""L4741"""
"=""3d10.4s.5p""","=""3P*""","=""2""","=""""","=""61330.845""","=""""","=""0.003""","=""""","=""  99                        ""","=""L4741,L18676"""
"=""3d10.4s.4d""","=""1D""","=""2""","=""""","=""62458.5323""","=""""","=""0.0026""","=""""","=""  95                        ""","=""L9761"""
"=""3d10.4s.4d""","=""3D""","=""1""","=""""","=""62768.7462""","=""""","=""0.0013""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.4d""","=""3D""","=""2""","=""""","=""62772.0144""","=""""","=""0.0015""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.4d""","=""3D""","=""3""","=""""","=""62776.9809""","=""""","=""0.0021""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.5p""","=""1P*""","=""1""","=""""","=""62910.436""","=""""","=""0.007""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.6s""","=""3S""","=""1""","=""""","=""65432.2887""","=""""","=""0.0024""","=""""","="" 100                        ""","=""L9761,L18676"""
"=""3d10.4s.6s""","=""1S""","=""0""","=""""","=""66037.6663""","=""""","=""0.0032""","=""""","=""  97                        ""","=""L9761"""
"=""3d10.4s.6p""","=""3P*""","=""0""","=""""","=""68070.882""","=""""","=""0.008""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6p""","=""3P*""","=""1""","=""""","=""68080.708""","=""""","=""0.008""","=""""","=""  99                        ""","=""L18676"""
"=""3d10.4s.6p""","=""3P*""","=""2""","=""""","=""68101.825""","=""""","=""0.007""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5d""","=""1D""","=""2""","=""""","=""68338.5233""","=""""","=""0.0026""","=""""","=""  96                        ""","=""L9761"""
"=""3d10.4s.5d""","=""3D""","=""1""","=""""","=""68579.1399""","=""""","=""0.0014""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.5d""","=""3D""","=""2""","=""""","=""68580.7053""","=""""","=""0.0015""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.5d""","=""3D""","=""3""","=""""","=""68583.0827""","=""""","=""0.0022""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.6p""","=""1P*""","=""1""","=""""","=""68607.231""","=""""","=""0.007""","=""""","=""  97                        ""","=""L18676"""
"=""3d10.4s.4f""","=""3F*""","=""2""","=""""","=""68833.807""","=""""","=""0.010""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.4f""","=""3F*""","=""3""","=""""","=""68833.858""","=""""","=""0.013""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.4f""","=""3F*""","=""4""","=""""","=""68834.017""","=""""","=""0.008""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.4f""","=""1F*""","=""3""","=""""","=""68834.228""","=""""","=""0.010""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.7s""","=""3S""","=""1""","=""""","=""69745.9590""","=""""","=""0.0016""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.7s""","=""1S""","=""0""","=""""","=""70003.737""","=""""","=""0.004""","=""""","=""  97                        ""","=""L9761"""
"=""3d10.4s.7p""","=""3P*""","=""0""","=""""","=""70977.365""","=""""","=""0.017""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.7p""","=""3P*""","=""1""","=""""","=""70982.101""","=""""","=""0.009""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.7p""","=""3P*""","=""2""","=""""","=""70992.304""","=""""","=""0.011""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6d""","=""1D""","=""2""","=""""","=""71051.040""","=""""","=""0.010""","=""""","=""  97                        ""","=""L18676"""
"=""3d10.4s.6d""","=""3D""","=""1""","=""""","=""71212.1380""","=""""","=""0.0016""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.6d""","=""3D""","=""2""","=""""","=""71212.9743""","=""""","=""0.0015""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.6d""","=""3D""","=""3""","=""""","=""71214.2430""","=""""","=""0.0021""","=""""","="" 100                        ""","=""L9761"""
"=""3d10.4s.7p""","=""1P*""","=""1""","=""""","=""71218.994""","=""""","=""0.008""","=""""","=""  97                        ""","=""L4741"""
"=""3d10.4s.5f""","=""3F*""","=""2""","=""""","=""71335.845""","=""""","=""0.015""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5f""","=""3F*""","=""3""","=""""","=""71335.863""","=""""","=""0.011""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.5f""","=""3F*""","=""4""","=""""","=""71335.981""","=""""","=""0.013""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5f""","=""1F*""","=""3""","=""""","=""71336.126""","=""""","=""0.005""","=""""","=""  95                        ""","=""L4741"""
"=""3d10.4s.5g""","=""3G""","=""3""","=""""","=""71369.240""","=""""","=""0.010""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5g""","=""3G""","=""5""","=""""","=""71369.240""","=""""","=""0.012""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.5g""","=""3G""","=""4""","=""""","=""71369.240""","=""""","=""0.012""","=""""","=""  72                        ""","=""L18676"""
"=""3d10.4s.5g""","=""1G""","=""4""","=""""","=""71369.240""","=""""","=""0.011""","=""""","=""  72                        ""","=""L18676"""
"=""3d10.4s.8s""","=""3S""","=""1""","=""""","=""71823.3""","=""""","=""0.5""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.8s""","=""1S""","=""0""","=""""","=""71956.23""","=""""","=""0.21""","=""""","=""  97                        ""","=""L3284"""
"=""3d10.4s.8p""","=""3P*""","=""0""","=""""","=""72495.80""","=""""","=""0.16""","=""""","="" 100                        ""","=""L3284,L18491"""
"=""3d10.4s.8p""","=""3P*""","=""1""","=""""","=""72498.78""","=""""","=""0.11""","=""""","="" 100                        ""","=""L3641,L3284"""
"=""3d10.4s.8p""","=""3P*""","=""2""","=""""","=""72504.16""","=""""","=""0.15""","=""""","="" 100                        ""","=""L18491,L3284"""
"=""3d10.4s.7d""","=""1D""","=""2""","=""""","=""72517.00""","=""""","=""0.16""","=""""","=""  97                        ""","=""L3641"""
"=""3d10.4s.7d""","=""3D""","=""2""","=""""","=""72626.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.7d""","=""3D""","=""1""","=""""","=""72626.0""","=""""","=""0.7""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.7d""","=""3D""","=""3""","=""""","=""72627.05""","=""""","=""0.33""","=""""","="" 100                        ""","=""L3284"""
"=""3d10.4s.8p""","=""1P*""","=""1""","=""""","=""72626.34""","=""""","=""0.16""","=""""","=""  98                        ""","=""L3641"""
"=""3d10.4s.6f""","=""3F*""","=""2""","=""""","=""72694.18""","=""""","=""0.20""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.6f""","=""3F*""","=""4""","=""""","=""72694.18""","=""""","=""0.02""","=""""","="" 100                        ""","=""L18676"""
"=""3d10.4s.6f""","=""3F*""","=""3""","=""""","=""72694.18""","=""""","=""0.28""","=""""","=""  95                        ""","=""L18491"""
"=""3d10.4s.6f""","=""1F*""","=""3""","=""""","=""72694.314""","=""""","=""0.012""","=""""","=""  95                        ""","=""L18676"""
"=""3d10.4s.6g""","=""1G""","=""4""","=""""","=""72714.245""","=""""","=""0.014""","=""""","=""  83                        ""","=""L18676"""
"=""3d10.4s.6g""","=""3G""","=""5""","=""""","=""72714.245""","=""""","=""0.015""","=""""","="" 100                        ""","=""L18676"""
