obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
296.9686,0.0004,296.968104,0.000013,33673.59,23,9.e+06,E,0.000,33673.650,6d.7s2,2D,3/2,6d2.(3P).7p,4D*,3/2,4,4,,T10463,L7344,
303.7814,0.0004,303.781324,0.000015,32918.40,87,6.e+06,E,0.000,32918.416,6d.7s2,2D,3/2,6d2.(3P).7p,2D*,3/2,4,4,,T10463,L7344,
307.7334,0.0004,307.733222,0.000017,32495.66,280,5.e+06,E,0.000,32495.679,6d.7s2,2D,3/2,6d2.(3F).7p,2F*,5/2,4,6,,T10463,L7344,
308.3852,0.0006,308.384607,0.000015,32426.97,16,,,2231.432,34658.472,6d.7s2,2D,5/2,6d2.(3F).7p,4D*,5/2,6,6,,,L7344,
311.0232,0.0013,,,32151.94,83,,,,,,,,,,,1,1,,,L7344,
311.2473,0.0004,311.247085,0.000016,32128.80,420,1.0e+07,E,2231.432,34360.247,6d.7s2,2D,5/2,6d2.(1G).7p,2G*,7/2,6,8,,T10463,L7344,
314.1630,0.0013,,,31830.61,100,,,,,,,,,,,1,1,,,L7344,
314.4621,0.0004,314.461948,0.000018,31800.34,1100,4.3e+07,D+,0.000,31800.350,6d.7s2,2D,3/2,5f.7s2,2F*,5/2,4,6,,T10463,L7344,
317.2088,0.0004,317.208333,0.000018,31524.98,1200,,,2231.432,33756.455,6d.7s2,2D,5/2,6d2.(3F).7p,2F*,7/2,6,8,,,L7344,
317.5142,0.0004,317.513952,0.000016,31494.65,160,,,0.000,31494.679,6d.7s2,2D,3/2,6d2.(3F).7p,4F*,5/2,4,6,,,L7344,
317.5608,0.0013,,,31490.03,110,,,,,,,,,,,1,1,,,L7344,
318.0440,0.0004,318.043721,0.000017,31442.19,33,,,2231.432,33673.650,6d.7s2,2D,5/2,6d2.(3P).7p,4D*,3/2,6,4,,,L7344,
318.3440,0.0013,,,31412.56,100,,,,,,,,,,,1,1,,,L7344,
321.7379,0.0013,,,31081.20,130,,,,,,,,,,,1,1,,,L7344,
325.8708,0.0004,325.871060,0.000019,30687.00,55,,,2231.432,32918.416,6d.7s2,2D,5/2,6d2.(3P).7p,2D*,3/2,6,4,,,L7344,
328.9847,0.0004,328.98443,0.00003,30396.55,270,2.0e+07,E,0.000,30396.575,6d.7s2,2D,3/2,6d2.(3F).7p,4F*,3/2,4,4,,T10463,L7344,
330.3321,0.0013,,,30272.57,200,,,,,,,,,,,1,1,,,L7344,
330.4232,0.0004,330.422891,0.000022,30264.22,330,6.e+06,E,2231.432,32495.679,6d.7s2,2D,5/2,6d2.(3F).7p,2F*,5/2,6,6,,T10463,L7344,
332.1605,0.0013,,,30105.92,320,,,,,,,,,,,1,1,,,L7344,
333.1218,0.0013,,,30019.05,80,,,,,,,,,,,1,1,,,L7344,
335.1023,0.0013,,,29841.63,83,,,,,,,,,,,1,1,,,L7344,
338.1931,0.0004,338.192963,0.000023,29568.91,340,7.e+06,E,2231.432,31800.350,6d.7s2,2D,5/2,5f.7s2,2F*,5/2,6,6,,T10463,L7344,
339.2384,0.0013,,,29477.80,55,,,,,,,,,,,1,1,,,L7344,
341.7251,0.0004,341.725578,0.000021,29263.29,390,1.9e+07,D,2231.432,31494.679,6d.7s2,2D,5/2,6d2.(3F).7p,4F*,5/2,6,6,,T10463,L7344,
344.7238,0.0013,344.72372,0.00015,29008.73,640,3.6e+07,C,2231.432,31240.17,6d.7s2,2D,5/2,5f.7s2,2F*,7/2,6,8,,T10463,L7344,
350.7253,0.0013,,,28512.34,130,,,,,,,,,,,1,1,,,L7344,
355.0484,0.0004,355.04879,0.00004,28165.17,140,,,2231.432,30396.575,6d.7s2,2D,5/2,6d2.(3F).7p,4F*,3/2,6,4,,,L7344,
364.5459,0.0013,,,27431.39,83,,,,,,,,,,,1,1,,,L7344,
365.4531,0.0013,,,27363.29,41,,,,,,,,,,,1,1,,,L7344,
366.3393,0.0013,,,27297.10,100,,,,,,,,,,,1,1,,,L7344,
369.3411,0.0013,,,27075.24,100,,,,,,,,,,,1,1,,,L7344,
370.2353,0.0004,370.23521,0.00003,27009.85,2100,7.e+06,E,0.000,27009.857,6d.7s2,2D,3/2,6d2.(3F).7p,4G*,5/2,4,6,,T10463,L7344,
372.6307,0.0004,372.63108,0.00003,26836.22,110,,,0.000,26836.194,6d.7s2,2D,3/2,6d.7s.(1D).7p,2D*,5/2,4,6,,,L7344,
373.7012,0.0013,,,26759.34,100,,,,,,,,,,,1,1,,,L7344,
376.8871,0.0003,,,26533.150,600,,,,,,,,,,,1,1,,,L7344,
379.6938,0.0010,379.69477,0.00003,26337.01,430,4.e+06,E,2231.432,28568.376,6d.7s2,2D,5/2,6d2.(3F).7p,4G*,7/2,6,8,,T10463,L7344,
381.5443,0.0013,,,26209.28,730,,,,,,,,,,,1,1,,,L7344,
383.6408,0.0004,383.64086,0.00004,26066.05,1900,4.78e+07,D+,0.000,26066.045,6d.7s2,2D,3/2,6d.7s.(1D).7p,2P*,3/2,4,4,,T10463,L7344,
384.4130,0.0013,384.41301,0.00019,26013.69,6600,1.58e+08,B,2231.432,28245.12,6d.7s2,2D,5/2,6d.7s.(3D).7p,2P*,3/2,6,4,,T10463,L7344,
388.6660,0.0004,388.66603,0.00006,25729.03,9000,2.69e+08,B,0.000,25729.03,6d.7s2,2D,3/2,6d.7s.(3D).7p,2P*,1/2,4,2,,T10463,L7344,
393.0633,0.0004,393.06347,0.00004,25441.20,92,5.e+06,E,9217.288,34658.472,6d2.(3F).7s,4F,3/2,6d2.(3F).7p,4D*,5/2,4,6,,T10463,L7344,
400.4922,0.0013,,,24969.28,52,,,,,,,,,,,1,1,,,L7344,
400.5771,0.0004,400.57712,0.00005,24963.980,360,1.1e+07,D+,10906.027,35870.009,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,4D*,7/2,8,8,,T10463,L7344,
401.6355,0.0013,401.63496,0.00015,24898.20,370,,,9863.589,34761.82,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,4P*,3/2,6,4,,,L7344,
403.3087,0.0004,403.30902,0.00003,24794.900,510,3.96e+07,B,9863.589,34658.472,6d2.(3F).7s,4F,5/2,6d2.(3F).7p,4D*,5/2,6,6,,T10463,L7344,
403.5770,0.0004,403.57690,0.00003,24778.420,3500,,,2231.432,27009.857,6d.7s2,2D,5/2,6d2.(3F).7p,4G*,5/2,6,6,,,L7344,
406.4247,0.0004,406.42539,0.00003,24604.800,3700,1.24e+08,B,2231.432,26836.194,6d.7s2,2D,5/2,6d.7s.(1D).7p,2D*,5/2,6,6,,T10463,L7344,
408.2192,0.0004,408.21895,0.00005,24496.640,83,4.e+06,E,9863.589,34360.247,6d2.(3F).7s,4F,5/2,6d2.(1G).7p,2G*,7/2,6,8,,T10463,L7344,
