obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
150.737,150.7370,0.0014,66341,"50r,h",,,0.000000,66340.7,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4D*,3/2,2,4,,,L3326,
151.563,151.5629,0.0023,65979,"100r,h",,,0.000000,65979.2,4d10.5s,2S,1/2,4d9.5s.(3D).5p,2P*,3/2,2,4,,,L3326,
154.858,154.8575,0.0010,64575,"50r,h",,,0.000000,64575.5,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4D*,1/2,2,2,,,L3326,
165.187,165.1870,0.0003,60537,60w,,,0.000000,60537.45,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4P*,1/2,2,2,,,L2489,
170.811,,,58544,10,,,,,,,,,,,1,1,,,L3326,
170.926,170.926771,0.000015,58505,50,,,0.000000,58504.586,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4P*,3/2,2,4,,,L3326,
176.620,176.613304,0.000009,56619,10w,,,0.000000,56620.876,4d10.5s,2S,1/2,4d10.8p,2P*,1/2,2,2,,,L3326,
184.773,184.770792,0.000007,54120,20,,,0.000000,54121.108,4d10.5s,2S,1/2,4d10.7p,2P*,3/2,2,4,,,L3326,
206.1821,206.1821214,0.0000017,48500.81,200,3.1e+06,D,0.000000,48500.8105,4d10.5s,2S,1/2,4d10.6p,2P*,3/2,2,4,,T4515,L11755,
207.0505,207.050457,0.000013,48297.40,100,1.5e+06,D,0.000000,48297.406,4d10.5s,2S,1/2,4d10.6p,2P*,1/2,2,2,,T4515,L11755,
217.068,,,46068.5,15,,,,,,,,,,,1,1,,,L3326,
231.027,231.026,0.004,43285.0,30w,,,30242.298349,73527.5,4d9.5s2,2D,5/2,4d9.5s.(1D).5p,2D*,5/2,6,6,,,L3326,
231.331,231.331,0.003,43228.1,10w,,,34714.22643,77942.3,4d9.5s2,2D,3/2,4d9.5s.(1D).5p,2D*,3/2,4,4,,,L3326,
237.574,237.5748,0.0017,42092.1,50w,,,30242.298349,72334.3,4d9.5s2,2D,5/2,4d9.5s.(1D).5p,2F*,7/2,6,8,,,L3326,
257.640,257.644,0.005,38813.8,50w,,,34714.22643,73527.5,4d9.5s2,2D,3/2,4d9.5s.(1D).5p,2D*,5/2,4,6,,,L3326,
272.258,272.2570,0.0007,36729.9,50,,,30242.298349,66972.30,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2D*,5/2,6,6,,,L3326,
282.522,282.5222,0.0012,35395.5,100w,,,30242.298349,65637.75,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,7/2,6,8,,,L3326,
292.763,,,34157.4,10w,,,,,,,,,,,1,1,,,L3326,
293.928,293.926,0.003,34021.9,20w,,,30242.298349,64264.5,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,5/2,6,6,,,L3326,
310.000,309.9999,0.0010,32258.1,20,,,34714.22643,66972.30,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,5/2,4,6,,,L3326,
313.093,313.0914,0.0015,31939.4,30w,,,30242.298349,62181.85,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4D*,5/2,6,6,,,L3326,
317.1496,317.1500,0.0005,31530.86,10w,,,30242.298349,61773.12,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4D*,7/2,6,8,,,L3326,
321.660,321.657,0.021,31088.7,15w,,,56223.489,87312.5,4d9.5s.(3D).5p,4P*,5/2,4d9.5s.(3D).5d,4D,7/2,6,8,,,L3326,
322.608,322.599,0.021,30997.4,10,,,56223.489,87221.7,4d9.5s.(3D).5p,4P*,5/2,4d9.5s.(3D).5d,4P,5/2,6,6,,,L3326,
323.411,323.414,0.021,30920.4,15,,,56223.489,87143.6,4d9.5s.(3D).5p,4P*,5/2,4d9.5s.(3D).5d,2D,5/2,6,6,,,L3326,
328.1625,328.1629601,0.0000022,30472.71,55000r,1.4e+08,B,0.000000,30472.66516,4d10.5s,2S,1/2,4d10.5p,2P*,3/2,2,4,,T4515,L11755,
330.66269921,330.66269913,0.00000007,30242.298342,10w,,,0.000000,30242.298349,4d10.5s,2S,1/2,4d9.5s2,2D,5/2,2,6,E2,,"L9025,L3326",
338.3858,338.3859154,0.0000016,29552.06,28000r,1.3e+08,B,0.000000,29552.05741,4d10.5s,2S,1/2,4d10.5p,2P*,1/2,2,2,,T4515,L11755,
340.476,340.478,0.023,29370.7,10w,,,59321.40,88691.9,4d9.5s.(3D).5p,4F*,5/2,4d9.5s.(3D).5d,2G,7/2,6,8,,,L3326,
347.015,347.0159,0.0012,28817.2,30,,,34714.22643,63531.35,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,3/2,4,4,,,L3326,
350.2923,350.29238,0.00006,28547.59,20,,,30242.298349,58789.879,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4F*,7/2,6,8,,,L11755,
350.9028,350.90286,0.00009,28497.92,20,,,29552.05741,58049.973,4d10.5p,2P*,1/2,4d10.8d,2D,3/2,2,4,,,L11755,
351.4382,351.429,0.025,28454.51,15w,,,58902.05,87357.3,4d9.5s.(3D).5p,4F*,9/2,4d9.5s.(3D).5d,4F,9/2,10,10,,,L3326,
352.2130,352.21266,0.00020,28391.91,10,,,30472.66516,58864.603,4d10.5p,2P*,3/2,4d10.9d,2D,5/2,4,6,,,L11755,
354.351,354.350,0.025,28220.6,50,,,58902.05,87122.7?,4d9.5s.(3D).5p,4F*,9/2,4d9.5s.(3D).5d,4G,11/2,10,12,,,L2489,
354.817,354.812,0.025,28183.5,10w,,,62181.85,90365.8,4d9.5s.(3D).5p,4D*,5/2,4d9.5s.(3D).7s,4D,7/2,6,8,,,L3326,
355.803,355.793,0.025,28105.5,10w,,,58789.879,86896.1,4d9.5s.(3D).5p,4F*,7/2,4d9.5s.(3D).5d,2G,9/2,8,10,,,L3326,
358.7703,358.76987,0.00010,27872.99,20,,,29552.05741,57425.078,4d10.5p,2P*,1/2,4d10.9s,2S,1/2,2,2,,,L11755,
362.439,362.439,0.026,27590.8,10w,,,61242.25,88833.1,4d9.5s.(3D).5p,4F*,3/2,4d9.5s.(3D).5d,2D,3/2,4,4,,,L2489,
362.5723,362.57208,0.00011,27580.70,50,,,30472.66516,58053.388,4d10.5p,2P*,3/2,4d10.8d,2D,5/2,4,6,,,L11755,
