obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""14.588""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""14.626""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.040""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.094""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.184""","=""""","=""5a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.232""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.272""","=""""","=""6a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.285""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.306""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.362""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.388""","=""""","=""4a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.426""","=""""","=""1a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.445""","=""""","=""1a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.484""","=""""","=""5a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.499""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.510""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.545""","=""""","=""20a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.583""","=""""","=""10a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.605""","=""""","=""9a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.625""","=""""","=""7a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.687""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.703""","=""""","=""1a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.713""","=""""","=""3a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.744""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.764""","=""""","=""1a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.786""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.798""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.808""","=""""","=""2a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""15.925""","=""""","=""6a""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5491""",
"=""118.1907""","=""118.1907""","=""36g,a""","=""""",,"=""112.061""","=""84721.1""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).11p?""","=""2S?""","=""1/2?""",,"=""""","=""L3597""",
"=""118.201""","=""118.201""","=""26g,a""","=""""",,"=""112.061""","=""84714""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p.(3P*).11p?""","=""2D?""","=""5/2?""",,"=""""","=""L3597""",
