obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
130.534,,76608,40w,,,,,,,,,,,1,1,,,L4231,
131.047,,76309,25,,,,,,,,,,,1,1,,,L4231,
132.837,,75280,100w,,,,,,,,,,,1,1,,,L4231,
133.837,,74718,10w,,,,,,,,,,,1,1,,,L4231,
134.280,,74471,10w,,,,,,,,,,,1,1,,,L4231,
135.009,,74069,20,,,,,,,,,,,1,1,,,L4231,
135.084,,74028,20,,,,,,,,,,,1,1,,,L4231,
135.174,,73979,22,,,,,,,,,,,1,1,,,L4231,
135.282,,73920,25,,,,,,,,,,,1,1,,,L4231,
135.414,,73848,25,,,,,,,,,,,1,1,,,L4231,
135.579,,73758,30,,,,,,,,,,,1,1,,,L4231,
135.786,,73645,35,,,,,,,,,,,1,1,,,L4231,
136.051,,73502,40,,,,,,,,,,,1,1,,,L4231,
136.247,,73396,20,,,,,,,,,,,1,1,,,L4231,
136.398,,73315,50,,,,,,,,,,,1,1,,,L4231,
136.415,,73306,25,,,,,,,,,,,1,1,,,L4231,
136.862,,73066,60,,,,,,,,,,,1,1,,,L4231,
136.898,,73047,35,,,,,,,,,,,1,1,,,L4231,
137.482,,72737,70,,,,,,,,,,,1,1,,,L4231,
137.576,,72687,50,,,,,,,,,,,1,1,,,L4231,
137.887,,72523,30,,,,,,,,,,,1,1,,,L4231,
138.275,,72320,80,,,,,,,,,,,1,1,,,L4231,
138.533,,72185,50,,,,,,,,,,,1,1,,,L4231,
138.914,,71987,20,,,,,,,,,,,1,1,,,L4231,
139.227,,71825,60,,,,,,,,,,,1,1,,,L4231,
140.212,,71321,50,,,,,,,,,,,1,1,,,L4231,
140.738,,71054,70,,,,,,,,,,,1,1,,,L4231,
140.845,,71000,100,,,,,,,,,,,1,1,,,L4231,
142.919,,69970,80,,,,,,,,,,,1,1,,,L4231,
143.579,,69648,50,,,,,,,,,,,1,1,,,L4231,
148.176,,67487,100,,,,,,,,,,,1,1,,,L4231,
153.282,,65239,20,,,,,,,,,,,1,1,,,L4231,
153.286,,65238,20,,,,,,,,,,,1,1,,,L4231,
158.716,158.717+,63006,200,,,0.000,63005.1,5d10.6s,2S,1/2,5d9<3/2>.6s<1/2>.6p<3/2>,2P*,3/2,2,4,,,L4231,
159.824,,62569,70,,,,,,,,,,,1,1,,,L4231,
162.434,162.434+,61563,100,,,0.000,61563.3,5d10.6s,2S,1/2,5d9<3/2>.6s<1/2>.6p<3/2>,2D*,3/2,2,4,,,L4231,
163.990,,60979,50,,,,,,,,,,,1,1,,,L4231,
164.667,164.6674+,60729,150,1.0e+07,D,0.000,60728.49,5d10.6s,2S,1/2,5d10.7p,2P*,3/2,2,4,,T7776,L4231,
166.576,166.5755+,60033,100,2.4e+05,E,0.000,60032.85,5d10.6s,2S,1/2,5d10.7p,2P*,1/2,2,2,,T7776,L4231,
169.934,169.93678+,58846,200,,,0.000,58845.414,5d10.6s,2S,1/2,5d9<3/2>.6s<1/2>.6p<1/2>,2P*,3/2,2,4,,,L4231,
187.983,187.9829+,53196,100,,,0.000,53196.32,5d10.6s,2S,1/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,1/2,2,2,,,L4231,
191.964,191.961+,52093,20,,,9161.177,61255.1,5d9.6s2,2D,5/2,5d9<3/2>.6s<1/2>.6p<3/2>,2D*,5/2,6,6,,,L3312,
194.231,194.231+,51485,45,,,0.000,51485.0,5d10.6s,2S,1/2,5d9<5/2>.6s<1/2>.6p<3/2>,4F*,3/2,2,4,,,L3312,
195.193,195.19230+,51231,25,,,0.000,51231.530,5d10.6s,2S,1/2,5d9<5/2>.6s<1/2>.6p<1/2>,2D*,3/2,2,4,,,L3312,
197.819,197.816+,50551,30,,,9161.177,59713.2,5d9.6s2,2D,5/2,5d9<3/2>.6s<1/2>.6p<3/2>,2F*,5/2,6,6,,,L3312,
201.270,201.27108+,49684.5,11000,,,9161.177,58845.414,5d9.6s2,2D,5/2,5d9<3/2>.6s<1/2>.6p<1/2>,2P*,3/2,6,4,,,L3312,
202.204,202.20162+,49455.0,2600,,,9161.177,58616.764,5d9.6s2,2D,5/2,5d9<3/2>.6s<1/2>.6p<1/2>,2F*,5/2,6,6,,,L3312,
212.730,212.73231+,47007.9,15,3.8e+06,E,0.000,47007.433,5d10.6s,2S,1/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,3/2,2,4,,T7963,L3312,
217.143,217.133+,46052.6,20,,,21435.191,67490.0,5d9.6s2,2D,3/2,5d10.5f,2F*,5/2,4,6,,,L3312,
235.330,235.334+,42493.5,180,8.e+06,D,9161.177,51653.9,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<3/2>,2D*,5/2,6,6,,T7963,L3312,
237.701,237.69708+,42069.7,20,,,9161.177,51231.530,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<1/2>,2D*,3/2,6,4,,,L3312,
238.848,238.84751+,41867.7,120,,,9161.177,51028.894,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<3/2>,4D*,7/2,6,8,,,L3312,
242.869,242.86810+,41174.5,2600,1.98e+08,B+,0.000,41174.613,5d10.6s,2S,1/2,5d10.6p,2P*,3/2,2,4,,T4060,L3312,
254.494,254.4963+,39293.6,16,,,21435.191,60728.49,5d9.6s2,2D,3/2,5d10.7p,2P*,3/2,4,4,,,L3312,
259.002,,38609.7,20,,,,,,,,,,,1,1,,,L3312,
259.081,259.0831+,38597.9,30,,,21435.191,60032.85,5d9.6s2,2D,3/2,5d10.7p,2P*,1/2,4,2,,,L3312,
264.227,264.22693+,37846.3,250,4.4e+06,D,9161.177,47007.433,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<3/2>,4P*,3/2,6,4,,T7963,L1336,
267.675,267.67318+,37358.8,3400,1.64e+08,A+,0.000,37358.991,5d10.6s,2S,1/2,5d10.6p,2P*,1/2,2,2,,T4060,L1336,
268.951,268.95043+,37181.5,30,,,21435.191,58616.764,5d9.6s2,2D,3/2,5d9<3/2>.6s<1/2>.6p<1/2>,2F*,5/2,4,6,,,L1336,
270.169,270.16949+,37013.9,80,,,9161.177,46174.979,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<1/2>,4F*,5/2,6,6,,,L1336,
274.906,274.90640+,36376.0,1100,1.03e+07,B,9161.177,45537.195,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<1/2>,4F*,7/2,6,8,,T7963,L1336,
278.164,278.171+,35950.0,100,,,37358.991,73308.1,5d10.6p,2P*,1/2,5d10.13d,2D,3/2,2,4,,,L1336,
280.176,280.175+,35691.9,30,,,37358.991,73051.0,5d10.6p,2P*,1/2,5d10.12d,2D,3/2,2,4,,,L1336,
287.320,287.317+,34804.4,3,,,37358.991,72163.8,5d10.6p,2P*,1/2,5d10.10d,2D,3/2,2,4,,,L1336,
288.430,288.42917+,34670.5,300,,,21435.191,56105.748,5d9.6s2,2D,3/2,5d9<3/2>.6s<1/2>.6p<1/2>,4D*,3/2,4,4,,,L1336,
288.781,,34628.4,3,,,,,,,,,,,1,1,,,L1336,
288.925,,34611.1,10,,,,,,,,,,,1,1,,,L1336,
289.281,,34568.5,300,,,,,,,,,,,1,1,,,L1336,
290.659,,34404.6,3,,,,,,,,,,,1,1,,,L1336,
290.675,,34402.7,30,,,,,,,,,,,1,1,,,L1336,
291.567,291.568+,34297.4,3,,,21435.191,55732.5,5d9.6s2,2D,3/2,5d9<3/2>.6s<1/2>.6p<1/2>,4D*,1/2,4,2,,,L1336,
294.153,294.157+,33995.9,30,,,37358.991,71354.4,5d10.6p,2P*,1/2,5d10.9d,2D,3/2,2,4,,,L1336,
297.420,,33622.5,10,,,,,,,,,,,1,1,,,L1336,
300.353,300.352+,33294.2,10,,,37358.991,70653.3,5d10.6p,2P*,1/2,5d9.6s.(3D<2>).7s,4D,3/2,2,4,,,L1336,
300.673,300.677+,33258.8,3,,,37358.991,70617.3,5d10.6p,2P*,1/2,5d10.10s,2S,1/2,2,2,,,L1336,
302.555,,33051.8,10,,,,,,,,,,,1,1,,,L1336,
303.008,303.00870+,33002.4,320,,,9161.177,42163.530,5d9.6s2,2D,5/2,5d9<5/2>.6s<1/2>.6p<1/2>,4P*,5/2,6,6,,,L1336,
303.413,,32958.3,30,,,,,,,,,,,1,1,,,L1336,
306.631,306.633+,32612.5,300,,,37358.991,69971.3,5d10.6p,2P*,1/2,5d10.8d,2D,3/2,2,4,,,L1336,
310.353,,32221.4,10,,,,,,,,,,,1,1,,,L1336,
311.791,,32072.7,10w,,,,,,,,,,,1,1,,,L1336,
