obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""",,"=""15.287""","=""1625500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""6.152""","=""0.003""","=""6.152""","=""0.003""","=""10a*""","=""""",,"=""0.0000""","=""1625500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""",,"=""15.287""","=""1614200""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""6.195""","=""0.003""","=""6.195""","=""0.003""","=""40a*""","=""""",,"=""0.0000""","=""1614200""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(1P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""",,"=""15.287""","=""1609500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""6.213""","=""0.003""","=""6.213""","=""0.003""","=""30a*""","=""""",,"=""0.0000""","=""1609500""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).4p""","=""""","=""1/2 or 3/2""",,"=""""","=""L11176""",
"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""",,"=""15.287""","=""1604100""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""6.234""","=""0.003""","=""6.234""","=""0.003""","=""10a*""","=""""",,"=""0.0000""","=""1604100""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L11176""",
"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""",,"=""15.287""","=""1601300""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""6.245""","=""0.003""","=""6.245""","=""0.003""","=""30a*""","=""""",,"=""0.0000""","=""1601300""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2D""","=""3/2,5/2""",,"=""""","=""L11176""",
"=""6.256""","=""0.003""","=""6.256""","=""0.003""","=""30a*""","=""""",,"=""15.287""","=""1598500""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.(2S).2s2.2p.(3P*).3p""","=""2P""","=""1/2,3/2""",,"=""""","=""L11176""",
