obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
8.916,0.005,8.916,0.005,1121600,"a,B",,,0.0000,1121600?,1s2.2s2,1S,0,1s.2s.(1S).3s.4p.(1P*)?,1P*?,1,1,3,,,L2305,
9.024,0.003,9.024,0.003,1108200,"a,B",,,0.0000,1108200?,1s2.2s2,1S,0,1s.2s.(1S).3s.3p.(1P*)?,1P*?,1,1,3,,,L6979,
9.067,0.005,9.067,0.005,1102900,"a,B",,,0.0000,1102900?,1s2.2s2,1S,0,1s.2s.(3S).3s.4p.(3P*)?,1P*?,1,1,3,,,L2305,
9.220,0.003,9.220,0.003,1084600,"a,B",,,0.0000,1084600?,1s2.2s2,1S,0,1s.2s.(3S).3s.3p.(3P*)?,1P*?,1,1,3,,,L6979,
9.629,0.005,9.629,0.005,1038500,"a,B",,,0.0000,1038500a,1s2.2s2,1S,0,1s.(2S).2s.2p.(1P*).4s,1P*,1,1,3,,,L2305,
9.724,0.005,9.724,0.005,1028400,"a,B",,,0.0000,1028400?a,1s2.2s2,1S,0,1s.(2S).2s.2p.(1P*).3d?,1P*?,1,1,3,,,L2305,
9.744,0.005,9.744,0.005,1026300,"3a,B",,,0.0000,1026300a,1s2.2s2,1S,0,1s.(2S).2s.2p.(1P*).3s,1P*,1,1,3,,,L2305,
9.786,0.005,9.786,0.005,1021900,"5a,B",,,0.0000,1021900?a,1s2.2s2,1S,0,1s.(2S).2s.2p.(3P*).4s?,1P*?,1,1,3,,,L2305,
9.797,0.005,9.797,0.005,1020700,"a,B",,,0.0000,1020700?,1s2.2s2,1S,0,1s.(2S).2s.2p.(3P*).4d?,1P*?,1,1,3,,,L2305,
9.866,0.005,9.866,0.005,1013600,"a,B",,,0.0000,1013600?,1s2.2s2,1S,0,1s.(2S).2s.2p.(3P*).3d?,1P*?,1,1,3,,,L2305,
9.907,0.010,9.907,0.010,1009400,"5a,B",,,0.0000,1009400a,1s2.2s2,1S,0,1s.(2S).2s.2p.(3P*).3s,1P*,1,1,3,,,L2305,
10.086,0.005,10.086,0.005,991500,"5a,B,bl",,,0.0000,991500a,1s2.2s2,1S,0,1s.2s2.5p?,1P*?,1,1,3,,,L2305,
10.120,0.002,10.1200,0.0020,988140,"6a,B",,,0.0000,988140a,1s2.2s2,1S,0,1s.2s2.4p?,1P*?,1,1,3,,,L2305,
10.213,0.002,10.2130,0.0020,979140,"10a,B",,,0.0000,979140a,1s2.2s2,1S,0,1s.2s2.3p,1P*,1,1,3,,,L2305,
10.467,0.002,10.467,0.003,955380,"a,B*",,,21981.26,977400a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2P),3P,1,5,3,,,L2305,
10.467,0.002,10.467,0.003,955380,"a,B*",,,21981.26,977400a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2P),3P,2,5,5,,,L2305,
10.467,0.002,10.467,0.004,955380,"a,B*",,,21978.925,977400a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2P),3P,0,3,1,,,L2305,
10.467,0.002,10.467,0.003,955380,"a,B*",,,21978.31,977400a,1s2.2s.2p,3P*,0,1s.(2S).2s.2p2.(2P),3P,1,1,3,,,L2305,
10.467,0.002,10.467,0.003,955380,"a,B*",,,21978.925,977400a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2P),3P,1,3,3,,,L2305,
10.467,0.002,10.467,0.003,955380,"a,B*",,,21978.925,977400a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2P),3P,2,3,5,,,L2305,
10.580,0.002,10.5800,0.0020,945180,"a,B*",,,21978.925,967160a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2S),3S,1,3,3,,,L2305,
10.580,0.002,10.5800,0.0020,945180,"a,B*",,,21981.26,967160a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2S),3S,1,5,3,,,L2305,
10.580,0.002,10.5800,0.0020,945180,"a,B*",,,21978.31,967160a,1s2.2s.2p,3P*,0,1s.(2S).2s.2p2.(2S),3S,1,1,3,,,L2305,
10.726,0.005,10.726,0.009,932300,"10a,B*",,,21981.26,954300a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2D),3D,2,5,5,,,L2305,
10.726,0.005,10.726,0.007,932300,"10a,B*",,,21978.31,954300a,1s2.2s.2p,3P*,0,1s.(2S).2s.2p2.(2D),3D,1,1,3,,,L2305,
10.726,0.005,10.726,0.009,932300,"10a,B*",,,21978.925,954300a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2D),3D,2,3,5,,,L2305,
10.726,0.005,10.726,0.013,932300,"10a,B*",,,21981.26,954300a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2D),3D,3,5,7,,,L2305,
10.726,0.005,10.726,0.007,932300,"10a,B*",,,21978.925,954300a,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2D),3D,1,3,3,,,L2305,
10.726,0.005,10.726,0.007,932300,"10a,B*",,,21981.26,954300a,1s2.2s.2p,3P*,2,1s.(2S).2s.2p2.(2D),3D,1,5,3,,,L2305,
10.738,0.005,10.738,0.005,931300,"10a,B",,,0.0000,931300a,1s2.2s2,1S,0,1s.2s2.2p,1P*,1,1,3,,,L2305,
61.85,0.05,61.85,0.05,161680,"a,B",,,0.0000,161680a,1s2.2s2,1S,0,1s2.3s.10p?,1P*?,1,1,3,,,L1790,
62.01,0.05,62.01,0.05,161260,"a,B",,,0.0000,161260a,1s2.2s2,1S,0,1s2.3s.9p?,1P*?,1,1,3,,,L1790,
62.26,0.05,62.26,0.05,160620,"a,B",,,0.0000,160620a,1s2.2s2,1S,0,1s2.3s.8p?,1P*?,1,1,3,,,L1790,
62.63,0.05,62.63,0.05,159670,"a,B",,,0.0000,159670a,1s2.2s2,1S,0,1s2.3s.7p?,1P*?,1,1,3,,,L1790,
65.83,0.05,65.83,0.05,151910,"a,B",,,0.0000,151910a,1s2.2s2,1S,0,1s2.3s.4p,1P*,1,1,3,,,L1790,
70.11,0.05,70.11,0.05,142630,"a,B",,,0.0000,142630a,1s2.2s2,1S,0,1s2.3s.3p,1P*,1,1,3,,,L1790,
94.01,0.10,94.01,0.10,106370,a,,,0.0000,106370,1s2.2s2,1S,0,1s2.2p.13s,1P*,1,1,3,,,L1790,
94.14,0.10,94.14,0.10,106220,a,,,0.0000,106220,1s2.2s2,1S,0,1s2.2p.12s,1P*,1,1,3,,,L1790,
94.27,0.10,94.27,0.10,106080,a,,,0.0000,106080,1s2.2s2,1S,0,1s2.2p.11s,1P*,1,1,3,,,L1790,
94.49,0.10,94.49,0.10,105830,"a,B",,,0.0000,105830a,1s2.2s2,1S,0,1s2.2p.10s,1P*,1,1,3,,,L1790,
