obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""191.36661""","=""0.00020""","=""191.36662+""","=""1700""","=""""",,"=""0.000""","=""52255.717""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).9s""","=""2[0]""","=""1/2""",,"=""""","=""L9843""",
"=""195.47059""","=""0.00020""","=""195.47096+""","=""16000""","=""5.86e+07""",B,"=""0.000""","=""51158.494""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""196.00491""","=""0.00020""","=""196.00506+""","=""4200""","=""1.54e+07""",C+,"=""0.000""","=""51019.090""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L9843""",
obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""202.11493""","=""0.00020""","=""202.11469+""","=""3300""","=""5.79e+06""",C+,"=""0.000""","=""49460.910""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L9843""",
"=""206.16336""","=""0.00020""","=""206.16272+""","=""42000""","=""9.62e+07""",B,"=""0.000""","=""48489.869""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""211.02175""","=""0.00020""","=""211.02172+""","=""10000""","=""9.04e+07""",B,"=""0.000""","=""47373.477""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""T3401,T3477""","=""L9843""",
"=""213.35999""","=""0.00020""","=""213.35960+""","=""1900""","=""""",,"=""11419.039""","=""58273.483""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<1>).6d""","=""5827""","=""3/2""",,"=""""","=""L9843""",
"=""217.72127""","=""0.00020""","=""217.72135+""","=""260hfs""","=""2.6e+06""",D+,"=""0.000""","=""45915.883""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""T3401,T3477""","=""L9843""",
"=""222.82092""","=""0.00020""","=""222.82124+""","=""37000""","=""8.8e+07""",C+,"=""0.000""","=""44865.076""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""223.06088""","=""0.00020""","=""223.06108+""","=""140000""","=""2.34e+08""",C+,"=""0.000""","=""44816.841""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""227.65579""","=""0.00020""","=""227.65592+""","=""31000""","=""2.36e+07""",B,"=""0.000""","=""43912.374""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""240.0881""","=""0.0010""","=""240.0881+""","=""8000""","=""5.8e+07""",C+,"=""15437.501""","=""57076.20""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<1>).6d""","=""5707""","=""5/2""",,"=""T4088""","=""L9843""",
"=""251.56326""","=""0.00020""","=""251.56336+""","=""500""","=""2.13e+06""",C,"=""11419.039""","=""51158.494""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""252.44907""","=""0.00020""","=""252.44900+""","=""1600""","=""8.6e+06""",C+,"=""11419.039""","=""51019.090""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""262.79044""","=""0.00020""","=""262.78988+""","=""16000""","=""4.56e+07""",B,"=""11419.039""","=""49460.910""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L9843""",
"=""269.6748""","=""0.0010""","=""269.67385+""","=""5000""","=""6.2e+06""",C+,"=""11419.039""","=""48489.869""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""273.04918""","=""0.00020""","=""273.04941+""","=""1700hfs""","=""2.02e+07""",C+,"=""21660.914""","=""58273.483""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).6d""","=""5827""","=""3/2""",,"=""T4088""","=""L9843""",
"=""278.04764""","=""0.00020""","=""278.04773+""","=""5000""","=""3.09e+07""",B,"=""11419.039""","=""47373.477""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""T3401,T3477""","=""L9843""",
"=""279.8649""","=""0.0010""","=""279.86493+""","=""120""","=""1.75e+06""",D+,"=""15437.501""","=""51158.494""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""280.96153""","=""0.00020""","=""280.96146+""","=""2500""","=""1.34e+07""",C+,"=""15437.501""","=""51019.090""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""286.37868""","=""0.00020""","=""286.3787+""","=""350hfs""","=""1.07e+07""",C+,"=""21660.914""","=""56569.46""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).6d""","=""5657""","=""3/2""",,"=""T4088""","=""L9843""",
"=""289.79644""","=""0.00020""","=""289.79666+""","=""41000""","=""1.53e+08""",B,"=""11419.039""","=""45915.883""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""T3401,T3477""","=""L9843""",
"=""293.82969""","=""0.00020""","=""293.82936+""","=""28000hfs""","=""1.20e+08""",B,"=""15437.501""","=""49460.910""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L9843""",
"=""298.9004""","=""0.0010""","=""298.90190+""","=""28000""","=""5.4e+07""",C+,"=""11419.039""","=""44865.076""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""299.3327""","=""0.0010""","=""299.33360+""","=""6000""","=""1.45e+07""",C+,"=""11419.039""","=""44816.841""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""302.4618""","=""0.0010""","=""302.46211+""","=""34000""","=""8.62e+07""",B,"=""15437.501""","=""48489.869""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""5/2""",,"=""T6498""","=""L9843""",
"=""303.487""","=""0.002""","=""""","=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
"=""306.76991""","=""0.00020""","=""306.77019+""","=""230000hfs""","=""1.67e+08""",B,"=""0.000""","=""32588.221""","=""6p3""","=""4S*""","=""3/2""","=""6p2.(3P<0>).7s""","=""2[0]""","=""1/2""",,"=""T6498""","=""L9843""",
"=""307.6654""","=""0.0010""","=""307.66604+""","=""3000""","=""3.31e+06""",C+,"=""11419.039""","=""43912.374""","=""6p3""","=""2D*""","=""3/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L9843""",
"=""339.7198""","=""0.0020""","=""339.71983+""","=""7000""","=""1.79e+07""",C,"=""15437.501""","=""44865.076""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L3475""",
"=""340.280""","=""0.009""","=""340.27760+""","=""900""","=""1.50e+06""",C,"=""15437.501""","=""44816.841""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""5/2""",,"=""T6498""","=""L7593""",
"=""340.533""","=""0.010""","=""340.52291+""","=""1700""","=""6.4e+06""",D+,"=""21660.914""","=""51019.090""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).7d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L7585""",
"=""351.0864""","=""0.0020""","=""351.08640+""","=""6000""","=""6.5e+06""",C+,"=""15437.501""","=""43912.374""","=""6p3""","=""2D*""","=""5/2""","=""6p2.(3P<0>).6d""","=""2[2]""","=""3/2""",,"=""T6498""","=""L3475""",
"=""359.611""","=""0.002""","=""359.60967+""","=""2700""","=""1.93e+07""",C+,"=""21660.914""","=""49460.910""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<2>).7s""","=""2[2]""","=""3/2""",,"=""T3401,T3485""","=""L3475""",
"=""388.817""","=""0.010""","=""388.80477+""","=""800""","=""4.1e+06""",D+,"=""21660.914""","=""47373.477""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""T6498""","=""L7585""",
"=""412.1704""","=""0.0004""","=""412.17037+""","=""2600""","=""1.64e+07""",C+,"=""21660.914""","=""45915.883""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""1/2""",,"=""T3401,T3477""","=""L6416,L3475""",
"=""430.8360""","=""0.0005""","=""430.8360+""","=""700""","=""1.6e+06""",D,"=""21660.914""","=""44865.076""","=""6p3""","=""2P*""","=""1/2""","=""6p2.(3P<1>).7s""","=""2[1]""","=""3/2""",,"=""T6498""","=""L6416""",
