obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
110.1498,0.0004,110.1498+,90785.5,250,,,3685.24,94470.7,4s2.4p5,2P*,1/2,4s2.4p4.(1D<2>).6s,2[2],3/2,2,4,,,L351,
113.4588,0.0007,113.45753+,88137.7,300*,,,3685.24,91823.95,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).7d,2[0],1/2,2,2,,,L351,
113.4588,0.0007,113.46221+,88137.7,300*,,,0.00,88135.07,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).7s,2[2],5/2,4,6,,,L351,
113.6294,0.0004,113.62900+,88005.4,250,,,3685.24,91690.94,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).7d,2[1],1/2,2,2,,,L351,
117.7233,0.0004,117.72301+,84944.95,250,,,0.00,84945.16,4s2.4p5,2P*,3/2,4s2.4p4.(3P<0>).4d,2[2],5/2,4,6,,,L351,
117.8895,0.0004,117.88894+,84825.20,400,6.e+06,E,0.00,84825.60,4s2.4p5,2P*,3/2,4s.4p6,2S,1/2,4,2,,T3187,L351,
118.9279,0.0004,118.92767+,84084.56,1000,,,3685.24,87769.96,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[2],3/2,2,4,,,L351,
118.9378,0.0004,118.93786+,84077.56,250,,,0.00,84077.52,4s2.4p5,2P*,3/2,4s2.4p4.(3P<1>).4d,2[2],3/2,4,4,,,L351,
118.9498,0.0004,118.95001+,84069.08,1000,,,3685.24,87754.17,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[0],1/2,2,2,,,L351,
119.8371,0.0004,119.83739+,83446.61,500,,,3685.24,87131.65,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).5d,2[1],3/2,2,4,,,L351,
120.9756,0.0004,120.97520+,82661.30,800,,,0.00,82661.57,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],3/2,4,4,,,L351,
121.0734,0.0004,121.07392+,82594.53,1000,,,3685.24,86279.41,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).6s,2[0],1/2,2,2,,,L351,
121.6006,0.0004,121.60099+,82236.44,750,,,0.00,82236.17,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).6s,2[2],5/2,4,6,,,L351,
122.1128,0.0004,122.11251+,81891.50,1000,,,3685.24,85576.93,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],1/2,2,2,,,L351,
122.1870,0.0004,122.18662+,81841.77,900,,,0.00,81842.02,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[2],3/2,4,4,,,L351,
122.3240,0.0004,122.32402+,81750.11,1000,,,3685.24,85435.33,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).6s,2[1],3/2,2,4,,,L351,
122.4408,0.0004,122.44056+,81672.12,1200,,,0.00,81672.28,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[2],5/2,4,6,,,L351,
122.6899,0.0004,122.68983+,81506.30,1200,,,3685.24,85191.59,4s2.4p5,2P*,1/2,4s2.4p4.(3P<0>).4d,2[2],3/2,2,4,,,L351,
122.8049,0.0004,122.80491+,81429.98,750,,,0.00,81429.97,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[0],1/2,4,2,,,L351,
123.2431,0.0004,123.24323+,81140.45,7500,,,3685.24,84825.60,4s2.4p5,2P*,1/2,4s.4p6,2S,1/2,2,2,,,L351,
124.3897,0.0004,124.39005+,80392.51,1200,,,3685.24,84077.52,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[2],3/2,2,4,,,L351,
124.9589,0.0004,124.95876+,80026.31,800,,,0.00,80026.40,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[1],1/2,4,2,,,L351,
125.1664,0.0004,125.16700+,79893.65,1500,,,3685.24,83578.50,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[1],3/2,2,4,,,L351,
125.5799,0.0004,125.57975+,79630.58,1000,,,0.00,79630.67,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[1],3/2,4,4,,,L351,
125.9199,0.0004,125.91945+,79415.56,1500,,,3685.24,83101.09,4s2.4p5,2P*,1/2,4s2.4p4.(3P<1>).4d,2[1],1/2,2,2,,,L351,
126.1658,0.0004,126.16560+,79260.78,1200,,,0.00,79260.91,4s2.4p5,2P*,3/2,4s2.4p4.(3P<2>).4d,2[3],5/2,4,6,,,L351,
126.6200,0.0004,126.62022+,78976.47,1200,,,3685.24,82661.57,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).6s,2[2],3/2,2,4,,,L351,
127.9477,0.0004,127.94795+,78156.93,1000,,,3685.24,81842.02,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[2],3/2,2,4,,,L351,
128.6259,0.0004,128.62608+,77744.84,1000,,,3685.24,81429.97,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[0],1/2,2,2,,,L351,
130.9908,0.0004,130.99094+,76341.24,3000,,,3685.24,80026.40,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[1],1/2,2,2,,,L351,
131.6735,0.0004,131.67349+,75945.43,3000,,,3685.24,79630.67,4s2.4p5,2P*,1/2,4s2.4p4.(3P<2>).4d,2[1],3/2,2,4,,,L351,
131.7372,0.0004,131.73750+,75908.70,1000,2.8e+07,E,0.00,75908.53,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5s,2[2],3/2,4,4,,T8844,L351,
131.7695,0.0004,131.76909+,75890.10,2000,1.0e+09,E,0.00,75890.33,4s2.4p5,2P*,3/2,4s2.4p4.(1D<2>).5s,2[2],5/2,4,6,,T8844,L351,
