obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
367.323,367.32265+,27224.0,220,,,1279.424,28503.446,4f.5d.6s2,3H*,4,,,3,9,7,,,L3475,
450.767,450.7677+,22184.4,100,5.8e+06,B+,0.000,22184.376,4f.5d.6s2,1G*,4,,,5,9,11,,T8748,L3475,
463.362,463.3618+,21581.4,170,1.38e+07,B+,0.000,21581.408,4f.5d.6s2,1G*,4,4f.5d.(3H*).6s.6p.(3P*),,5,9,11,,T8748,L3475,
465.181,465.1808+,21497.0,110,1.62e+07,B+,228.849,21725.865,4f.5d.6s2,3F*,2,4f.(2F*).5d2.(1D) (2P*).6p,,1,5,3,,T8748,L3475,
482.390,482.3895+,20730.1,110,1.33e+07,B+,0.000,20730.135,4f.5d.6s2,1G*,4,4f.(2F*).5d2.(3F) (4I*).6p,,5,9,11,,T8748,L3475,
484.912,484.9126+,20622.3,140,,,4762.718,25384.989,4f2.6s2,3H,4,,*,3 or 4 or 5,9,7,,,L3475,
494.482,494.4868+,20223.2,110bl,,,5519.751,25742.736,4f.(2F*) .5d2.(3F).6s (4F),*,3,,,4,7,9,,,L3475,
499.602,499.6019+,20015.9,130,,,7780.202,27796.140,4f2.6s2,3H,6,,*,5,13,11,,,L3475,
501.050,501.0501+,19958.1,210,6.2e+07,B+,3196.607,23154.693,4f.(2F*) .5d2.(3F).6s (4F),5I*,4,,,3,9,7,,T8748,L3475,
504.226,504.2252+,19832.4,120,4.39e+07,B+,3764.008,23596.416,4f.(2F*) .5d2.(3F).6s (4F),5I*,5,,,4,11,9,,T8748,L3475,
507.319,507.3189+,19711.4,120,,,7780.202,27491.670,4f2.6s2,3H,6,4f2.(3H<6>).6s.6p.(1P*<1>)?,"(6,1)*?",6,13,13,,,L3475,
511.412,511.4128+,19553.7,130,3.41e+07,B+,4455.756,24009.430,4f.(2F*) .5d2.(3F).6s (4F),5I*,6,,,5,13,11,,T8748,L3475,
513.100,513.1030+,19489.4,170,,,8902.306,28391.572,4f.(2F*) .5d2.(3F).6s (2F),*,3,,,4,7,9,,,L3475,
